api,expected_segment_count,observed_segment_count,nonempty_segment_count,row_count,size_bytes,first_retrieval_time_utc,last_retrieval_time_utc,integrity_pass,content_row_count,content_instrument_count,observation_start,observation_end,availability_start,availability_end,missing_availability_count,revision_row_count
daily_basic,1546,1546,1546,7564464,490681298,2026-08-29T04:19:34.565648+00:00,2026-08-29T04:36:16.981548+00:00,True,7564464,5743,2020-01-17,2026-06-09,,,0,0
moneyflow,1546,1546,1546,7328434,491836218,2026-08-29T04:20:15.804275+00:00,2026-08-29T04:45:25.018527+00:00,True,7328434,5619,2020-01-17,2026-06-09,,,0,0
income,3983,3983,3983,179609,33469495,2026-08-29T04:20:56.373282+00:00,2026-08-29T05:56:30.502505+00:00,True,179609,3983,2013-12-31,2026-03-31,2018-01-03,2026-08-28,0,102411
balancesheet,3983,3983,3983,176102,40936262,2026-08-29T04:20:57.226604+00:00,2026-08-29T05:56:30.644007+00:00,True,176102,3983,2013-12-31,2026-03-31,2018-01-03,2026-08-28,0,99340
cashflow,3983,3983,3983,187051,23144502,2026-08-29T04:20:58.134490+00:00,2026-08-29T05:56:30.808692+00:00,True,187051,3983,2013-12-31,2026-03-31,2018-01-03,2026-08-28,0,117628
fina_indicator,3983,3983,3983,132779,44678351,2026-08-29T04:24:24.194893+00:00,2026-08-29T05:56:30.951686+00:00,True,132779,3983,2018-03-31,2026-03-31,2018-04-04,2026-08-28,0,16458
