check,status,finite_count,median,q01,q99,expected_lower,expected_upper
log_market_cap,pass,2584219,14.09076976073775,12.33521096302756,17.682323708450568,5.0,30.0
turnover_decimal,pass,2584210,0.027515,0.004291,0.27778291000000016,0.0,2.0
net_flow_share,pass,2583876,0.10469776493024045,0.0019388254339933958,0.39477477963078855,0.0,5.0
amihud_cny,pass,2543211,8.121126889388435e-11,5.326178679597654e-12,5.664371889472302e-10,0.0,0.0001
roa,pass,2587669,0.014933244051106513,-0.07356595203848725,0.16236843521103936,-5.0,5.0
book_leverage,pass,2587669,0.4437496784286128,0.05712327017671588,0.9302942428378823,-5.0,5.0
statement_cny_scale,pass,2587669,8254100062.43,823679344.99,2870587131000.0,10000000.0,1000000000000000.0
