ts_code,dataset,end_date,information_available_date,same_day_row_count,selected_update_flag,selected_source_row_hash
000001.SZ,income,20171231,2018-03-15,2,1,380e5fef8924440f8d5e4152e390475248359a9a5dc3089a58cb1250364fe5e9
000001.SZ,income,20180331,2018-04-20,2,1,1af792c603b705912e5c3af6ce8d69d2531d7ee12f116eee3d96afdd4b2ac2cb
000001.SZ,income,20180630,2018-08-16,2,1,f1ccdc2f3a0c4055c02c9c07912bbd1e12bf116c452f05100feab0d1e0a98195
000001.SZ,income,20181231,2019-03-07,2,1,37d2d41d3bc5d9fa2dc128406ca7db2a18971094ab56fac20c204abe82451a46
000001.SZ,income,20190630,2019-08-08,2,1,2046c3b6ba235bb6aa049cdb21c1126e71c31aac6f303ba487f03fa4d0d54476
000001.SZ,income,20191231,2020-02-14,2,1,61fb5c94c2ca9058681fb979fede5c62cb036a03090ae2cae655cffdc8da278f
000001.SZ,income,20200630,2020-08-28,2,1,daa233385c5987117740900432e951377554f93da8613a1e6153a36c045044d6
000001.SZ,income,20200930,2020-10-22,2,1,e0e0a4c9a10a9969f9272300164e296cc6004398494c0462bc1fd28e78f5ca92
000001.SZ,income,20201231,2021-02-02,2,1,ae0aa20f87f9a8906ffe47a88a42f0f4e842739f3c4495593879e8fcc5ccfbed
000001.SZ,income,20210331,2021-04-21,2,1,ce2f86681442494b4f784913752d3866fb16e17a11bd366c24a6d389ee356746
000001.SZ,income,20211231,2022-03-10,2,1,a91c290ae2dc7fe14daa92e7972e1a38c614d38b5de7d32891b2570588defe61
000001.SZ,income,20221231,2023-03-09,2,1,a75f09284d81738cb02a1d59c15afa4dad22d6f01a758e3414061f1b28fe9a90
000001.SZ,income,20230331,2023-04-25,2,1,b17c19290d420720361fff5bcd0d7c0f24154600ac799003f3fff0b116af06f1
000001.SZ,balancesheet,20171231,2018-03-15,2,1,d2737e85007e833d53ae9f1faa5de4f84afb1fed62aa9ea1a676a53f295beb1c
000001.SZ,balancesheet,20180630,2018-08-16,2,1,9c123e8512017b9f07c37f8db56d5f9e2dd7c1d9b329d2b4ad0023296419f33b
000001.SZ,balancesheet,20180930,2018-10-24,2,1,dc1d55e30dbc23a0da9821567402929872939181ccbb5780bb265e93b85c3403
000001.SZ,balancesheet,20181231,2019-03-07,2,1,30bb37592320f84a6510a8cc312e721315eeee677f6bacb5ce5795ddf6b7639b
000001.SZ,balancesheet,20191231,2020-02-14,2,1,99c6fe2792827fe125e82d498c1a9bf82584121b28406cf703b77ab6bf6d8fff
000001.SZ,balancesheet,20200630,2020-08-28,2,1,581eccad92169b073d9f7873ff007dceda2b1b16a9743b4a583beae459ce251f
000001.SZ,balancesheet,20201231,2021-02-02,2,1,69996677e6412150a3458bc41b6ecfe42fac40394dc6d1ae9c6481c71607fd62
000001.SZ,balancesheet,20210331,2021-04-21,2,1,cd01ddc215c79245b807a2211d52131db9de333fd636956c1b926cb5f8cd84d8
000001.SZ,balancesheet,20210930,2021-10-21,2,1,f169ab87d418d2dac4baf5027cd5f5596c907dfe4cad3c244fbf3f2fcfa35e66
000001.SZ,balancesheet,20211231,2022-03-10,2,1,047b8fec94561cbfa92eb2be916945df8c8eba5b1a8c52ab35166f53c7b11bed
000001.SZ,balancesheet,20220331,2022-04-27,2,1,c1b72b0ab4834a9027709c30a4331609940d39f64ec9ae0acb663ddb216bb3c1
000001.SZ,balancesheet,20221231,2023-03-09,2,1,3d2ed6a82c22d66120679f7e644f8dc79bf3456bee06088b0f8414e09ca34a74
000001.SZ,balancesheet,20230331,2023-04-25,2,1,db0d580534e5300a99904f569abe7ec06656cc17c47a734075451708d6f77433
000001.SZ,balancesheet,20231231,2024-03-15,2,1,16a6c3ebee40740ccd20e0b0642f2610676b6848756a35afdb0d841ee8c8964b
000001.SZ,balancesheet,20240331,2024-04-20,2,1,ecd163918bebab978a64d9b07f62341ed5f8e917171fa25166bf259d0fd462ef
000001.SZ,balancesheet,20250630,2025-08-23,2,1,f12205c218004c453d1eea7eecc42fb49f56dfa9c813a247440573c638997e86
000001.SZ,balancesheet,20250930,2025-10-25,2,1,c3afb96b9f35cbfe6d5f03483c3fa7e5b13b9682dda719012b63a68f86b07556
000001.SZ,balancesheet,20251231,2026-03-21,2,1,c658c288f249fba0cc2df4077b823e4df55962f1a3a46c638f06d02d6c9902ef
000001.SZ,balancesheet,20260331,2026-04-25,2,1,8b2af37211effc710b8f652e55551ed52fd70efee224c66db8d6339faa5e39fd
000001.SZ,cashflow,20191231,2020-02-14,2,1,e4a8dc7b776bd5768b691102c874dd85496fc6fd4ecd59f0a86fa6f72173ad0d
000001.SZ,cashflow,20200630,2020-08-28,2,1,a724c034fb0d6102fd2add27acba9bb1a880120a021f4f82a84ca3abae73db8c
000001.SZ,cashflow,20200930,2020-10-22,2,1,78b69da9dd3d8465522fb86de907d727a20a83ae53d3486be52eee4d8e90e5fc
000001.SZ,cashflow,20201231,2021-02-02,2,1,6a6be335c0e2a9df0da9d9232e349f1609acdb609a74a104c350edb5ba6f56ff
000001.SZ,cashflow,20210630,2021-08-20,2,1,869c4925ebafa67171e2df76a8b5bebbec643232dc73c03ef7ba10490b2b49f3
000001.SZ,cashflow,20211231,2022-03-10,2,1,f34e559fb0c1f8af21e21b9c60629e190e1b2256b6d0015bf717c9e6035761e4
000001.SZ,cashflow,20220630,2022-08-18,2,1,f004fa9fca3c1cc1bc9df7e6d1d45eaef0e3400161231937cf3154d5d174c5a1
000001.SZ,cashflow,20221231,2023-03-09,2,1,45f7cb736f0705980fa555b89190e9e51d1b362399ee692d480669d5fdc83135
000001.SZ,cashflow,20231231,2024-03-15,2,1,8d492b860bd115a97bae1f870f4578289614fa4418883288e58cc64b323f2cf7
000001.SZ,cashflow,20240630,2024-08-16,2,1,b57628cc5f23e6bb5083b82e7eb804a4d805720f18e9e24974fea6cd7c76fb69
000001.SZ,cashflow,20241231,2025-03-15,2,1,bbdc5f8623665abb224b48ec7964a5226031386ba6134b7d88fb6b4532c6adeb
000002.SZ,income,20180630,2018-08-21,2,1,7d136d2ed5b95864e12be83f5fea2b4913d52d0ae452869620bf8dcb4a7d6104
000002.SZ,income,20180930,2018-10-26,2,1,52cf156ade8ac95f7e2641fcbe0988b07e6dd3c98560c7eb818e8e71d2b6e4f0
000002.SZ,income,20181231,2019-03-26,2,1,548021e72440c284df8ce1cd10087a39a4ad455c56407810b76d00734e998e67
000002.SZ,income,20190630,2019-08-21,2,1,b6b0ecd9352a395581dc40531653600b1dadd9b077f8fd0e64016341d0a42af2
000002.SZ,income,20190930,2019-10-25,2,1,d0361ef48ca6314788007cd635c8fd421e9572d5857082fb4f486e052246c9de
000002.SZ,income,20191231,2020-03-18,2,1,06ae78b5dcbda846b7723f3daac9d8d3940a45df89a8b04e395bb069b1d51636
000002.SZ,income,20200331,2020-04-28,2,1,fc01513b328673fced2e7129e25b909c6159d3d240ae8cf63a1bd021e8da84c6
