source,valid_count,row_count,coverage
alpha101,253398962,269117784,0.9415912922350758
alpha158,408509844,408852018,0.9991630859456831
alpha360,924036120,926386218,0.9974631552646868
mature_public,145830884,150084918,0.971655819540775
project_basic,38615114,38815065,0.9948486238526201
ta,204524902,209601351,0.9757804566822663
