datetime,factor,n_total,n_valid,coverage,corr_raw_residual,r2_approx,var_factor_z,var_residual_z
2021-01-04,kunquant_alpha101_alpha083,500,493,0.986,0.11941387441242662,0.6761943359386375,1.830481976324985,0.5927204318962671
2021-01-05,kunquant_alpha101_alpha083,500,492,0.984,0.26169851712737563,0.6541528872420799,1.8513940233443098,0.6402992775508989
2021-01-06,kunquant_alpha101_alpha083,500,495,0.99,0.3387151176327287,0.6811497525679553,1.8894435985259497,0.6024495588988918
2021-01-07,kunquant_alpha101_alpha083,500,496,0.992,0.2352188134199435,0.7057695869034196,1.9392892564558004,0.5705978790407503
2021-01-08,kunquant_alpha101_alpha083,500,497,0.994,0.17692379801288813,0.6821236592342621,1.9907428815314603,0.6328100625866614
2021-01-11,kunquant_alpha101_alpha083,500,497,0.994,0.2757760699589456,0.676917191494331,1.897219146030099,0.6129588900501312
2021-01-12,kunquant_alpha101_alpha083,500,497,0.994,0.2568811326023238,0.6161844537753605,1.8548540046115527,0.7119218029469433
2021-01-13,kunquant_alpha101_alpha083,500,498,0.996,0.19031698838752184,0.6934374345485923,1.91259650078967,0.5863304899554664
2021-01-14,kunquant_alpha101_alpha083,500,496,0.992,0.16235937188617844,0.7030283483417052,1.9802769731445073,0.588086123455613
2021-01-15,kunquant_alpha101_alpha083,500,497,0.994,0.2540415149743323,0.6902035772496261,2.013358420074569,0.6237312362534461
2021-01-18,kunquant_alpha101_alpha083,500,495,0.99,0.3603017076731978,0.6229294596590667,1.795442833292143,0.6770085993007245
2021-01-19,kunquant_alpha101_alpha083,500,493,0.986,0.22874772942985125,0.6499363789564223,1.9093125405976719,0.6683808616655339
2021-01-20,kunquant_alpha101_alpha083,500,494,0.988,0.2553158471268102,0.6433916538785088,1.958284469975644,0.6983405860734154
2021-01-21,kunquant_alpha101_alpha083,500,495,0.99,0.20305361014545323,0.6519816411532293,1.8632729050976964,0.6484531785157551
2021-01-22,kunquant_alpha101_alpha083,500,497,0.994,0.18891686128087962,0.6895716184982357,1.9569938943990524,0.6075064472471327
2021-01-25,kunquant_alpha101_alpha083,500,496,0.992,0.21695063075135998,0.7314595392518675,1.9615574289761901,0.5267575357611884
2021-01-26,kunquant_alpha101_alpha083,500,496,0.992,0.27786462827885317,0.6787518732021862,1.9639637681409428,0.6309196816140537
2021-01-27,kunquant_alpha101_alpha083,500,497,0.994,0.17682142050242758,0.6448934662877701,1.9645227765884354,0.6976148735930449
2021-01-28,kunquant_alpha101_alpha083,500,495,0.99,0.21365970646089705,0.6701267274047238,2.000750753004353,0.659994198541009
2021-01-29,kunquant_alpha101_alpha083,500,494,0.988,0.2128652031299866,0.7298475812159354,1.8487918093350748,0.4994555791200377
2021-02-01,kunquant_alpha101_alpha083,500,486,0.972,0.2968458540173083,0.6118010225783672,1.9278484472701005,0.7483887958541356
2021-02-02,kunquant_alpha101_alpha083,500,487,0.974,0.2747551313589739,0.6291074997750699,1.9212902586778065,0.7125921476988145
2021-02-03,kunquant_alpha101_alpha083,500,491,0.982,0.1765742990022397,0.6872013762757241,1.9880853145432105,0.6218703502355604
2021-02-04,kunquant_alpha101_alpha083,500,495,0.99,0.2249142986892254,0.7125660613348308,1.8675759404529206,0.5368047083206906
2021-02-05,kunquant_alpha101_alpha083,500,496,0.992,0.2525567016802762,0.65947199227345,1.8232331892619231,0.6208619655602865
2021-02-08,kunquant_alpha101_alpha083,500,496,0.992,0.1427672767520112,0.6204871436004608,1.9148954078737155,0.7267274259485145
2021-02-09,kunquant_alpha101_alpha083,500,496,0.992,0.20405409499549432,0.7171881725717204,1.920738032136074,0.5432074328794009
2021-02-10,kunquant_alpha101_alpha083,500,497,0.994,0.20437400795640656,0.6917943896808629,2.02165944537083,0.623086783217965
2021-02-18,kunquant_alpha101_alpha083,500,494,0.988,0.2045057113758465,0.6975060200002974,1.9417037452137542,0.5873536938700369
2021-02-19,kunquant_alpha101_alpha083,500,493,0.986,0.12240050334593534,0.7189739284229976,2.038432510607221,0.5728526806307938
2021-02-22,kunquant_alpha101_alpha083,500,491,0.982,0.1614571061233861,0.713657375475637,1.9622935146282832,0.561888275065799
2021-02-23,kunquant_alpha101_alpha083,500,492,0.984,0.21596567486196835,0.5362062085451567,1.9315780467506813,0.8958539057934392
2021-02-24,kunquant_alpha101_alpha083,500,491,0.982,0.19996872941464638,0.6224445582237745,1.8393925987934945,0.6944726852373972
2021-02-25,kunquant_alpha101_alpha083,500,493,0.986,0.27426458368565876,0.629984508384706,1.7640595829659642,0.6527293738298219
2021-02-26,kunquant_alpha101_alpha083,500,494,0.988,0.19994143741464648,0.6769307979021527,1.9088491514373565,0.6166903722800197
2021-03-01,kunquant_alpha101_alpha083,500,496,0.992,0.2065351050324686,0.5625492466097084,1.8834771151536929,0.823928483017356
2021-03-02,kunquant_alpha101_alpha083,500,496,0.992,0.24516858905479527,0.6593796492265278,1.753737574367029,0.5973587077455158
2021-03-03,kunquant_alpha101_alpha083,500,495,0.99,0.2774961122793519,0.6226756922855055,1.8142792109548114,0.6845716472743235
2021-03-04,kunquant_alpha101_alpha083,500,496,0.992,0.17595943061301664,0.6028381933667175,1.8900746287352397,0.7506654542202185
2021-03-05,kunquant_alpha101_alpha083,500,497,0.994,0.19637276137779136,0.6073117404044033,1.7516342458571024,0.6878462034536711
2021-03-08,kunquant_alpha101_alpha083,500,496,0.992,0.25615037007418845,0.6527778419670773,1.622232285872924,0.5632749951314777
2021-03-09,kunquant_alpha101_alpha083,500,497,0.994,0.14802314119337806,0.7022048898253908,1.8624269411542982,0.5546216361332048
2021-03-10,kunquant_alpha101_alpha083,500,497,0.994,0.10664184057216175,0.6504904711746411,1.9050167837232173,0.6658215184835025
2021-03-11,kunquant_alpha101_alpha083,500,494,0.988,0.2684276451512728,0.6000211036045038,1.8017316554517526,0.7206546391484225
2021-03-12,kunquant_alpha101_alpha083,500,495,0.99,0.37090932645326824,0.5396441567874312,1.7375608388364883,0.79989628509571
2021-03-15,kunquant_alpha101_alpha083,500,494,0.988,0.25214993627896837,0.5842271869986605,1.7437884947878015,0.7250198477572959
2021-03-16,kunquant_alpha101_alpha083,500,494,0.988,0.25396282181586055,0.5745528763400634,1.7203332003237868,0.7319108118144486
2021-03-17,kunquant_alpha101_alpha083,500,494,0.988,0.2054611864242501,0.6049778040117866,1.8872370405550862,0.7455005201103672
2021-03-18,kunquant_alpha101_alpha083,500,494,0.988,0.2467252228762314,0.6252468485473182,1.7675939206227813,0.6624113922419888
2021-03-19,kunquant_alpha101_alpha083,500,494,0.988,0.2195156711791991,0.6126774903446053,1.74255665341216,0.6749314162163035
2021-03-22,kunquant_alpha101_alpha083,500,495,0.99,0.31391008554346683,0.571614941214442,1.633351586537703,0.6997034154164383
