factor,legacy_rows,v3_rows,left_only_keys,right_only_keys,nan_mismatch_count,nonzero_difference_count,max_absolute_difference
alpha158_CNTD10,250000,250000,0,0,0,0,0.0
alpha158_CNTD20,250000,250000,0,0,0,0,0.0
alpha158_CNTD30,250000,250000,0,0,0,0,0.0
alpha158_CNTD5,250000,250000,0,0,0,0,0.0
alpha158_CNTD60,250000,250000,0,0,0,0,0.0
