factor,category,expected_direction,coverage,mean_ic,icir,mean_rank_ic,directional_mean_rank_ic,rank_icir,valid_rows
amplitude_20,risk,negative,0.9574946000655908,-0.013556633801541753,-0.0824339790320761,-0.05666537882934998,0.05666537882934998,-0.33034646099529585,1354694
amount_std_20,liquidity,watch,0.9574946000655908,-0.018313964061597007,-0.16541983171276234,-0.05491972725002562,,-0.3815208136867217,1354694
std_20,risk,negative,0.9556760095898311,-0.013311841053167602,-0.08988416567909972,-0.05306828336883473,0.05306828336883473,-0.34186217675354613,1352121
amount_mean_20,liquidity,watch,0.9574946000655908,-0.016615781595238154,-0.14480238098372256,-0.05010889361880848,,-0.32309255049127666,1354694
ret_20,momentum,watch,0.9629376491343142,-0.012027062658738515,-0.08249464330645243,-0.027197136243997805,,-0.1707084943670022,1362395
ret_10,momentum,watch,0.9770092844945548,-0.011274790166106701,-0.08471011401743828,-0.023722570082055385,,-0.16182066097041609,1382304
ret_5,momentum,watch,0.9845020468861321,-0.010166451953877262,-0.07867503553256974,-0.022954560953324613,,-0.1586455691583088,1392905
rev_5,reversal,positive,0.9845020468861321,0.010166451953877262,0.07867503553256974,0.022954560953324613,0.022954560953324613,0.1586455691583088,1392905
corr_ret_volume_20,price_volume,watch,0.9556760095898311,-0.004564135256623836,-0.06568786906061666,-0.022496010430809666,,-0.2686013624783931,1352121
volume_ratio_5_20,liquidity,watch,0.9574946000655908,-0.010332550079497682,-0.11166372656671954,-0.020184995648139532,,-0.2013691930133529,1354694
