partition_id,partition_path,factor_count,row_count,output_sha256,output_size_bytes,reused_v1,factors
alpha158_001,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha158_001.parquet,25,2587671,ebfe02588ebe3027938c44a5fb5fa799674930be4273dd0eb20d9926e1e76b74,134980559,True,"alpha158_CNTD10,alpha158_CNTD20,alpha158_CNTD30,alpha158_CNTD5,alpha158_CNTD60,alpha158_CNTN10,alpha158_CNTN20,alpha158_CNTN30,alpha158_CNTN60,alpha158_CNTP10,alpha158_CNTP20,alpha158_CNTP30,alpha158_CNTP5,alpha158_CNTP60,alpha158_KLEN,alpha158_KLOW,alpha158_KLOW2,alpha158_KMID,alpha158_KMID2,alpha158_KSFT,alpha158_KSFT2,alpha158_KUP,alpha158_KUP2,alpha158_SUMD10,alpha158_SUMD20"
alpha158_002,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha158_002.parquet,25,2587671,b874d2b7d2965e491f0ace16f523f467ae047a4f164769b4c0420fad05424080,267056747,True,"alpha158_CORD10,alpha158_CORD20,alpha158_CORD30,alpha158_CORD5,alpha158_CORD60,alpha158_CORR10,alpha158_CORR20,alpha158_CORR30,alpha158_CORR5,alpha158_CORR60,alpha158_HIGH0,alpha158_LOW0,alpha158_SUMD30,alpha158_SUMD5,alpha158_SUMD60,alpha158_SUMN10,alpha158_SUMN20,alpha158_SUMN30,alpha158_SUMN5,alpha158_SUMN60,alpha158_SUMP10,alpha158_SUMP20,alpha158_SUMP30,alpha158_SUMP5,alpha158_SUMP60"
alpha158_003,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha158_003.parquet,25,2587671,bd5616ba8258cf0718b2c967f90b18e5eac1ce01e73463c438ea96e663f4926c,135652080,True,"alpha158_BETA10,alpha158_BETA20,alpha158_BETA30,alpha158_BETA5,alpha158_BETA60,alpha158_IMAX10,alpha158_IMAX20,alpha158_IMAX30,alpha158_IMAX60,alpha158_IMIN10,alpha158_IMIN20,alpha158_IMIN30,alpha158_IMIN5,alpha158_IMIN60,alpha158_IMXD10,alpha158_IMXD20,alpha158_IMXD30,alpha158_IMXD5,alpha158_IMXD60,alpha158_MA10,alpha158_MA20,alpha158_MA30,alpha158_MA5,alpha158_OPEN0,alpha158_VWAP0"
alpha158_004,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha158_004.parquet,25,2587671,3adac2bb1f377c010b5683733285fe611a9cda84b0a796d5b6cf68ddb07aedb8,218612575,True,"alpha158_MA60,alpha158_MAX10,alpha158_MAX20,alpha158_MAX30,alpha158_MAX5,alpha158_MAX60,alpha158_MIN10,alpha158_MIN20,alpha158_MIN30,alpha158_MIN5,alpha158_MIN60,alpha158_QTLD10,alpha158_QTLD20,alpha158_QTLD30,alpha158_QTLD5,alpha158_QTLD60,alpha158_QTLU10,alpha158_QTLU20,alpha158_QTLU30,alpha158_QTLU5,alpha158_QTLU60,alpha158_RANK10,alpha158_RANK20,alpha158_RANK30,alpha158_RANK60"
alpha158_005,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha158_005.parquet,25,2587671,f543071ebf7795cbd9e71d2208da735a870382f744177b7485803c31d9467efd,271369928,True,"alpha158_RESI10,alpha158_RESI20,alpha158_RESI30,alpha158_RESI5,alpha158_RESI60,alpha158_ROC10,alpha158_ROC20,alpha158_ROC30,alpha158_ROC5,alpha158_ROC60,alpha158_RSQR10,alpha158_RSQR20,alpha158_RSQR30,alpha158_RSQR5,alpha158_RSQR60,alpha158_RSV10,alpha158_RSV20,alpha158_RSV30,alpha158_RSV5,alpha158_RSV60,alpha158_STD10,alpha158_STD20,alpha158_STD30,alpha158_STD5,alpha158_STD60"
alpha158_006,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha158_006.parquet,25,2587671,7cbb1aa4549f81dccfe363106167ba54bb10a328116d17eca3211e25c5490ae5,270079657,True,"alpha158_VMA10,alpha158_VMA20,alpha158_VMA30,alpha158_VMA5,alpha158_VMA60,alpha158_VSTD10,alpha158_VSTD20,alpha158_VSTD30,alpha158_VSTD5,alpha158_VSTD60,alpha158_VSUMD10,alpha158_VSUMD20,alpha158_VSUMD30,alpha158_VSUMD5,alpha158_VSUMD60,alpha158_VSUMN10,alpha158_VSUMN20,alpha158_VSUMN30,alpha158_VSUMN5,alpha158_VSUMN60,alpha158_VSUMP10,alpha158_VSUMP20,alpha158_VSUMP30,alpha158_VSUMP5,alpha158_VSUMP60"
alpha158_007,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha158_007.parquet,5,2587671,1135db212c63c374b15566750f41bc26337633fc91b29132391769ca3c5f576e,53380486,True,"alpha158_WVMA10,alpha158_WVMA20,alpha158_WVMA30,alpha158_WVMA5,alpha158_WVMA60"
alpha360_001,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_001.parquet,25,2587671,6ccaf5fc7a8cbf6b603cb6f2ced291bb346f7c092312b05909811b9723b18c59,255101527,True,"alpha360_CLOSE1,alpha360_CLOSE10,alpha360_CLOSE11,alpha360_CLOSE12,alpha360_CLOSE13,alpha360_CLOSE14,alpha360_CLOSE15,alpha360_CLOSE16,alpha360_CLOSE17,alpha360_CLOSE18,alpha360_CLOSE19,alpha360_CLOSE2,alpha360_CLOSE20,alpha360_CLOSE21,alpha360_CLOSE22,alpha360_CLOSE23,alpha360_CLOSE24,alpha360_CLOSE25,alpha360_CLOSE26,alpha360_CLOSE27,alpha360_CLOSE28,alpha360_CLOSE29,alpha360_CLOSE3,alpha360_CLOSE30,alpha360_CLOSE31"
alpha360_002,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_002.parquet,25,2587671,5a03d7dbaaa9b50080405881d9b6100c2c9a36f2c220bba2e960ddd7cfc790c7,258007285,True,"alpha360_CLOSE32,alpha360_CLOSE33,alpha360_CLOSE34,alpha360_CLOSE35,alpha360_CLOSE36,alpha360_CLOSE37,alpha360_CLOSE38,alpha360_CLOSE39,alpha360_CLOSE4,alpha360_CLOSE40,alpha360_CLOSE41,alpha360_CLOSE42,alpha360_CLOSE43,alpha360_CLOSE44,alpha360_CLOSE45,alpha360_CLOSE46,alpha360_CLOSE47,alpha360_CLOSE48,alpha360_CLOSE49,alpha360_CLOSE5,alpha360_CLOSE50,alpha360_CLOSE51,alpha360_CLOSE52,alpha360_CLOSE53,alpha360_CLOSE54"
alpha360_003,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_003.parquet,25,2587671,447e5b9c11ed52cb6243e2f91817e18682924c35b959cda3ffc2362096e96fc8,253427236,True,"alpha360_CLOSE55,alpha360_CLOSE56,alpha360_CLOSE57,alpha360_CLOSE58,alpha360_CLOSE59,alpha360_CLOSE6,alpha360_CLOSE7,alpha360_CLOSE8,alpha360_CLOSE9,alpha360_HIGH0,alpha360_HIGH1,alpha360_HIGH10,alpha360_HIGH11,alpha360_HIGH12,alpha360_HIGH13,alpha360_HIGH14,alpha360_HIGH15,alpha360_HIGH16,alpha360_HIGH17,alpha360_HIGH18,alpha360_HIGH19,alpha360_HIGH2,alpha360_HIGH20,alpha360_HIGH21,alpha360_HIGH22"
alpha360_004,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_004.parquet,25,2587671,50798ca687a4d87b9200e1532244051ff2167be506d053e38d35e248db1019bb,257828414,True,"alpha360_HIGH23,alpha360_HIGH24,alpha360_HIGH25,alpha360_HIGH26,alpha360_HIGH27,alpha360_HIGH28,alpha360_HIGH29,alpha360_HIGH3,alpha360_HIGH30,alpha360_HIGH31,alpha360_HIGH32,alpha360_HIGH33,alpha360_HIGH34,alpha360_HIGH35,alpha360_HIGH36,alpha360_HIGH37,alpha360_HIGH38,alpha360_HIGH39,alpha360_HIGH4,alpha360_HIGH40,alpha360_HIGH41,alpha360_HIGH42,alpha360_HIGH43,alpha360_HIGH44,alpha360_HIGH45"
alpha360_005,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_005.parquet,25,2587671,da3e5a6df55033c0e4439fe8add7047215c7ae15ed9be86f8071a7a7a2a38426,255653569,True,"alpha360_HIGH46,alpha360_HIGH47,alpha360_HIGH48,alpha360_HIGH49,alpha360_HIGH5,alpha360_HIGH50,alpha360_HIGH51,alpha360_HIGH52,alpha360_HIGH53,alpha360_HIGH54,alpha360_HIGH55,alpha360_HIGH56,alpha360_HIGH57,alpha360_HIGH58,alpha360_HIGH59,alpha360_HIGH6,alpha360_HIGH7,alpha360_HIGH8,alpha360_HIGH9,alpha360_LOW0,alpha360_LOW1,alpha360_LOW10,alpha360_LOW11,alpha360_LOW12,alpha360_LOW13"
alpha360_006,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_006.parquet,25,2587671,a8ed629d83857c4e2055f0b84d5e96b60d42786775546ee94166885e0d8208ec,257242808,True,"alpha360_LOW14,alpha360_LOW15,alpha360_LOW16,alpha360_LOW17,alpha360_LOW18,alpha360_LOW19,alpha360_LOW2,alpha360_LOW20,alpha360_LOW21,alpha360_LOW22,alpha360_LOW23,alpha360_LOW24,alpha360_LOW25,alpha360_LOW26,alpha360_LOW27,alpha360_LOW28,alpha360_LOW29,alpha360_LOW3,alpha360_LOW30,alpha360_LOW31,alpha360_LOW32,alpha360_LOW33,alpha360_LOW34,alpha360_LOW35,alpha360_LOW36"
alpha360_007,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_007.parquet,25,2587671,d7fb4019c483fb18a2ab4dbaba47fde705a343757077b4946b76dc97556921de,258946666,True,"alpha360_LOW37,alpha360_LOW38,alpha360_LOW39,alpha360_LOW4,alpha360_LOW40,alpha360_LOW41,alpha360_LOW42,alpha360_LOW43,alpha360_LOW44,alpha360_LOW45,alpha360_LOW46,alpha360_LOW47,alpha360_LOW48,alpha360_LOW49,alpha360_LOW5,alpha360_LOW50,alpha360_LOW51,alpha360_LOW52,alpha360_LOW53,alpha360_LOW54,alpha360_LOW55,alpha360_LOW56,alpha360_LOW57,alpha360_LOW58,alpha360_LOW59"
alpha360_008,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_008.parquet,25,2587671,edd5599a209ef94c69d2279dc0d58b5b7ad3912ff2c57d799cb89bcdc0a649c4,254839896,True,"alpha360_LOW6,alpha360_LOW7,alpha360_LOW8,alpha360_LOW9,alpha360_OPEN0,alpha360_OPEN1,alpha360_OPEN10,alpha360_OPEN11,alpha360_OPEN12,alpha360_OPEN13,alpha360_OPEN14,alpha360_OPEN15,alpha360_OPEN16,alpha360_OPEN17,alpha360_OPEN18,alpha360_OPEN19,alpha360_OPEN2,alpha360_OPEN20,alpha360_OPEN21,alpha360_OPEN22,alpha360_OPEN23,alpha360_OPEN24,alpha360_OPEN25,alpha360_OPEN26,alpha360_OPEN27"
alpha360_009,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_009.parquet,25,2587671,839c1d1d1198fa6099bc646cacfff1a78c2542482576350a0c6a06cfd44d04b0,258105334,True,"alpha360_OPEN28,alpha360_OPEN29,alpha360_OPEN3,alpha360_OPEN30,alpha360_OPEN31,alpha360_OPEN32,alpha360_OPEN33,alpha360_OPEN34,alpha360_OPEN35,alpha360_OPEN36,alpha360_OPEN37,alpha360_OPEN38,alpha360_OPEN39,alpha360_OPEN4,alpha360_OPEN40,alpha360_OPEN41,alpha360_OPEN42,alpha360_OPEN43,alpha360_OPEN44,alpha360_OPEN45,alpha360_OPEN46,alpha360_OPEN47,alpha360_OPEN48,alpha360_OPEN49,alpha360_OPEN5"
alpha360_010,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_010.parquet,25,2587671,b3d77a9d139b0ef5501c48d7722d5bc281d8936da80d29a0083067c526947194,263983806,True,"alpha360_OPEN50,alpha360_OPEN51,alpha360_OPEN52,alpha360_OPEN53,alpha360_OPEN54,alpha360_OPEN55,alpha360_OPEN56,alpha360_OPEN57,alpha360_OPEN58,alpha360_OPEN59,alpha360_OPEN6,alpha360_OPEN7,alpha360_OPEN8,alpha360_OPEN9,alpha360_VOLUME1,alpha360_VOLUME10,alpha360_VOLUME11,alpha360_VOLUME12,alpha360_VOLUME13,alpha360_VOLUME14,alpha360_VOLUME15,alpha360_VOLUME16,alpha360_VOLUME17,alpha360_VOLUME18,alpha360_VOLUME19"
alpha360_011,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_011.parquet,25,2587671,fa3ef37a0ac65df9c1249aa6026a530053fc0f58f66ceac9f7f7087d1ab5f36e,272346358,True,"alpha360_VOLUME2,alpha360_VOLUME20,alpha360_VOLUME21,alpha360_VOLUME22,alpha360_VOLUME23,alpha360_VOLUME24,alpha360_VOLUME25,alpha360_VOLUME26,alpha360_VOLUME27,alpha360_VOLUME28,alpha360_VOLUME29,alpha360_VOLUME3,alpha360_VOLUME30,alpha360_VOLUME31,alpha360_VOLUME32,alpha360_VOLUME33,alpha360_VOLUME34,alpha360_VOLUME35,alpha360_VOLUME36,alpha360_VOLUME37,alpha360_VOLUME38,alpha360_VOLUME39,alpha360_VOLUME4,alpha360_VOLUME40,alpha360_VOLUME41"
alpha360_012,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_012.parquet,25,2587671,f9718e692e50397502d136ca446c81afff548af5b33d1ac563a247258554d536,270007151,True,"alpha360_VOLUME42,alpha360_VOLUME43,alpha360_VOLUME44,alpha360_VOLUME45,alpha360_VOLUME46,alpha360_VOLUME47,alpha360_VOLUME48,alpha360_VOLUME49,alpha360_VOLUME5,alpha360_VOLUME50,alpha360_VOLUME51,alpha360_VOLUME52,alpha360_VOLUME53,alpha360_VOLUME54,alpha360_VOLUME55,alpha360_VOLUME56,alpha360_VOLUME57,alpha360_VOLUME58,alpha360_VOLUME59,alpha360_VOLUME6,alpha360_VOLUME7,alpha360_VOLUME8,alpha360_VOLUME9,alpha360_VWAP0,alpha360_VWAP1"
alpha360_013,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/alpha360_013.parquet,25,2587671,29c460eb9e7664011695027c6a17b4c828b2979cb29d35a6bcc4a588caecb812,256538488,True,"alpha360_VWAP10,alpha360_VWAP11,alpha360_VWAP12,alpha360_VWAP13,alpha360_VWAP14,alpha360_VWAP15,alpha360_VWAP16,alpha360_VWAP17,alpha360_VWAP18,alpha360_VWAP19,alpha360_VWAP2,alpha360_VWAP20,alpha360_VWAP21,alpha360_VWAP22,alpha360_VWAP23,alpha360_VWAP24,alpha360_VWAP25,alpha360_VWAP26,alpha360_VWAP27,alpha360_VWAP28,alpha360_VWAP29,alpha360_VWAP3,alpha360_VWAP30,alpha360_VWAP31,alpha360_VWAP32"
