decision_date,execution_date,instrument,rank,score,target_weight,target_stock_weight
2026-08-07,2026-08-10,SZ002731,1,0.0793880945616069,0.02,0.019
2026-08-07,2026-08-10,SZ002047,2,0.0763265488993722,0.02,0.019
2026-08-07,2026-08-10,SZ002191,3,0.0663553701664227,0.02,0.019
2026-08-07,2026-08-10,SH600169,4,0.0655633747680296,0.02,0.019
2026-08-07,2026-08-10,SZ300230,5,0.0645987838116931,0.02,0.019
2026-08-07,2026-08-10,SZ000010,6,0.0607297977153201,0.02,0.019
2026-08-07,2026-08-10,SZ002424,7,0.0605150255181076,0.02,0.019
2026-08-07,2026-08-10,SZ300091,8,0.0597080978913215,0.02,0.019
2026-08-07,2026-08-10,SZ000698,9,0.0588370870895653,0.02,0.019
2026-08-07,2026-08-10,SH600239,10,0.0578809489872297,0.02,0.019
2026-08-07,2026-08-10,SZ002462,11,0.0572953976088655,0.02,0.019
2026-08-07,2026-08-10,SZ002658,12,0.0567582087099377,0.02,0.019
2026-08-07,2026-08-10,SH600568,13,0.0567198293466943,0.02,0.019
2026-08-07,2026-08-10,SZ000652,14,0.0566362770789218,0.02,0.019
2026-08-07,2026-08-10,SZ000655,15,0.0562687839409859,0.02,0.019
2026-08-07,2026-08-10,SZ000726,16,0.0556345086190176,0.02,0.019
2026-08-07,2026-08-10,SH600917,17,0.055117055161683,0.02,0.019
2026-08-07,2026-08-10,SZ002234,18,0.0550183258863301,0.02,0.019
2026-08-07,2026-08-10,SZ000631,19,0.0546843646379132,0.02,0.019
2026-08-07,2026-08-10,SH600136,20,0.0544443695929819,0.02,0.019
2026-08-07,2026-08-10,SH603008,21,0.0542238979434966,0.02,0.019
2026-08-07,2026-08-10,SZ300193,22,0.0540044196719322,0.02,0.019
2026-08-07,2026-08-10,SZ002634,23,0.0539567834177794,0.02,0.019
2026-08-07,2026-08-10,SH600648,24,0.0536714314977637,0.02,0.019
2026-08-07,2026-08-10,SH600365,25,0.0534343011789454,0.02,0.019
2026-08-07,2026-08-10,SH600551,26,0.0530523642829662,0.02,0.019
2026-08-07,2026-08-10,SH600537,27,0.0530019340688119,0.02,0.019
2026-08-07,2026-08-10,SZ002224,28,0.0529063150234042,0.02,0.019
2026-08-07,2026-08-10,SZ300218,29,0.0524964840853178,0.02,0.019
2026-08-07,2026-08-10,SH600526,30,0.0524493344763951,0.02,0.019
2026-08-07,2026-08-10,SZ002206,31,0.0522490150188807,0.02,0.019
2026-08-07,2026-08-10,SZ000488,32,0.051520658442043,0.02,0.019
2026-08-07,2026-08-10,SZ300501,33,0.0515116554017755,0.02,0.019
2026-08-07,2026-08-10,SH600807,34,0.0514162308356126,0.02,0.019
2026-08-07,2026-08-10,SH600229,35,0.0513463994190334,0.02,0.019
2026-08-07,2026-08-10,SZ002556,36,0.0512349216127699,0.02,0.019
2026-08-07,2026-08-10,SH600834,37,0.0511702668675108,0.02,0.019
2026-08-07,2026-08-10,SH600107,38,0.0508985342131364,0.02,0.019
2026-08-07,2026-08-10,SH600231,39,0.0506511864425253,0.02,0.019
2026-08-07,2026-08-10,SZ300160,40,0.0506313680172067,0.02,0.019
2026-08-07,2026-08-10,SZ000705,41,0.0504817129405225,0.02,0.019
2026-08-07,2026-08-10,SZ300478,42,0.0503882240842623,0.02,0.019
2026-08-07,2026-08-10,SH600467,43,0.0503481666262936,0.02,0.019
2026-08-07,2026-08-10,SH603788,44,0.0502313227966814,0.02,0.019
2026-08-07,2026-08-10,SH603111,45,0.0500685938517932,0.02,0.019
2026-08-07,2026-08-10,SH600249,46,0.0499804851386914,0.02,0.019
2026-08-07,2026-08-10,SH603828,47,0.0498723404552771,0.02,0.019
2026-08-07,2026-08-10,SZ300314,48,0.0498269730317257,0.02,0.019
2026-08-07,2026-08-10,SZ002722,49,0.0497909767861349,0.02,0.019
2026-08-07,2026-08-10,SH601368,50,0.0496810306976681,0.02,0.019
