split_id,method,valid_component_count,status,reason
split_001,equal_directional_zscore,9,pass,
split_001,cluster_equal,9,pass,
split_001,stability_weight,9,pass,
split_002,equal_directional_zscore,8,pass,
split_002,cluster_equal,8,pass,
split_002,stability_weight,8,pass,
split_003,equal_directional_zscore,7,pass,
split_003,cluster_equal,7,pass,
split_003,stability_weight,7,pass,
