batch_id,status,factor_count,factors,evaluator_status_rows,failure_rows,metric_rows,context_metric_rows,output_dir
batch_023,skipped_existing,5,"alpha360_OPEN8,alpha360_OPEN7,alpha360_OPEN6,alpha360_OPEN5,alpha360_OPEN4",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_023
batch_024,skipped_existing,5,"alpha360_OPEN3,alpha360_OPEN2,alpha360_OPEN1,alpha360_OPEN0,alpha360_HIGH59",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_024
batch_025,skipped_existing,5,"alpha360_HIGH58,alpha360_HIGH57,alpha360_HIGH56,alpha360_HIGH55,alpha360_HIGH54",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_025
batch_026,skipped_existing,5,"alpha360_HIGH53,alpha360_HIGH52,alpha360_HIGH51,alpha360_HIGH50,alpha360_HIGH49",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_026
batch_027,skipped_existing,5,"alpha360_HIGH48,alpha360_HIGH47,alpha360_HIGH46,alpha360_HIGH45,alpha360_HIGH44",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_027
batch_028,skipped_existing,5,"alpha360_HIGH43,alpha360_HIGH42,alpha360_HIGH41,alpha360_HIGH40,alpha360_HIGH39",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_028
batch_029,skipped_existing,5,"alpha360_HIGH38,alpha360_HIGH37,alpha360_HIGH36,alpha360_HIGH35,alpha360_HIGH34",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_029
batch_030,skipped_existing,5,"alpha360_HIGH33,alpha360_HIGH32,alpha360_HIGH31,alpha360_HIGH30,alpha360_HIGH29",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_030
batch_031,skipped_existing,5,"alpha360_HIGH28,alpha360_HIGH27,alpha360_HIGH26,alpha360_HIGH25,alpha360_HIGH24",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_031
batch_032,skipped_existing,5,"alpha360_HIGH23,alpha360_HIGH22,alpha360_HIGH21,alpha360_HIGH20,alpha360_HIGH19",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_032
