outer_split_id,fold,datetime,valid_pair_count,status
split_001,train,2021-02-01,1993,pass
split_001,train,2021-02-02,1993,pass
split_001,train,2021-02-03,1993,pass
split_001,train,2021-02-04,1992,pass
split_001,train,2021-02-05,1991,pass
split_001,train,2021-02-08,1992,pass
split_001,train,2021-02-09,1995,pass
split_001,train,2021-02-10,1991,pass
split_001,train,2021-02-18,1994,pass
split_001,train,2021-02-19,1997,pass
split_001,train,2021-02-22,1995,pass
split_001,train,2021-02-23,1995,pass
split_001,train,2021-02-24,1996,pass
split_001,train,2021-02-25,1994,pass
split_001,train,2021-02-26,1995,pass
split_001,train,2021-03-01,1995,pass
split_001,train,2021-03-02,1994,pass
split_001,train,2021-03-03,1997,pass
split_001,train,2021-03-04,1997,pass
split_001,train,2021-03-05,1997,pass
split_001,validation,2024-02-01,1998,pass
split_001,validation,2024-02-02,2000,pass
split_001,validation,2024-02-05,2000,pass
split_001,validation,2024-02-06,2000,pass
split_001,validation,2024-02-07,2000,pass
split_001,validation,2024-02-08,2000,pass
split_001,validation,2024-02-19,2000,pass
split_001,validation,2024-02-20,1999,pass
split_001,validation,2024-02-21,1999,pass
split_001,validation,2024-02-22,1999,pass
