outer_split_id,fold,date_count,start_date,end_date,key_count,factor_count,allowlist_sha256,feature_order_sha256,allowed_dates_sha256
split_001,train,20,2021-02-01,2021-03-05,40000,45,b33e0cb90f8d90be2486d432f39a00bdbbbe3c94d4ee18b1b60ea350dd7fe74b,ade36d845508b7e14d4beb85864a0da273198e200266bde1496603a9e11a5d2d,1c374814f32cd3f87c404ad09942788eaee0c5ac8fc2a69e54f8f9c19f9f5205
split_001,validation,10,2024-02-01,2024-02-22,20000,45,b33e0cb90f8d90be2486d432f39a00bdbbbe3c94d4ee18b1b60ea350dd7fe74b,ade36d845508b7e14d4beb85864a0da273198e200266bde1496603a9e11a5d2d,1c374814f32cd3f87c404ad09942788eaee0c5ac8fc2a69e54f8f9c19f9f5205
