outer_split_id,factor,development_missing_count,development_row_count
split_001,alpha158_CNTD30,0,1529862
split_001,alpha158_CNTP60,0,1529862
split_001,alpha158_KLEN,1938,1529862
split_001,alpha158_KLOW,1938,1529862
split_001,alpha158_KMID,1938,1529862
split_001,alpha158_KUP,1938,1529862
split_002,alpha158_CNTP10,0,1769818
split_002,alpha158_CNTP5,0,1769818
split_002,alpha158_KLEN,2189,1769818
split_002,alpha158_KLOW,2189,1769818
split_002,alpha158_KUP,2189,1769818
split_003,alpha158_KLEN,2728,2017703
split_003,alpha158_KLOW,2728,2017703
split_003,alpha158_KMID,2728,2017703
split_003,alpha158_KUP,2728,2017703
split_001,alpha158_CORD10,672,1529862
split_001,alpha158_CORD20,223,1529862
split_001,alpha158_CORD5,1540,1529862
split_001,alpha158_CORD60,32,1529862
split_001,alpha158_CORR10,571,1529862
split_001,alpha158_CORR20,208,1529862
split_001,alpha158_CORR5,1395,1529862
split_001,alpha158_HIGH0,1938,1529862
split_001,alpha158_LOW0,1938,1529862
split_002,alpha158_CORD10,751,1769818
split_002,alpha158_CORD20,229,1769818
split_002,alpha158_CORD5,1748,1769818
split_002,alpha158_CORR5,1575,1769818
split_002,alpha158_HIGH0,2189,1769818
split_002,alpha158_LOW0,2189,1769818
split_003,alpha158_CORD10,1011,2017703
split_003,alpha158_CORD20,351,2017703
split_003,alpha158_CORD5,2196,2017703
split_003,alpha158_CORR10,861,2017703
split_003,alpha158_CORR20,332,2017703
split_003,alpha158_CORR5,1983,2017703
split_003,alpha158_HIGH0,2728,2017703
split_003,alpha158_LOW0,2728,2017703
split_001,alpha158_BETA10,2024,1529862
split_001,alpha158_BETA5,2119,1529862
split_001,alpha158_IMIN20,162,1529862
split_002,alpha158_IMAX10,411,1769818
split_002,alpha158_IMAX20,168,1769818
split_002,alpha158_IMAX60,0,1769818
split_002,alpha158_IMIN5,1062,1769818
split_003,alpha158_IMAX30,145,2017703
split_003,alpha158_IMAX60,0,2017703
split_003,alpha158_IMIN20,278,2017703
split_003,alpha158_IMIN5,1393,2017703
split_001,alpha158_MAX5,1938,1529862
split_001,alpha158_MIN10,1938,1529862
split_001,alpha158_QTLD60,1938,1529862
split_002,alpha158_MIN10,2189,1769818
split_003,alpha158_MAX5,2728,2017703
split_003,alpha158_MIN10,2728,2017703
split_003,alpha158_QTLD10,2728,2017703
split_003,alpha158_QTLD5,2728,2017703
split_001,alpha158_RSQR30,108,1529862
split_002,alpha158_STD10,2288,1769818
split_003,alpha158_RSQR30,188,2017703
split_003,alpha158_STD60,2728,2017703
split_001,alpha158_VMA30,1938,1529862
split_001,alpha158_VMA60,1938,1529862
split_001,alpha158_VSUMD60,31,1529862
split_002,alpha158_VMA60,2189,1769818
split_002,alpha158_VSTD5,2396,1769818
split_002,alpha158_VSUMD20,209,1769818
split_002,alpha158_VSUMD60,31,1769818
split_003,alpha158_VMA60,2728,2017703
split_003,alpha158_VSTD5,2969,2017703
split_003,alpha158_VSUMD20,323,2017703
split_003,alpha158_VSUMD60,31,2017703
split_002,alpha360_HIGH34,4242,1769818
split_001,alpha360_LOW1,2351,1529862
split_002,alpha360_LOW1,2642,1769818
split_001,alpha360_VOLUME13,3616,1529862
split_003,alpha360_VOLUME12,4945,2017703
split_003,alpha360_VOLUME38,5190,2017703
split_002,ta_momentum_ao,16699,1769818
split_003,ta_trend_adx_pos,242694,2017703
split_001,ta_trend_mass_index,0,1529862
split_002,ta_trend_dpo,10699,1769818
split_003,ta_trend_dpo,12751,2017703
split_003,ta_trend_mass_index,0,2017703
split_001,ta_volatility_bbhi,0,1529862
split_001,ta_volume_cmf,9734,1529862
split_002,ta_volatility_atr,206763,1769818
split_002,ta_volatility_bbhi,0,1769818
split_002,ta_volume_cmf,10699,1769818
split_002,ta_volume_em,2642,1769818
split_003,ta_volatility_bbhi,0,2017703
split_003,ta_volume_em,3265,2017703
split_001,ta_volume_sma_em,7708,1529862
split_002,ta_volume_sma_em,8494,1769818
split_001,kunquant_alpha101_alpha003,0,1529862
split_001,kunquant_alpha101_alpha011,10839,1529862
split_001,kunquant_alpha101_alpha012,4966,1529862
split_001,kunquant_alpha101_alpha013,13738,1529862
split_001,kunquant_alpha101_alpha020,4966,1529862
split_001,kunquant_alpha101_alpha029,33997,1529862
split_002,kunquant_alpha101_alpha002,0,1769818
split_002,kunquant_alpha101_alpha011,12138,1769818
split_002,kunquant_alpha101_alpha012,5482,1769818
split_002,kunquant_alpha101_alpha013,15450,1769818
split_002,kunquant_alpha101_alpha020,5482,1769818
split_002,kunquant_alpha101_alpha026,0,1769818
split_002,kunquant_alpha101_alpha029,38572,1769818
split_003,kunquant_alpha101_alpha002,0,2017703
split_003,kunquant_alpha101_alpha003,0,2017703
split_003,kunquant_alpha101_alpha005,37104,2017703
split_003,kunquant_alpha101_alpha011,14330,2017703
split_003,kunquant_alpha101_alpha012,6600,2017703
split_003,kunquant_alpha101_alpha013,18189,2017703
split_003,kunquant_alpha101_alpha020,6600,2017703
split_003,kunquant_alpha101_alpha024,13810,2017703
split_003,kunquant_alpha101_alpha026,0,2017703
split_001,kunquant_alpha101_alpha034,4966,1529862
split_001,kunquant_alpha101_alpha050,0,1529862
split_001,kunquant_alpha101_alpha055,0,1529862
split_001,kunquant_alpha101_alpha062,0,1529862
split_002,kunquant_alpha101_alpha034,5482,1769818
split_002,kunquant_alpha101_alpha050,0,1769818
split_002,kunquant_alpha101_alpha055,0,1769818
split_002,kunquant_alpha101_alpha062,0,1769818
split_003,kunquant_alpha101_alpha043,55992,2017703
split_003,kunquant_alpha101_alpha050,0,2017703
split_003,kunquant_alpha101_alpha055,0,2017703
split_003,kunquant_alpha101_alpha062,0,2017703
split_003,kunquant_alpha101_alpha071,71004,2017703
split_003,kunquant_alpha101_alpha072,249047,2017703
split_001,kunquant_alpha101_alpha094,33997,1529862
split_002,kunquant_alpha101_alpha077,7,1769818
split_002,kunquant_alpha101_alpha083,23754,1769818
split_002,kunquant_alpha101_alpha085,0,1769818
split_002,kunquant_alpha101_alpha094,38572,1769818
split_003,kunquant_alpha101_alpha094,44661,2017703
split_001,amount_cv_20,9734,1529862
split_001,amount_std_20,9734,1529862
split_001,corr_ret_amount_20,10139,1529862
split_002,amount_cv_20,10699,1769818
split_003,amount_cv_20,12751,2017703
split_003,amount_mean_20,12751,2017703
split_003,corr_ret_amount_20,13276,2017703
