rolling_interval_id,datetime,instrument,resolution
672,2025-04-14,SH600705,truncated_to_lifecycle
672,2025-04-15,SH600705,truncated_to_lifecycle
672,2025-04-16,SH600705,truncated_to_lifecycle
672,2025-04-17,SH600705,truncated_to_lifecycle
672,2025-04-18,SH600705,truncated_to_lifecycle
672,2025-04-21,SH600705,truncated_to_lifecycle
672,2025-04-22,SH600705,truncated_to_lifecycle
672,2025-04-23,SH600705,truncated_to_lifecycle
672,2025-04-24,SH600705,truncated_to_lifecycle
672,2025-04-25,SH600705,truncated_to_lifecycle
672,2025-04-28,SH600705,truncated_to_lifecycle
672,2025-04-29,SH600705,truncated_to_lifecycle
672,2025-04-30,SH600705,truncated_to_lifecycle
790,2025-04-15,SH600811,truncated_to_lifecycle
790,2025-04-16,SH600811,truncated_to_lifecycle
790,2025-04-17,SH600811,truncated_to_lifecycle
790,2025-04-18,SH600811,truncated_to_lifecycle
790,2025-04-21,SH600811,truncated_to_lifecycle
790,2025-04-22,SH600811,truncated_to_lifecycle
790,2025-04-23,SH600811,truncated_to_lifecycle
790,2025-04-24,SH600811,truncated_to_lifecycle
790,2025-04-25,SH600811,truncated_to_lifecycle
790,2025-04-28,SH600811,truncated_to_lifecycle
790,2025-04-29,SH600811,truncated_to_lifecycle
790,2025-04-30,SH600811,truncated_to_lifecycle
813,2025-02-06,SH600837,truncated_to_lifecycle
813,2025-02-07,SH600837,truncated_to_lifecycle
813,2025-02-10,SH600837,truncated_to_lifecycle
813,2025-02-11,SH600837,truncated_to_lifecycle
813,2025-02-12,SH600837,truncated_to_lifecycle
813,2025-02-13,SH600837,truncated_to_lifecycle
813,2025-02-14,SH600837,truncated_to_lifecycle
813,2025-02-17,SH600837,truncated_to_lifecycle
813,2025-02-18,SH600837,truncated_to_lifecycle
813,2025-02-19,SH600837,truncated_to_lifecycle
813,2025-02-20,SH600837,truncated_to_lifecycle
813,2025-02-21,SH600837,truncated_to_lifecycle
813,2025-02-24,SH600837,truncated_to_lifecycle
813,2025-02-25,SH600837,truncated_to_lifecycle
813,2025-02-26,SH600837,truncated_to_lifecycle
813,2025-02-27,SH600837,truncated_to_lifecycle
813,2025-02-28,SH600837,truncated_to_lifecycle
973,2025-03-27,SH601028,truncated_to_lifecycle
973,2025-03-28,SH601028,truncated_to_lifecycle
973,2025-03-31,SH601028,truncated_to_lifecycle
1215,2025-08-13,SH601989,truncated_to_lifecycle
1215,2025-08-14,SH601989,truncated_to_lifecycle
1215,2025-08-15,SH601989,truncated_to_lifecycle
1215,2025-08-18,SH601989,truncated_to_lifecycle
1215,2025-08-19,SH601989,truncated_to_lifecycle
1215,2025-08-20,SH601989,truncated_to_lifecycle
1215,2025-08-21,SH601989,truncated_to_lifecycle
1215,2025-08-22,SH601989,truncated_to_lifecycle
1215,2025-08-25,SH601989,truncated_to_lifecycle
1215,2025-08-26,SH601989,truncated_to_lifecycle
1215,2025-08-27,SH601989,truncated_to_lifecycle
1215,2025-08-28,SH601989,truncated_to_lifecycle
1215,2025-08-29,SH601989,truncated_to_lifecycle
2478,2024-01-09,SZ000046,truncated_to_lifecycle
2478,2024-01-10,SZ000046,truncated_to_lifecycle
2478,2024-01-11,SZ000046,truncated_to_lifecycle
2478,2024-01-12,SZ000046,truncated_to_lifecycle
2478,2024-01-15,SZ000046,truncated_to_lifecycle
2478,2024-01-16,SZ000046,truncated_to_lifecycle
2478,2024-01-17,SZ000046,truncated_to_lifecycle
2478,2024-01-18,SZ000046,truncated_to_lifecycle
2478,2024-01-19,SZ000046,truncated_to_lifecycle
2478,2024-01-22,SZ000046,truncated_to_lifecycle
