selection_date,effective_date,instrument,action
2021-01-29,2021-02-01,SH600000,enter
2021-01-29,2021-02-01,SH600004,enter
2021-01-29,2021-02-01,SH600006,enter
2021-01-29,2021-02-01,SH600008,enter
2021-01-29,2021-02-01,SH600009,enter
2021-01-29,2021-02-01,SH600010,enter
2021-01-29,2021-02-01,SH600011,enter
2021-01-29,2021-02-01,SH600015,enter
2021-01-29,2021-02-01,SH600016,enter
2021-01-29,2021-02-01,SH600018,enter
2021-01-29,2021-02-01,SH600019,enter
2021-01-29,2021-02-01,SH600022,enter
2021-01-29,2021-02-01,SH600025,enter
2021-01-29,2021-02-01,SH600026,enter
2021-01-29,2021-02-01,SH600027,enter
2021-01-29,2021-02-01,SH600028,enter
2021-01-29,2021-02-01,SH600029,enter
2021-01-29,2021-02-01,SH600030,enter
2021-01-29,2021-02-01,SH600031,enter
2021-01-29,2021-02-01,SH600036,enter
2021-01-29,2021-02-01,SH600037,enter
2021-01-29,2021-02-01,SH600038,enter
2021-01-29,2021-02-01,SH600039,enter
2021-01-29,2021-02-01,SH600048,enter
2021-01-29,2021-02-01,SH600050,enter
2021-01-29,2021-02-01,SH600053,enter
2021-01-29,2021-02-01,SH600055,enter
2021-01-29,2021-02-01,SH600056,enter
2021-01-29,2021-02-01,SH600057,enter
2021-01-29,2021-02-01,SH600059,enter
2021-01-29,2021-02-01,SH600060,enter
2021-01-29,2021-02-01,SH600061,enter
2021-01-29,2021-02-01,SH600062,enter
2021-01-29,2021-02-01,SH600063,enter
2021-01-29,2021-02-01,SH600064,enter
2021-01-29,2021-02-01,SH600066,enter
2021-01-29,2021-02-01,SH600068,enter
2021-01-29,2021-02-01,SH600070,enter
2021-01-29,2021-02-01,SH600072,enter
2021-01-29,2021-02-01,SH600073,enter
2021-01-29,2021-02-01,SH600079,enter
2021-01-29,2021-02-01,SH600081,enter
2021-01-29,2021-02-01,SH600085,enter
2021-01-29,2021-02-01,SH600089,enter
2021-01-29,2021-02-01,SH600093,enter
2021-01-29,2021-02-01,SH600094,enter
2021-01-29,2021-02-01,SH600095,enter
2021-01-29,2021-02-01,SH600096,enter
2021-01-29,2021-02-01,SH600100,enter
2021-01-29,2021-02-01,SH600104,enter
2021-01-29,2021-02-01,SH600105,enter
2021-01-29,2021-02-01,SH600107,enter
2021-01-29,2021-02-01,SH600108,enter
2021-01-29,2021-02-01,SH600109,enter
2021-01-29,2021-02-01,SH600110,enter
2021-01-29,2021-02-01,SH600111,enter
2021-01-29,2021-02-01,SH600114,enter
2021-01-29,2021-02-01,SH600115,enter
2021-01-29,2021-02-01,SH600116,enter
2021-01-29,2021-02-01,SH600118,enter
2021-01-29,2021-02-01,SH600120,enter
2021-01-29,2021-02-01,SH600125,enter
2021-01-29,2021-02-01,SH600126,enter
2021-01-29,2021-02-01,SH600127,enter
2021-01-29,2021-02-01,SH600129,enter
2021-01-29,2021-02-01,SH600131,enter
2021-01-29,2021-02-01,SH600132,enter
2021-01-29,2021-02-01,SH600138,enter
2021-01-29,2021-02-01,SH600141,enter
2021-01-29,2021-02-01,SH600143,enter
2021-01-29,2021-02-01,SH600150,enter
2021-01-29,2021-02-01,SH600151,enter
2021-01-29,2021-02-01,SH600153,enter
2021-01-29,2021-02-01,SH600155,enter
2021-01-29,2021-02-01,SH600157,enter
2021-01-29,2021-02-01,SH600158,enter
2021-01-29,2021-02-01,SH600160,enter
2021-01-29,2021-02-01,SH600161,enter
2021-01-29,2021-02-01,SH600165,enter
2021-01-29,2021-02-01,SH600166,enter
2021-01-29,2021-02-01,SH600170,enter
2021-01-29,2021-02-01,SH600171,enter
2021-01-29,2021-02-01,SH600172,enter
2021-01-29,2021-02-01,SH600176,enter
2021-01-29,2021-02-01,SH600177,enter
2021-01-29,2021-02-01,SH600183,enter
2021-01-29,2021-02-01,SH600185,enter
2021-01-29,2021-02-01,SH600188,enter
2021-01-29,2021-02-01,SH600191,enter
2021-01-29,2021-02-01,SH600195,enter
2021-01-29,2021-02-01,SH600196,enter
2021-01-29,2021-02-01,SH600197,enter
2021-01-29,2021-02-01,SH600198,enter
2021-01-29,2021-02-01,SH600199,enter
2021-01-29,2021-02-01,SH600200,enter
2021-01-29,2021-02-01,SH600201,enter
2021-01-29,2021-02-01,SH600203,enter
2021-01-29,2021-02-01,SH600206,enter
2021-01-29,2021-02-01,SH600208,enter
2021-01-29,2021-02-01,SH600211,enter
2021-01-29,2021-02-01,SH600216,enter
2021-01-29,2021-02-01,SH600217,enter
2021-01-29,2021-02-01,SH600218,enter
2021-01-29,2021-02-01,SH600219,enter
2021-01-29,2021-02-01,SH600221,enter
2021-01-29,2021-02-01,SH600223,enter
2021-01-29,2021-02-01,SH600226,enter
2021-01-29,2021-02-01,SH600233,enter
2021-01-29,2021-02-01,SH600237,enter
2021-01-29,2021-02-01,SH600246,enter
2021-01-29,2021-02-01,SH600251,enter
2021-01-29,2021-02-01,SH600256,enter
2021-01-29,2021-02-01,SH600258,enter
2021-01-29,2021-02-01,SH600259,enter
2021-01-29,2021-02-01,SH600260,enter
2021-01-29,2021-02-01,SH600267,enter
2021-01-29,2021-02-01,SH600268,enter
2021-01-29,2021-02-01,SH600271,enter
2021-01-29,2021-02-01,SH600273,enter
2021-01-29,2021-02-01,SH600276,enter
2021-01-29,2021-02-01,SH600282,enter
2021-01-29,2021-02-01,SH600285,enter
2021-01-29,2021-02-01,SH600291,enter
2021-01-29,2021-02-01,SH600297,enter
2021-01-29,2021-02-01,SH600298,enter
2021-01-29,2021-02-01,SH600299,enter
