datetime,instrument,method,composite_score,component_count,split_id
2024-08-01,SH600000,cluster_equal,-0.06609342118029746,16,split_001
2024-08-01,SH600004,cluster_equal,0.3523744740214037,16,split_001
2024-08-01,SH600006,cluster_equal,-1.4207119337540721,16,split_001
2024-08-01,SH600008,cluster_equal,0.07889803131552152,16,split_001
2024-08-01,SH600009,cluster_equal,0.702526789598932,16,split_001
2024-08-01,SH600010,cluster_equal,-0.13307402089726894,16,split_001
2024-08-01,SH600011,cluster_equal,0.48565884399483095,16,split_001
2024-08-01,SH600015,cluster_equal,0.5511093773627519,16,split_001
2024-08-01,SH600016,cluster_equal,0.9347028644804387,16,split_001
2024-08-01,SH600018,cluster_equal,-0.452390172643166,16,split_001
2024-08-01,SH600000,equal_directional_zscore,-0.06609342118029746,16,split_001
2024-08-01,SH600004,equal_directional_zscore,0.3523744740214037,16,split_001
2024-08-01,SH600006,equal_directional_zscore,-1.4207119337540721,16,split_001
2024-08-01,SH600008,equal_directional_zscore,0.07889803131552152,16,split_001
2024-08-01,SH600009,equal_directional_zscore,0.702526789598932,16,split_001
2024-08-01,SH600010,equal_directional_zscore,-0.13307402089726894,16,split_001
2024-08-01,SH600011,equal_directional_zscore,0.48565884399483095,16,split_001
2024-08-01,SH600015,equal_directional_zscore,0.5511093773627519,16,split_001
2024-08-01,SH600016,equal_directional_zscore,0.9347028644804387,16,split_001
2024-08-01,SH600018,equal_directional_zscore,-0.452390172643166,16,split_001
2024-08-01,SH600000,stability_weight,-0.06531895559199882,16,split_001
2024-08-01,SH600004,stability_weight,0.3501456745518261,16,split_001
2024-08-01,SH600006,stability_weight,-1.4205185691942814,16,split_001
2024-08-01,SH600008,stability_weight,0.0778298348365847,16,split_001
2024-08-01,SH600009,stability_weight,0.7059067000860306,16,split_001
2024-08-01,SH600010,stability_weight,-0.13334686765941442,16,split_001
2024-08-01,SH600011,stability_weight,0.4838829094054225,16,split_001
2024-08-01,SH600015,stability_weight,0.5503833417249692,16,split_001
2024-08-01,SH600016,stability_weight,0.9337495677844125,16,split_001
2024-08-01,SH600018,stability_weight,-0.4564946137988729,16,split_001
