factor,compared_rows,changed_rows,max_absolute_difference,mean_absolute_difference,v1_missing_v2_present,v1_present_v2_missing
alpha158_BETA10,1273,513,0.0003198364726439834,1.1573694226103766e-05,0,0
alpha158_BETA20,1273,426,0.00046490824265671415,1.1753237767899706e-05,0,0
alpha158_BETA30,1273,426,0.00042209817031582664,1.2161148655438043e-05,0,0
alpha158_BETA5,1273,588,0.00018617138425986585,1.1549780493421521e-05,0,0
alpha158_BETA60,1273,422,0.0003588174981393327,1.1949604119586443e-05,0,0
alpha158_CNTD10,1273,0,1.1102230246251565e-16,4.509552842050716e-17,0,0
alpha158_CNTD20,1273,0,1.6653345369377348e-16,4.552001103069315e-17,0,0
alpha158_CNTD30,1273,0,1.6653345369377348e-16,4.676806783433267e-17,0,0
alpha158_CNTD5,1273,0,1.6653345369377348e-16,4.6309240799476226e-17,0,0
alpha158_CNTD60,1273,0,1.6653345369377348e-16,4.5994062035567804e-17,0,0
alpha158_CNTN10,1273,0,2.220446049250313e-16,4.615727257568259e-17,0,0
alpha158_CNTN20,1273,0,1.6653345369377348e-16,4.7288461455633377e-17,0,0
alpha158_CNTN30,1273,0,1.6653345369377348e-16,4.6910885706916064e-17,0,0
alpha158_CNTN60,1273,0,1.3877787807814457e-16,4.699859121111362e-17,0,0
alpha158_CNTP10,1273,0,2.220446049250313e-16,4.588771781423083e-17,0,0
alpha158_CNTP20,1273,0,2.220446049250313e-16,4.664420007827543e-17,0,0
alpha158_CNTP30,1273,0,1.6653345369377348e-16,4.52626939989868e-17,0,0
alpha158_CNTP5,1273,0,1.3877787807814457e-16,4.520901619700652e-17,0,0
alpha158_CNTP60,1273,0,1.6653345369377348e-16,4.419110749396394e-17,0,0
alpha158_CORD10,1273,397,0.00013202135930137984,6.677025763116963e-06,0,0
alpha158_CORD20,1273,21,0.00010783974888874115,3.1182800779235795e-07,0,0
alpha158_CORD30,1273,18,2.8968490316662147e-05,1.0148029083662663e-07,0,0
alpha158_CORD5,1273,660,0.000137368963359117,1.0924259096978536e-05,0,0
alpha158_CORD60,1273,0,1.6653345369377348e-16,4.5119173481633336e-17,0,0
alpha158_CORR10,1273,272,0.00010907133344868411,3.6061572735573297e-06,0,0
alpha158_CORR20,1273,15,4.0288989670317354e-05,1.1825053970250698e-07,0,0
alpha158_CORR30,1273,13,2.6802760060860853e-05,7.854703674673226e-08,0,0
alpha158_CORR5,1273,544,0.00015164447961304311,7.443573490359023e-06,0,0
alpha158_CORR60,1273,0,1.3877787807814457e-16,4.597124737280626e-17,0,0
alpha158_HIGH0,1273,422,0.0003868118357118755,1.2539784868388406e-05,0,0
alpha158_IMAX10,1273,129,0.00010269627412407001,2.0397986150845285e-06,0,0
alpha158_IMAX20,1273,8,8.481332856813406e-05,1.747766107285642e-07,0,0
alpha158_IMAX30,1273,6,6.568421191141538e-05,1.0303404433478749e-07,0,0
alpha158_IMAX60,1273,0,1.6653345369377348e-16,4.736969144950675e-17,0,0
alpha158_IMIN10,1273,129,0.00010591050471497887,2.0210416395580827e-06,0,0
alpha158_IMIN20,1273,8,9.734012979727147e-05,1.9804069733102276e-07,0,0
alpha158_IMIN30,1273,6,2.9207532115493873e-05,7.009099424258194e-08,0,0
alpha158_IMIN5,1273,245,9.852972425006268e-05,3.677315816185556e-06,0,0
alpha158_IMIN60,1273,0,1.6653345369377348e-16,4.759911561306785e-17,0,0
alpha158_IMXD10,1273,129,0.00010524009392605393,2.2232591469774373e-06,0,0
alpha158_IMXD20,1273,8,0.00010175749950266932,2.1660641292469836e-07,0,0
alpha158_IMXD30,1273,6,6.013707826527104e-05,1.106564746309061e-07,0,0
alpha158_IMXD5,1273,245,0.00011861966778210081,3.945841491484352e-06,0,0
alpha158_IMXD60,1273,0,1.6653345369377348e-16,4.576440498784996e-17,0,0
alpha158_KLEN,1273,422,0.0005646861356867761,2.045371208611578e-05,0,0
