batch_id,factor,ic_days,mean_rank_ic,std_rank_ic,min_pair_count,median_pair_count,max_factor_missing_count,max_label_missing_count,rank_ic_ir
alpha101_001,kunquant_alpha101_alpha002,1273,0.015010491993973946,0.06352474569847343,0,1994.0,0,2000,0.23629361800553678
alpha101_001,kunquant_alpha101_alpha003,1273,0.02509892795845199,0.06971425427580379,0,1994.0,0,2000,0.3600257683192812
alpha101_001,kunquant_alpha101_alpha004,1273,0.029471320212057745,0.1374470656293723,0,1985.0,118,2000,0.2144194208665576
alpha101_001,kunquant_alpha101_alpha005,1273,0.026363501968381286,0.10268362827549074,0,1982.0,119,2000,0.25674493988126745
alpha101_001,kunquant_alpha101_alpha006,1273,0.02690905132310167,0.08988599653443678,0,1994.0,0,2000,0.29936867098972836
alpha101_001,kunquant_alpha101_alpha008,1273,0.0073334837086417946,0.11185213834279774,0,1926.0,119,2000,0.06556409039017719
alpha101_001,kunquant_alpha101_alpha009,1273,0.0053623269802213,0.111122783293869,0,1993.0,96,2000,0.048255873559613735
alpha101_001,kunquant_alpha101_alpha010,1273,0.0027071412584346536,0.10456708461996336,0,1993.0,96,2000,0.025889038297982933
alpha101_001,kunquant_alpha101_alpha011,1273,0.026659069188094138,0.0952051296024202,0,1992.0,108,2000,0.2800171513806378
alpha101_001,kunquant_alpha101_alpha012,1273,0.02463579659854637,0.06587385068138145,0,1993.0,96,2000,0.3739844618725078
alpha101_001,kunquant_alpha101_alpha013,1273,0.040744868807441194,0.0842319751146109,0,1991.0,109,2000,0.4837221108967392
alpha101_001,kunquant_alpha101_alpha014,1273,0.018931428600842036,0.08913166181411912,0,1991.0,106,2000,0.21239847003327336
alpha101_001,kunquant_alpha101_alpha015,1273,0.027648704987582526,0.0697337053584166,0,1994.0,0,2000,0.39648983006817135
alpha101_001,kunquant_alpha101_alpha016,1273,0.04000022665889213,0.08662562810670077,0,1991.0,109,2000,0.46175973015309063
alpha101_001,kunquant_alpha101_alpha017,1273,-0.00010126351031422479,0.10485946771759036,0,1982.0,119,2000,-0.000965706888642137
alpha101_001,kunquant_alpha101_alpha018,1273,0.00549124095189574,0.08720481633879147,0,1991.0,109,2000,0.06296946868808508
alpha101_001,kunquant_alpha101_alpha020,1273,-0.02053649190593882,0.09075228359029917,0,1993.0,96,2000,-0.22629173717160367
alpha101_001,kunquant_alpha101_alpha022,1273,0.006230966742453287,0.06472169496533246,0,1919.0,163,2000,0.0962732318087597
alpha101_001,kunquant_alpha101_alpha024,1273,0.022295286535048472,0.10924652809871892,0,1992.0,100,2000,0.20408233490863603
alpha101_001,kunquant_alpha101_alpha025,1273,0.0037456704753377895,0.12049378777962198,0,1919.0,163,2000,0.031086004883409107
alpha101_001,kunquant_alpha101_alpha026,1273,0.03322479776253037,0.08684487123278274,0,1994.0,0,2000,0.38257639502364155
alpha101_001,kunquant_alpha101_alpha028,1273,-0.002806287059225774,0.07829780234904664,0,1994.0,21,2000,-0.035841198284410646
alpha101_001,kunquant_alpha101_alpha029,1273,0.01514552157108162,0.11664919803966195,0,1939.0,119,2000,0.12983819713815764
alpha101_001,kunquant_alpha101_alpha030,1273,0.00074883470364402,0.09771021287858564,0,1992.0,108,2000,0.007663832485704634
alpha101_001,kunquant_alpha101_alpha031,1273,0.01602642959113162,0.08990432072783693,0,1919.0,163,2000,0.17826094965610906
alpha101_002,kunquant_alpha101_alpha033,1273,0.014102996901986787,0.14359628415285253,0,1994.0,21,2000,0.09821282622449136
alpha101_002,kunquant_alpha101_alpha034,1273,0.006060036482625835,0.09502012505213195,0,1993.0,96,2000,0.06377634716120453
alpha101_002,kunquant_alpha101_alpha035,1273,-0.025830638558779033,0.1285385019375264,0,1873.0,195,2000,-0.20095643071469363
alpha101_002,kunquant_alpha101_alpha038,1273,0.012335262149795611,0.1311995780867652,0,1982.0,119,2000,0.09401906873235544
alpha101_002,kunquant_alpha101_alpha040,1273,0.06291480693854197,0.10386609896195499,0,1982.0,119,2000,0.6057299500733822
alpha101_002,kunquant_alpha101_alpha041,1273,-0.025499048936625992,0.10251423754606949,0,1994.0,21,2000,-0.24873665889742214
alpha101_002,kunquant_alpha101_alpha042,1273,0.025757435556445593,0.10267511705362257,0,1994.0,21,2000,0.2508634642509699
alpha101_002,kunquant_alpha101_alpha043,1273,0.009797069091745759,0.09417342396855033,0,1928.0,121,2000,0.10403220652800664
alpha101_002,kunquant_alpha101_alpha044,1273,0.0356544628354671,0.07607774438002031,0,1994.0,0,2000,0.46865825381687776
alpha101_002,kunquant_alpha101_alpha045,1273,0.01350201769972683,0.05352256481799591,0,1892.0,213,2000,0.25226776305733095
alpha101_002,kunquant_alpha101_alpha046,1273,0.014684596019273922,0.10372518255150166,0,1993.0,91,2000,0.1415721395523476
