batch_id,factor_count,daily_row_count,runtime_seconds,output_path,output_sha256,status
alpha158_001,25,32350,20.574360100000376,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/alpha158_001.parquet,9ded7206a663db9b4f9fc39a73cdfaa54d3dc8ea509c37b1cca08b3561ef4c9c,pass
alpha158_002,25,32350,19.16489559999991,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/alpha158_002.parquet,d4113197b0fc044ff8df890f93caedf910dc12bf942acb93357a0908af21bdfe,pass
alpha158_003,25,32350,19.15996989999985,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/alpha158_003.parquet,f34741f5374441f6bf4829c6426c60611bbc09df0ab9cab439a5a9d055f74763,pass
alpha158_004,25,32350,19.43610770000032,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/alpha158_004.parquet,3b6727ca9fa34daa7a8493f9a0da90600c97af2b81233cb17c560d86f5e0aade,pass
alpha158_005,25,32350,19.93744390000029,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/alpha158_005.parquet,a8b39d5cb15ec255fb6c29d955c43e456b0f3e3f22aee910355ab4ad4f5c301a,pass
alpha158_006,25,32350,19.803979999999683,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/alpha158_006.parquet,368be8d623d713bc4e4f6f70fdfdad7c9a7fba0d0cbf2b1b2c2b6796b3c9ff27,pass
alpha158_007,5,6470,9.029359299999669,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/alpha158_007.parquet,79aa773613ca7419355bb1cc5ce7d75d5802461ba38bff984f5d1b8d15db81b1,pass
alpha360_001,25,32350,19.632843800000046,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/alpha360_001.parquet,4004c5fe4fcd3aa13356ae2dad7e93ce66859b6352410b04fe303d0262c2cd5b,pass
alpha360_002,25,32350,19.008213900000555,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/alpha360_002.parquet,26e777d3de38de5c64b0d03adbc8bfb966d2b4c07ce04f9229d241aa0d35f3cf,pass
alpha360_003,25,32350,19.713325599999735,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/alpha360_003.parquet,9082f6e5c895f6a4a9af8840a7da8ff232a844ce80a3607876da6842c6a45f8e,pass
alpha360_004,25,32350,20.300619200000256,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/alpha360_004.parquet,ce6a55ef59c66138a6992d890cfc8b0e9961c8f5f645044400f0c18467daba79,pass
alpha360_005,25,32350,18.826765099999648,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/alpha360_005.parquet,0530dcc6ca7eea5ffad17c85e60237c16a85f430337b15b7b2fc33e7ec6073fc,pass
alpha360_006,25,32350,19.60085750000053,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/alpha360_006.parquet,719a7b8fab8397a6982003d8d8e1b326252e5df53f605ed6acd364f802bd9488,pass
alpha360_007,25,32350,19.530643099999907,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/alpha360_007.parquet,caf405f38c64f474a5f111a7f8ac8d2a1453c91a657845ada801312ca1182f79,pass
alpha360_008,25,32350,19.18358679999983,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/alpha360_008.parquet,ffcdedc2996f7b13a19b8f0c4b55d5c6cb4769f023908c0d1822572f8e6b6d5a,pass
alpha360_009,25,32350,19.388452099999995,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/alpha360_009.parquet,e6e03c53edcf8bf7ea5d63b8a1f23adce583d78637b19616581b76feb1c01fb9,pass
alpha360_010,25,32350,18.928550300000097,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/runtime/daily_ic_v2/alpha360_010.parquet,a24884c54cea5154e83b6c65dc9bca7537afb84d8e299b0fa7f7547bd20dfd90,pass
