batch_id,status,returncode,factor_count,factors,config_path,output_dir,started_at,ended_at,elapsed_seconds
batch_001,skipped_existing,,5,"alpha158_KMID,alpha158_KLEN,alpha158_KMID2,alpha158_KUP,alpha158_KUP2",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_first20\generated_configs\batch_001.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_first20\runs\batch_001,2026-06-24T15:19:46,2026-06-24T15:19:46,0.001
batch_002,skipped_existing,,5,"alpha158_KLOW,alpha158_KLOW2,alpha158_KSFT,alpha158_KSFT2,alpha158_OPEN0",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_first20\generated_configs\batch_002.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_first20\runs\batch_002,2026-06-24T15:19:46,2026-06-24T15:19:46,0.001
batch_003,skipped_existing,,5,"alpha158_HIGH0,alpha158_LOW0,alpha158_VWAP0,alpha158_ROC5,alpha158_ROC10",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_first20\generated_configs\batch_003.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_first20\runs\batch_003,2026-06-24T15:19:46,2026-06-24T15:19:46,0.001
batch_004,pass,0.0,5,"alpha158_ROC20,alpha158_ROC30,alpha158_ROC60,alpha158_MA5,alpha158_MA10",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_first20\generated_configs\batch_004.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_first20\runs\batch_004,2026-06-24T15:19:46,2026-06-24T15:27:57,490.515
