datetime,instrument,method,composite_score,component_count,outer_split_id
2024-08-01,SH600000,equal_weight,-0.20922482076447035,48,split_001
2024-08-01,SH600004,equal_weight,0.35929535033645205,48,split_001
2024-08-01,SH600006,equal_weight,-1.1906795527473206,48,split_001
2024-08-01,SH600000,stability_weight,-0.2058686125281313,48,split_001
2024-08-01,SH600004,stability_weight,0.3680479648464401,48,split_001
2024-08-01,SH600006,stability_weight,-1.1971453458380272,48,split_001
2025-02-05,SH600000,equal_weight,-0.13707439301207425,46,split_002
2025-02-05,SH600004,equal_weight,0.34985258850526296,46,split_002
2025-02-05,SH600006,equal_weight,0.013589834968733552,45,split_002
2025-02-05,SH600000,stability_weight,-0.2434739851338345,46,split_002
2025-02-05,SH600004,stability_weight,0.3177081789762552,46,split_002
2025-02-05,SH600006,stability_weight,0.05832382742300968,45,split_002
2025-08-05,SH600000,equal_weight,-0.4873800724504338,54,split_003
2025-08-05,SH600006,equal_weight,0.4482470214560246,53,split_003
2025-08-05,SH600008,equal_weight,0.5041089044054254,53,split_003
2025-08-05,SH600000,stability_weight,-0.5068971875018611,54,split_003
2025-08-05,SH600006,stability_weight,0.47796311119589135,53,split_003
2025-08-05,SH600008,stability_weight,0.575061068561205,53,split_003
