system,factor,return_mode,group_dimension,metric,group,quantile,horizon,value,source_file
alphalens_reloaded,alpha158_HIGH0,benchmark_excess_return,index_segment,mean_information_coefficient_by_group,csi1000,,10D,-0.0305918774478064,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/context/alphalens_reloaded/alpha158_HIGH0/benchmark_excess_return/index_segment/mean_information_coefficient_by_group.csv
alphalens_reloaded,alpha158_HIGH0,benchmark_excess_return,index_segment,mean_information_coefficient_by_group,csi1000,,20D,-0.0371585845705644,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/context/alphalens_reloaded/alpha158_HIGH0/benchmark_excess_return/index_segment/mean_information_coefficient_by_group.csv
alphalens_reloaded,alpha158_HIGH0,benchmark_excess_return,index_segment,mean_information_coefficient_by_group,csi300,,10D,-0.0387963595455994,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/context/alphalens_reloaded/alpha158_HIGH0/benchmark_excess_return/index_segment/mean_information_coefficient_by_group.csv
alphalens_reloaded,alpha158_HIGH0,benchmark_excess_return,index_segment,mean_information_coefficient_by_group,csi300,,20D,-0.0588036522111514,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/context/alphalens_reloaded/alpha158_HIGH0/benchmark_excess_return/index_segment/mean_information_coefficient_by_group.csv
alphalens_reloaded,alpha158_HIGH0,benchmark_excess_return,index_segment,mean_information_coefficient_by_group,csi500,,10D,-0.0330777981425804,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/context/alphalens_reloaded/alpha158_HIGH0/benchmark_excess_return/index_segment/mean_information_coefficient_by_group.csv
alphalens_reloaded,alpha158_HIGH0,benchmark_excess_return,index_segment,mean_information_coefficient_by_group,csi500,,20D,-0.0443877122743129,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/context/alphalens_reloaded/alpha158_HIGH0/benchmark_excess_return/index_segment/mean_information_coefficient_by_group.csv
alphalens_reloaded,alpha158_HIGH0,benchmark_excess_return,index_segment,mean_information_coefficient_by_group,outside_major_indices,,10D,-0.0418753440576874,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/context/alphalens_reloaded/alpha158_HIGH0/benchmark_excess_return/index_segment/mean_information_coefficient_by_group.csv
alphalens_reloaded,alpha158_HIGH0,benchmark_excess_return,index_segment,mean_information_coefficient_by_group,outside_major_indices,,20D,-0.0485731880353178,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/context/alphalens_reloaded/alpha158_HIGH0/benchmark_excess_return/index_segment/mean_information_coefficient_by_group.csv
alphalens_reloaded,alpha158_HIGH0,benchmark_excess_return,index_segment,mean_return_by_quantile_by_group,csi1000,1,10D,0.002289115139007,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/context/alphalens_reloaded/alpha158_HIGH0/benchmark_excess_return/index_segment/mean_return_by_quantile_by_group.csv
alphalens_reloaded,alpha158_HIGH0,benchmark_excess_return,index_segment,mean_return_by_quantile_by_group,csi1000,1,20D,0.0047143626825305,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/context/alphalens_reloaded/alpha158_HIGH0/benchmark_excess_return/index_segment/mean_return_by_quantile_by_group.csv
alphalens_reloaded,alpha158_HIGH0,benchmark_excess_return,index_segment,mean_return_by_quantile_by_group,csi1000,2,10D,0.0027521750602216,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/context/alphalens_reloaded/alpha158_HIGH0/benchmark_excess_return/index_segment/mean_return_by_quantile_by_group.csv
alphalens_reloaded,alpha158_HIGH0,benchmark_excess_return,index_segment,mean_return_by_quantile_by_group,csi1000,2,20D,0.0047606287252287,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/context/alphalens_reloaded/alpha158_HIGH0/benchmark_excess_return/index_segment/mean_return_by_quantile_by_group.csv
alphalens_reloaded,alpha158_HIGH0,benchmark_excess_return,index_segment,mean_return_by_quantile_by_group,csi1000,3,10D,0.0026081735897715,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/context/alphalens_reloaded/alpha158_HIGH0/benchmark_excess_return/index_segment/mean_return_by_quantile_by_group.csv
alphalens_reloaded,alpha158_HIGH0,benchmark_excess_return,index_segment,mean_return_by_quantile_by_group,csi1000,3,20D,0.0049514987408306,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/context/alphalens_reloaded/alpha158_HIGH0/benchmark_excess_return/index_segment/mean_return_by_quantile_by_group.csv
