factor,year,rows,finite_count,missing_count,infinite_count,finite_dates,observed_dates,first_finite_date,last_finite_date,constant_dates,min_count_variable_dates,coverage
kunquant_alpha101_alpha066,2010,355454,246628,108826,0,223,223,2010-01-29,2010-12-31,0,223,0.6938394278865901
kunquant_alpha101_alpha066,2011,455402,309992,145410,0,244,244,2011-01-04,2011-12-30,0,244,0.6806996895050966
kunquant_alpha101_alpha066,2012,485960,325395,160565,0,243,243,2012-01-04,2012-12-31,0,243,0.669592147501852
kunquant_alpha101_alpha066,2013,475975,343521,132454,0,238,238,2013-01-04,2013-12-31,0,238,0.7217206786070697
kunquant_alpha101_alpha066,2014,489995,339681,150314,0,245,245,2014-01-02,2014-12-31,0,245,0.693233604424535
kunquant_alpha101_alpha066,2015,487993,340048,147945,0,244,244,2015-01-05,2015-12-31,0,244,0.6968296676386752
kunquant_alpha101_alpha066,2016,488000,359744,128256,0,244,244,2016-01-04,2016-12-30,0,244,0.7371803278688525
kunquant_alpha101_alpha066,2017,488000,348102,139898,0,244,244,2017-01-03,2017-12-29,0,244,0.7133237704918033
kunquant_alpha101_alpha066,2018,485999,351424,134575,0,243,243,2018-01-02,2018-12-28,0,243,0.7230961380578972
kunquant_alpha101_alpha066,2019,487969,357908,130061,0,244,244,2019-01-02,2019-12-31,0,244,0.7334646258266406
kunquant_alpha101_alpha066,2020,485973,364512,121461,0,243,243,2020-01-02,2020-12-31,0,243,0.7500663617114531
kunquant_alpha101_alpha066,2021,485981,390941,95040,0,243,243,2021-01-04,2021-12-31,0,243,0.804436798969507
kunquant_alpha101_alpha066,2022,483983,384410,99573,0,242,242,2022-01-04,2022-12-30,0,242,0.7942634348727124
kunquant_alpha101_alpha066,2023,483926,374349,109577,0,242,242,2023-01-03,2023-12-29,0,242,0.7735666196897872
kunquant_alpha101_alpha066_canonical_vwap_v2,2010,355454,249702,105752,0,223,223,2010-01-29,2010-12-31,0,223,0.7024875229987565
kunquant_alpha101_alpha066_canonical_vwap_v2,2011,455402,314645,140757,0,244,244,2011-01-04,2011-12-30,0,244,0.6909170359374794
kunquant_alpha101_alpha066_canonical_vwap_v2,2012,485960,331075,154885,0,243,243,2012-01-04,2012-12-31,0,243,0.6812803522923697
kunquant_alpha101_alpha066_canonical_vwap_v2,2013,475975,350041,125934,0,238,238,2013-01-04,2013-12-31,0,238,0.7354188770418615
kunquant_alpha101_alpha066_canonical_vwap_v2,2014,489995,345667,144328,0,245,245,2014-01-02,2014-12-31,0,245,0.7054500556128124
kunquant_alpha101_alpha066_canonical_vwap_v2,2015,487993,362554,125439,0,244,244,2015-01-05,2015-12-31,0,244,0.7429491816480974
kunquant_alpha101_alpha066_canonical_vwap_v2,2016,488000,369684,118316,0,244,244,2016-01-04,2016-12-30,0,244,0.7575491803278689
kunquant_alpha101_alpha066_canonical_vwap_v2,2017,488000,358233,129767,0,244,244,2017-01-03,2017-12-29,0,244,0.7340840163934427
kunquant_alpha101_alpha066_canonical_vwap_v2,2018,485999,363991,122008,0,243,243,2018-01-02,2018-12-28,0,243,0.7489542159551769
kunquant_alpha101_alpha066_canonical_vwap_v2,2019,487969,371322,116647,0,244,244,2019-01-02,2019-12-31,0,244,0.7609540770007931
kunquant_alpha101_alpha066_canonical_vwap_v2,2020,485973,390705,95268,0,243,243,2020-01-02,2020-12-31,0,243,0.8039644177762962
kunquant_alpha101_alpha066_canonical_vwap_v2,2021,485981,400805,85176,0,243,243,2021-01-04,2021-12-31,0,243,0.8247338887734295
kunquant_alpha101_alpha066_canonical_vwap_v2,2022,483983,394749,89234,0,242,242,2022-01-04,2022-12-30,0,242,0.8156257554500881
kunquant_alpha101_alpha066_canonical_vwap_v2,2023,483926,384176,99750,0,242,242,2023-01-03,2023-12-29,0,242,0.7938734434603638
kunquant_alpha101_alpha072,2010,355454,136863,218591,0,223,223,2010-01-29,2010-12-31,0,223,0.3850371637398932
kunquant_alpha101_alpha072,2011,455402,178295,277107,0,244,244,2011-01-04,2011-12-30,0,244,0.3915112362264549
kunquant_alpha101_alpha072,2012,485960,253904,232056,0,243,243,2012-01-04,2012-12-31,0,243,0.5224792163964113
kunquant_alpha101_alpha072,2013,475975,382584,93391,0,238,238,2013-01-04,2013-12-31,0,238,0.8037901150270498
kunquant_alpha101_alpha072,2014,489995,363269,126726,0,245,245,2014-01-02,2014-12-31,0,245,0.7413728711517464
kunquant_alpha101_alpha072,2015,487993,288857,199136,0,244,244,2015-01-05,2015-12-31,0,244,0.5919285727459206
kunquant_alpha101_alpha072,2016,488000,368902,119098,0,244,244,2016-01-04,2016-12-30,0,244,0.7559467213114754
