batch_id,factor,valid_rows,total_rows,coverage
alpha158_001,alpha158_CNTD10,2587671,2588000,0.9998728748068006
alpha158_001,alpha158_CNTD20,2587671,2588000,0.9998728748068006
alpha158_001,alpha158_CNTD30,2587671,2588000,0.9998728748068006
alpha158_001,alpha158_CNTD5,2587671,2588000,0.9998728748068006
alpha158_001,alpha158_CNTD60,2587671,2588000,0.9998728748068006
alpha158_001,alpha158_CNTN10,2587671,2588000,0.9998728748068006
alpha158_001,alpha158_CNTN20,2587671,2588000,0.9998728748068006
alpha158_001,alpha158_CNTN30,2587671,2588000,0.9998728748068006
alpha158_001,alpha158_CNTN60,2587671,2588000,0.9998728748068006
alpha158_001,alpha158_CNTP10,2587671,2588000,0.9998728748068006
alpha158_001,alpha158_CNTP20,2587671,2588000,0.9998728748068006
alpha158_001,alpha158_CNTP30,2587671,2588000,0.9998728748068006
alpha158_001,alpha158_CNTP5,2587671,2588000,0.9998728748068006
alpha158_001,alpha158_CNTP60,2587671,2588000,0.9998728748068006
alpha158_001,alpha158_KLEN,2584131,2588000,0.9985050231839259
alpha158_001,alpha158_KLOW,2584131,2588000,0.9985050231839259
alpha158_001,alpha158_KLOW2,2584131,2588000,0.9985050231839259
alpha158_001,alpha158_KMID,2584131,2588000,0.9985050231839259
alpha158_001,alpha158_KMID2,2584131,2588000,0.9985050231839259
alpha158_001,alpha158_KSFT,2584131,2588000,0.9985050231839259
alpha158_001,alpha158_KSFT2,2584131,2588000,0.9985050231839259
alpha158_001,alpha158_KUP,2584131,2588000,0.9985050231839259
alpha158_001,alpha158_KUP2,2584131,2588000,0.9985050231839259
alpha158_001,alpha158_SUMD10,2586778,2588000,0.9995278207109737
alpha158_001,alpha158_SUMD20,2587298,2588000,0.9997287480680062
alpha158_002,alpha158_CORD10,2586392,2588000,0.9993786707882535
alpha158_002,alpha158_CORD20,2587261,2588000,0.9997144513137558
alpha158_002,alpha158_CORD30,2587422,2588000,0.9997766615146831
alpha158_002,alpha158_CORD5,2584803,2588000,0.9987646831530139
alpha158_002,alpha158_CORD60,2587626,2588000,0.9998554868624421
alpha158_002,alpha158_CORR10,2586598,2588000,0.9994582689335394
alpha158_002,alpha158_CORR20,2587285,2588000,0.9997237248840803
alpha158_002,alpha158_CORR30,2587450,2588000,0.9997874806800618
alpha158_002,alpha158_CORR5,2585106,2588000,0.9988817619783616
alpha158_002,alpha158_CORR60,2587651,2588000,0.9998651468315302
alpha158_002,alpha158_HIGH0,2584131,2588000,0.9985050231839259
alpha158_002,alpha158_LOW0,2584131,2588000,0.9985050231839259
alpha158_002,alpha158_SUMD30,2587446,2588000,0.9997859350850077
alpha158_002,alpha158_SUMD5,2585556,2588000,0.9990556414219475
alpha158_002,alpha158_SUMD60,2587628,2588000,0.999856259659969
alpha158_002,alpha158_SUMN10,2586778,2588000,0.9995278207109737
alpha158_002,alpha158_SUMN20,2587298,2588000,0.9997287480680062
alpha158_002,alpha158_SUMN30,2587446,2588000,0.9997859350850077
alpha158_002,alpha158_SUMN5,2585556,2588000,0.9990556414219475
alpha158_002,alpha158_SUMN60,2587628,2588000,0.999856259659969
alpha158_002,alpha158_SUMP10,2586778,2588000,0.9995278207109737
alpha158_002,alpha158_SUMP20,2587298,2588000,0.9997287480680062
alpha158_002,alpha158_SUMP30,2587446,2588000,0.9997859350850077
alpha158_002,alpha158_SUMP5,2585556,2588000,0.9990556414219475
alpha158_002,alpha158_SUMP60,2587628,2588000,0.999856259659969
alpha158_003,alpha158_BETA10,2583956,2588000,0.9984374034003091
alpha158_003,alpha158_BETA20,2584114,2588000,0.9984984544049459
alpha158_003,alpha158_BETA30,2584120,2588000,0.998500772797527
alpha158_003,alpha158_BETA5,2583804,2588000,0.9983786707882535
alpha158_003,alpha158_BETA60,2584131,2588000,0.9985050231839259
alpha158_003,alpha158_IMAX10,2586971,2588000,0.9996023956723339
alpha158_003,alpha158_IMAX20,2587348,2588000,0.9997480680061824
alpha158_003,alpha158_IMAX30,2587495,2588000,0.9998048686244204
alpha158_003,alpha158_IMAX60,2587659,2588000,0.9998682380216384
alpha158_003,alpha158_IMIN10,2586971,2588000,0.9996023956723339
alpha158_003,alpha158_IMIN20,2587348,2588000,0.9997480680061824
alpha158_003,alpha158_IMIN30,2587495,2588000,0.9998048686244204
alpha158_003,alpha158_IMIN5,2585891,2588000,0.999185085007728
alpha158_003,alpha158_IMIN60,2587659,2588000,0.9998682380216384
alpha158_003,alpha158_IMXD10,2586971,2588000,0.9996023956723339
alpha158_003,alpha158_IMXD20,2587348,2588000,0.9997480680061824
alpha158_003,alpha158_IMXD30,2587495,2588000,0.9998048686244204
alpha158_003,alpha158_IMXD5,2585891,2588000,0.999185085007728
alpha158_003,alpha158_IMXD60,2587659,2588000,0.9998682380216384
alpha158_003,alpha158_MA10,2584131,2588000,0.9985050231839259
alpha158_003,alpha158_MA20,2584131,2588000,0.9985050231839259
alpha158_003,alpha158_MA30,2584131,2588000,0.9985050231839259
alpha158_003,alpha158_MA5,2584131,2588000,0.9985050231839259
alpha158_003,alpha158_OPEN0,2584131,2588000,0.9985050231839259
alpha158_003,alpha158_VWAP0,2584131,2588000,0.9985050231839259
alpha158_004,alpha158_MA60,2584131,2588000,0.9985050231839259
alpha158_004,alpha158_MAX10,2584131,2588000,0.9985050231839259
alpha158_004,alpha158_MAX20,2584131,2588000,0.9985050231839259
alpha158_004,alpha158_MAX30,2584131,2588000,0.9985050231839259
alpha158_004,alpha158_MAX5,2584131,2588000,0.9985050231839259
alpha158_004,alpha158_MAX60,2584131,2588000,0.9985050231839259
alpha158_004,alpha158_MIN10,2584131,2588000,0.9985050231839259
alpha158_004,alpha158_MIN20,2584131,2588000,0.9985050231839259
alpha158_004,alpha158_MIN30,2584131,2588000,0.9985050231839259
alpha158_004,alpha158_MIN5,2584131,2588000,0.9985050231839259
alpha158_004,alpha158_MIN60,2584131,2588000,0.9985050231839259
alpha158_004,alpha158_QTLD10,2584131,2588000,0.9985050231839259
alpha158_004,alpha158_QTLD20,2584131,2588000,0.9985050231839259
alpha158_004,alpha158_QTLD30,2584131,2588000,0.9985050231839259
alpha158_004,alpha158_QTLD5,2584131,2588000,0.9985050231839259
alpha158_004,alpha158_QTLD60,2584131,2588000,0.9985050231839259
alpha158_004,alpha158_QTLU10,2584131,2588000,0.9985050231839259
alpha158_004,alpha158_QTLU20,2584131,2588000,0.9985050231839259
alpha158_004,alpha158_QTLU30,2584131,2588000,0.9985050231839259
alpha158_004,alpha158_QTLU5,2584131,2588000,0.9985050231839259
alpha158_004,alpha158_QTLU60,2584131,2588000,0.9985050231839259
alpha158_004,alpha158_RANK10,2584131,2588000,0.9985050231839259
alpha158_004,alpha158_RANK20,2584131,2588000,0.9985050231839259
alpha158_004,alpha158_RANK30,2584131,2588000,0.9985050231839259
alpha158_004,alpha158_RANK60,2584131,2588000,0.9985050231839259
alpha158_005,alpha158_RESI10,2583956,2588000,0.9984374034003091
alpha158_005,alpha158_RESI20,2584114,2588000,0.9984984544049459
alpha158_005,alpha158_RESI30,2584120,2588000,0.998500772797527
alpha158_005,alpha158_RESI5,2583804,2588000,0.9983786707882535
alpha158_005,alpha158_RESI60,2584131,2588000,0.9985050231839259
alpha158_005,alpha158_ROC10,2581149,2588000,0.9973527820710973
alpha158_005,alpha158_ROC20,2580943,2588000,0.9972731839258114
alpha158_005,alpha158_ROC30,2580820,2588000,0.997225656877898
alpha158_005,alpha158_ROC5,2582071,2588000,0.9977090417310664
alpha158_005,alpha158_ROC60,2580795,2588000,0.9972159969088099
alpha158_005,alpha158_RSQR10,2586598,2588000,0.9994582689335394
alpha158_005,alpha158_RSQR20,2587285,2588000,0.9997237248840803
alpha158_005,alpha158_RSQR30,2587450,2588000,0.9997874806800618
alpha158_005,alpha158_RSQR5,2585106,2588000,0.9988817619783616
alpha158_005,alpha158_RSQR60,2587651,2588000,0.9998651468315302
alpha158_005,alpha158_RSV10,2584131,2588000,0.9985050231839259
alpha158_005,alpha158_RSV20,2584131,2588000,0.9985050231839259
