method,datetime,rows,minimum_components,median_components,split_id
equal_directional_zscore,2022-01-05,1965,0,3.0,split_004
equal_directional_zscore,2022-01-06,1965,0,3.0,split_004
equal_directional_zscore,2022-01-07,1965,0,3.0,split_004
equal_directional_zscore,2022-01-10,1965,0,3.0,split_004
equal_directional_zscore,2022-01-11,1965,0,3.0,split_004
equal_directional_zscore,2022-01-12,1965,0,3.0,split_004
equal_directional_zscore,2022-01-13,1965,0,3.0,split_004
equal_directional_zscore,2022-01-14,1965,0,3.0,split_004
equal_directional_zscore,2022-01-17,1965,0,3.0,split_004
equal_directional_zscore,2022-01-18,1965,0,3.0,split_004
equal_directional_zscore,2022-01-19,1965,0,3.0,split_004
equal_directional_zscore,2022-01-20,1965,0,3.0,split_004
equal_directional_zscore,2022-01-21,1965,0,3.0,split_004
equal_directional_zscore,2022-01-24,1965,0,3.0,split_004
equal_directional_zscore,2022-01-25,1965,0,3.0,split_004
equal_directional_zscore,2022-01-26,1965,0,3.0,split_004
equal_directional_zscore,2022-01-27,1965,0,3.0,split_004
equal_directional_zscore,2022-01-28,1965,0,3.0,split_004
equal_directional_zscore,2022-02-07,1965,0,3.0,split_004
equal_directional_zscore,2022-02-08,1965,0,3.0,split_004
equal_directional_zscore,2022-02-09,1965,0,3.0,split_004
equal_directional_zscore,2022-02-10,1965,0,3.0,split_004
equal_directional_zscore,2022-02-11,1965,0,3.0,split_004
equal_directional_zscore,2022-02-14,1965,0,3.0,split_004
equal_directional_zscore,2022-02-15,1965,0,3.0,split_004
equal_directional_zscore,2022-02-16,1965,0,3.0,split_004
equal_directional_zscore,2022-02-17,1965,0,3.0,split_004
equal_directional_zscore,2022-02-18,1965,0,3.0,split_004
equal_directional_zscore,2022-02-21,1965,0,3.0,split_004
equal_directional_zscore,2022-02-22,1965,0,3.0,split_004
equal_directional_zscore,2022-02-23,1965,0,3.0,split_004
equal_directional_zscore,2022-02-24,1965,0,3.0,split_004
equal_directional_zscore,2022-02-25,1965,0,3.0,split_004
equal_directional_zscore,2022-02-28,1965,0,3.0,split_004
equal_directional_zscore,2022-03-01,1965,0,3.0,split_004
equal_directional_zscore,2022-03-02,1965,0,3.0,split_004
equal_directional_zscore,2022-03-03,1965,0,3.0,split_004
equal_directional_zscore,2022-03-04,1965,0,3.0,split_004
equal_directional_zscore,2022-03-07,1965,0,3.0,split_004
equal_directional_zscore,2022-03-08,1965,0,3.0,split_004
equal_directional_zscore,2022-03-09,1965,0,3.0,split_004
equal_directional_zscore,2022-03-10,1965,0,3.0,split_004
equal_directional_zscore,2022-03-11,1965,0,3.0,split_004
equal_directional_zscore,2022-03-14,1965,0,3.0,split_004
equal_directional_zscore,2022-03-15,1965,0,3.0,split_004
equal_directional_zscore,2022-03-16,1965,0,3.0,split_004
equal_directional_zscore,2022-03-17,1965,0,3.0,split_004
equal_directional_zscore,2022-03-18,1965,0,3.0,split_004
equal_directional_zscore,2022-03-21,1965,0,3.0,split_004
equal_directional_zscore,2022-03-22,1965,0,3.0,split_004
equal_directional_zscore,2022-03-23,1965,0,3.0,split_004
equal_directional_zscore,2022-03-24,1965,0,3.0,split_004
equal_directional_zscore,2022-03-25,1965,0,3.0,split_004
equal_directional_zscore,2022-03-28,1965,0,3.0,split_004
equal_directional_zscore,2022-03-29,1965,0,3.0,split_004
equal_directional_zscore,2022-03-30,1965,0,3.0,split_004
equal_directional_zscore,2022-03-31,1965,0,3.0,split_004
equal_directional_zscore,2022-04-01,1965,0,3.0,split_004
equal_directional_zscore,2022-04-06,1965,0,3.0,split_004
equal_directional_zscore,2022-04-07,1965,0,3.0,split_004
equal_directional_zscore,2022-04-08,1965,0,3.0,split_004
equal_directional_zscore,2022-04-11,1965,0,3.0,split_004
equal_directional_zscore,2022-04-12,1965,0,3.0,split_004
equal_directional_zscore,2022-04-13,1965,0,3.0,split_004
equal_directional_zscore,2022-04-14,1965,0,3.0,split_004
equal_directional_zscore,2022-04-15,1965,0,3.0,split_004
equal_directional_zscore,2022-04-18,1965,0,3.0,split_004
equal_directional_zscore,2022-04-19,1965,0,3.0,split_004
equal_directional_zscore,2022-04-20,1965,0,3.0,split_004
equal_directional_zscore,2022-04-21,1965,0,3.0,split_004
equal_directional_zscore,2022-04-22,1965,0,3.0,split_004
equal_directional_zscore,2022-04-25,1965,0,3.0,split_004
equal_directional_zscore,2022-04-26,1965,0,3.0,split_004
equal_directional_zscore,2022-04-27,1965,0,3.0,split_004
equal_directional_zscore,2022-04-28,1965,0,3.0,split_004
equal_directional_zscore,2022-04-29,1965,0,3.0,split_004
equal_directional_zscore,2022-05-05,1965,0,3.0,split_004
equal_directional_zscore,2022-05-06,1965,0,3.0,split_004
equal_directional_zscore,2022-05-09,1965,0,3.0,split_004
equal_directional_zscore,2022-05-10,1965,0,3.0,split_004
equal_directional_zscore,2022-05-11,1965,0,3.0,split_004
equal_directional_zscore,2022-05-12,1965,0,3.0,split_004
equal_directional_zscore,2022-05-13,1965,0,3.0,split_004
equal_directional_zscore,2022-05-16,1965,0,3.0,split_004
equal_directional_zscore,2022-05-17,1965,0,3.0,split_004
equal_directional_zscore,2022-05-18,1964,0,3.0,split_004
equal_directional_zscore,2022-05-19,1964,0,3.0,split_004
equal_directional_zscore,2022-05-20,1964,0,3.0,split_004
equal_directional_zscore,2022-05-23,1964,0,3.0,split_004
equal_directional_zscore,2022-05-24,1964,0,3.0,split_004
equal_directional_zscore,2022-05-25,1964,0,3.0,split_004
equal_directional_zscore,2022-05-26,1964,0,3.0,split_004
equal_directional_zscore,2022-05-27,1964,0,3.0,split_004
equal_directional_zscore,2022-05-30,1964,0,3.0,split_004
equal_directional_zscore,2022-05-31,1964,0,3.0,split_004
equal_directional_zscore,2022-06-01,1964,0,3.0,split_004
equal_directional_zscore,2022-06-02,1964,0,3.0,split_004
equal_directional_zscore,2022-06-06,1964,0,3.0,split_004
equal_directional_zscore,2022-06-07,1964,0,3.0,split_004
equal_directional_zscore,2022-06-08,1963,0,3.0,split_004
equal_directional_zscore,2022-06-09,1963,0,3.0,split_004
equal_directional_zscore,2022-06-10,1963,0,3.0,split_004
equal_directional_zscore,2022-06-13,1963,0,3.0,split_004
equal_directional_zscore,2022-06-14,1963,0,3.0,split_004
equal_directional_zscore,2022-06-15,1963,0,3.0,split_004
equal_directional_zscore,2022-06-16,1960,0,3.0,split_004
equal_directional_zscore,2022-06-17,1957,0,3.0,split_004
equal_directional_zscore,2022-06-20,1957,0,3.0,split_004
equal_directional_zscore,2022-06-21,1957,0,3.0,split_004
equal_directional_zscore,2022-06-22,1954,0,3.0,split_004
