instrument,start_time,end_time,lifecycle_start,lifecycle_end,missing_lifecycle,starts_before_lifecycle,ends_after_lifecycle,missing_feature_dir
SH600068,2021-06-30,2021-12-30,2000-01-04,2021-09-01,False,False,True,False
SH600102,2012-01-31,2012-03-29,2000-01-04,2012-02-08,False,False,True,False
SH600263,2012-01-31,2012-03-29,2000-07-25,2012-02-20,False,False,True,False
SH600270,2018-12-28,2019-06-27,2000-12-28,2018-12-27,False,False,True,False
SH600553,2011-01-04,2011-06-30,2002-08-22,2011-02-01,False,False,True,False
SH600607,2010-01-04,2010-06-30,2000-01-04,2010-02-03,False,False,True,False
SH600840,2009-07-01,2010-01-03,2000-01-04,2009-07-31,False,False,True,False
SH600991,2012-01-31,2012-03-29,2004-06-14,2012-03-06,False,False,True,False
SZ000418,2018-12-28,2019-06-27,2000-01-04,2019-05-23,False,False,True,False
SZ000515,2009-01-23,2009-05-05,2000-01-04,2009-04-23,False,False,True,False
SZ000522,2013-01-31,2013-04-25,2000-01-04,2013-03-13,False,False,True,False
SZ000540,2022-12-30,2023-06-29,2000-01-04,2023-05-18,False,False,True,False
SZ000748,2016-12-30,2017-01-25,2000-01-04,2017-01-17,False,False,True,False
SZ300114,2024-12-31,2025-06-29,2010-08-27,2025-02-14,False,False,True,False
