name,window_start,window_end,label,rebalance_every,topk,weight_preset,score_weights,cost_bps,net_annualized_return,universe_annualized_return,net_annualized_excess,net_excess_ir,net_max_drawdown,average_turnover,max_turnover,skipped_rebalance_rate,average_eligible_count,executed_rebalances
2021-01-01_2023-12-29_label_10d_t1_reb10_top300_low_risk_cost5,2021-01-01,2023-12-29,label_10d_t1,10,300,low_risk,"std_20:-1,amplitude_20:-1",5.0,0.0360991459634563,0.0034713435421986,0.023171587905854,0.3170601075602625,-0.2505812892062982,0.3761428571428571,1.0,0.0140845070422535,1124.6857142857143,70
2021-01-01_2023-12-29_label_10d_t1_reb10_top100_low_risk_cost5,2021-01-01,2023-12-29,label_10d_t1,10,100,low_risk,"std_20:-1,amplitude_20:-1",5.0,0.049738177607898,0.0034713435421986,0.0302546674796664,0.313057898932113,-0.1952157785599161,0.4108571428571428,1.0,0.0140845070422535,1124.6857142857143,70
2021-01-01_2023-12-29_label_10d_t1_reb10_top300_low_risk_momentum_guard_cost5,2021-01-01,2023-12-29,label_10d_t1,10,300,low_risk_momentum_guard,"std_20:-1,amplitude_20:-1,ret_20:-0.25",5.0,0.0356107205211588,0.0034713435421986,0.022883972180109,0.3122672308052946,-0.2573498895583405,0.3792380952380952,1.0,0.0140845070422535,1124.6857142857143,70
2021-01-01_2023-12-29_label_10d_t1_reb10_top300_low_risk_rev_cost5,2021-01-01,2023-12-29,label_10d_t1,10,300,low_risk_rev,"std_20:-1,amplitude_20:-1,rev_5:0.25",5.0,0.0349214146655143,0.0034713435421986,0.0220756555906984,0.3031210122364068,-0.2553402630731631,0.3745714285714285,1.0,0.0140845070422535,1124.6857142857143,70
2021-01-01_2023-12-29_label_10d_t1_reb10_top200_low_risk_cost5,2021-01-01,2023-12-29,label_10d_t1,10,200,low_risk,"std_20:-1,amplitude_20:-1",5.0,0.0356722774642992,0.0034713435421986,0.0203688489958397,0.2562440044967441,-0.2320131074806879,0.3957142857142856,1.0,0.0140845070422535,1124.6857142857143,70
2021-01-01_2023-12-29_label_10d_t1_reb10_top100_low_risk_rev_cost5,2021-01-01,2023-12-29,label_10d_t1,10,100,low_risk_rev,"std_20:-1,amplitude_20:-1,rev_5:0.25",5.0,0.0413584161162521,0.0034713435421986,0.0220285118241334,0.2443014448582552,-0.205378477206061,0.4088571428571429,1.0,0.0140845070422535,1124.6857142857143,70
2021-01-01_2023-12-29_label_10d_t1_reb10_top100_low_risk_momentum_guard_cost5,2021-01-01,2023-12-29,label_10d_t1,10,100,low_risk_momentum_guard,"std_20:-1,amplitude_20:-1,ret_20:-0.25",5.0,0.0377599036541451,0.0034713435421986,0.0187875631975027,0.2174850101584802,-0.2026018811475636,0.416,1.0,0.0140845070422535,1124.6857142857143,70
2021-01-01_2023-12-29_label_10d_t1_reb10_top200_low_risk_momentum_guard_cost5,2021-01-01,2023-12-29,label_10d_t1,10,200,low_risk_momentum_guard,"std_20:-1,amplitude_20:-1,ret_20:-0.25",5.0,0.0301245232700506,0.0034713435421986,0.0150537712024636,0.2019031867390553,-0.2395070973568768,0.4010714285714286,1.0,0.0140845070422535,1124.6857142857143,70
2021-01-01_2023-12-29_label_10d_t1_reb10_top200_low_risk_rev_cost5,2021-01-01,2023-12-29,label_10d_t1,10,200,low_risk_rev,"std_20:-1,amplitude_20:-1,rev_5:0.25",5.0,0.0265324482025901,0.0034713435421986,0.0112516874231642,0.1633080990340454,-0.2340207954018114,0.3945,1.0,0.0140845070422535,1124.6857142857143,70
2021-01-01_2023-12-29_label_10d_t1_reb10_top100_low_risk_cost10,2021-01-01,2023-12-29,label_10d_t1,10,100,low_risk,"std_20:-1,amplitude_20:-1",10.0,0.044318008399816,0.0034713435421986,0.024938871211126,0.2688846631750141,-0.1979889387304099,0.4108571428571428,1.0,0.0140845070422535,1124.6857142857143,70
2021-01-01_2023-12-29_label_10d_t1_reb10_top300_low_risk_cost10,2021-01-01,2023-12-29,label_10d_t1,10,300,low_risk,"std_20:-1,amplitude_20:-1",10.0,0.0311981566687014,0.0034713435421986,0.0183354177616121,0.2600882982198071,-0.2515225235489799,0.3761428571428571,1.0,0.0140845070422535,1124.6857142857143,70
2021-01-01_2023-12-29_label_10d_t1_reb10_top300_low_risk_momentum_guard_cost10,2021-01-01,2023-12-29,label_10d_t1,10,300,low_risk_momentum_guard,"std_20:-1,amplitude_20:-1,ret_20:-0.25",10.0,0.0306717437295807,0.0034713435421986,0.0180090323698265,0.2551603901756513,-0.2582878558625551,0.3792380952380952,1.0,0.0140845070422535,1124.6857142857143,70
2021-01-01_2023-12-29_label_10d_t1_reb10_top300_low_risk_rev_cost10,2021-01-01,2023-12-29,label_10d_t1,10,300,low_risk_rev,"std_20:-1,amplitude_20:-1,rev_5:0.25",10.0,0.0300458888920283,0.0034713435421986,0.017263817032934,0.2466177401068147,-0.2562588461892162,0.3745714285714285,1.0,0.0140845070422535,1124.6857142857143,70
2021-01-01_2023-12-29_label_10d_t1_reb10_top200_low_risk_cost10,2021-01-01,2023-12-29,label_10d_t1,10,200,low_risk,"std_20:-1,amplitude_20:-1",10.0,0.0305198710408196,0.0034713435421986,0.0152957154777859,0.2048794515859027,-0.2330165243162525,0.3957142857142856,1.0,0.0140845070422535,1124.6857142857143,70
2021-01-01_2023-12-29_label_10d_t1_reb10_top100_low_risk_rev_cost10,2021-01-01,2023-12-29,label_10d_t1,10,100,low_risk_rev,"std_20:-1,amplitude_20:-1,rev_5:0.25",10.0,0.0360074164929442,0.0034713435421986,0.0167801105490723,0.2003997236846203,-0.2081286454373101,0.4088571428571429,1.0,0.0140845070422535,1124.6857142857143,70
2021-01-01_2023-12-29_label_10d_t1_reb10_top100_low_risk_momentum_guard_cost10,2021-01-01,2023-12-29,label_10d_t1,10,100,low_risk_momentum_guard,"std_20:-1,amplitude_20:-1,ret_20:-0.25",10.0,0.032334568754452,0.0034713435421986,0.0134647073511573,0.1726878705286064,-0.2036376573379236,0.416,1.0,0.0140845070422535,1124.6857142857143,70
2021-01-01_2023-12-29_label_10d_t1_reb10_top200_low_risk_momentum_guard_cost10,2021-01-01,2023-12-29,label_10d_t1,10,200,low_risk_momentum_guard,"std_20:-1,amplitude_20:-1,ret_20:-0.25",10.0,0.0249300603524742,0.0034713435421986,0.0099390323236447,0.1500811567067676,-0.2405217202392823,0.4010714285714286,1.0,0.0140845070422535,1124.6857142857143,70
2021-01-01_2023-12-29_label_10d_t1_reb10_top200_low_risk_rev_cost10,2021-01-01,2023-12-29,label_10d_t1,10,200,low_risk_rev,"std_20:-1,amplitude_20:-1,rev_5:0.25",10.0,0.0214400535928427,0.0034713435421986,0.006238237655566,0.1123837151181189,-0.235012631032438,0.3945,1.0,0.0140845070422535,1124.6857142857143,70
2021-01-01_2023-12-29_label_10d_t1_reb10_top100_low_risk_cost20,2021-01-01,2023-12-29,label_10d_t1,10,100,low_risk,"std_20:-1,amplitude_20:-1",20.0,0.033558001709107,0.0034713435421986,0.0143860142770742,0.1804326113216552,-0.2035081408434375,0.4108571428571428,1.0,0.0140845070422535,1124.6857142857143,70
2021-01-01_2023-12-29_label_10d_t1_reb10_top300_low_risk_cost20,2021-01-01,2023-12-29,label_10d_t1,10,300,low_risk,"std_20:-1,amplitude_20:-1",20.0,0.0214627418230934,0.0034713435421986,0.0087287175365113,0.1460283367772079,-0.2534019562337667,0.3761428571428571,1.0,0.0140845070422535,1124.6857142857143,70
2021-01-01_2023-12-29_label_10d_t1_reb10_top300_low_risk_momentum_guard_cost20,2021-01-01,2023-12-29,label_10d_t1,10,300,low_risk_momentum_guard,"std_20:-1,amplitude_20:-1,ret_20:-0.25",20.0,0.0208614269677276,0.0034713435421986,0.0083258730063295,0.1408531479372768,-0.260160744229737,0.3792380952380952,1.0,0.0140845070422535,1124.6857142857143,70
2021-01-01_2023-12-29_label_10d_t1_reb10_top300_low_risk_rev_cost20,2021-01-01,2023-12-29,label_10d_t1,10,300,low_risk_rev,"std_20:-1,amplitude_20:-1,rev_5:0.25",20.0,0.0203607864037111,0.0034713435421986,0.0077051905922151,0.133547822794116,-0.2580931034254693,0.3745714285714285,1.0,0.0140845070422535,1124.6857142857143,70
2021-01-01_2023-12-29_label_10d_t1_reb10_top100_low_risk_rev_cost20,2021-01-01,2023-12-29,label_10d_t1,10,100,low_risk_rev,"std_20:-1,amplitude_20:-1,rev_5:0.25",20.0,0.0253843433109683,0.0034713435421986,0.0063606783456782,0.1125166341497513,-0.2136019698880484,0.4088571428571429,1.0,0.0140845070422535,1124.6857142857143,70
2021-01-01_2023-12-29_label_10d_t1_reb10_top200_low_risk_cost20,2021-01-01,2023-12-29,label_10d_t1,10,200,low_risk,"std_20:-1,amplitude_20:-1",20.0,0.0202886650607236,0.0034713435421986,0.005221883823484,0.1020700572062697,-0.2350199926507954,0.3957142857142856,1.0,0.0140845070422535,1124.6857142857143,70
2021-01-01_2023-12-29_label_10d_t1_reb10_top100_low_risk_momentum_guard_cost20,2021-01-01,2023-12-29,label_10d_t1,10,100,low_risk_momentum_guard,"std_20:-1,amplitude_20:-1,ret_20:-0.25",20.0,0.0215653221455629,0.0034713435421986,0.0028988374122933,0.0830145780312958,-0.2060080482403965,0.416,1.0,0.0140845070422535,1124.6857142857143,70
2021-01-01_2023-12-29_label_10d_t1_reb10_top200_low_risk_momentum_guard_cost20,2021-01-01,2023-12-29,label_10d_t1,10,200,low_risk_momentum_guard,"std_20:-1,amplitude_20:-1,ret_20:-0.25",20.0,0.0146163527876521,0.0034713435421986,-0.0002164290804974,0.0463651033944385,-0.2425474884860405,0.4010714285714286,1.0,0.0140845070422535,1124.6857142857143,70
2021-01-01_2023-12-29_label_10d_t1_reb10_top200_low_risk_rev_cost20,2021-01-01,2023-12-29,label_10d_t1,10,200,low_risk_rev,"std_20:-1,amplitude_20:-1,rev_5:0.25",20.0,0.0113278086568322,0.0034713435421986,-0.003717281043934,0.0105104740972066,-0.236993005571756,0.3945,1.0,0.0140845070422535,1124.6857142857143,70
2021-01-01_2023-12-29_label_20d_t1_reb20_top300_low_risk_cost5,2021-01-01,2023-12-29,label_20d_t1,20,300,low_risk,"std_20:-1,amplitude_20:-1",5.0,0.0394108859504866,0.0057097412716722,0.0244398695331544,0.3357575554960332,-0.2474449614783083,0.4799047619047619,1.0,0.0277777777777777,1123.057142857143,35
2021-01-01_2023-12-29_label_20d_t1_reb20_top300_low_risk_rev_cost5,2021-01-01,2023-12-29,label_20d_t1,20,300,low_risk_rev,"std_20:-1,amplitude_20:-1,rev_5:0.25",5.0,0.0390322554683897,0.0057097412716722,0.024243124642802,0.3336706358548286,-0.256346188322614,0.4761904761904762,1.0,0.0277777777777777,1123.057142857143,35
2021-01-01_2023-12-29_label_20d_t1_reb20_top100_low_risk_rev_cost5,2021-01-01,2023-12-29,label_20d_t1,20,100,low_risk_rev,"std_20:-1,amplitude_20:-1,rev_5:0.25",5.0,0.0514943114075041,0.0057097412716722,0.029865444726314,0.3084143734232085,-0.1940778345616642,0.5277142857142857,1.0,0.0277777777777777,1123.057142857143,35
2021-01-01_2023-12-29_label_20d_t1_reb20_top100_low_risk_cost5,2021-01-01,2023-12-29,label_20d_t1,20,100,low_risk,"std_20:-1,amplitude_20:-1",5.0,0.0478381923141288,0.0057097412716722,0.0262114152008747,0.2788344639110767,-0.1939166387028155,0.5325714285714286,1.0,0.0277777777777777,1123.057142857143,35
2021-01-01_2023-12-29_label_20d_t1_reb20_top200_low_risk_momentum_guard_cost5,2021-01-01,2023-12-29,label_20d_t1,20,200,low_risk_momentum_guard,"std_20:-1,amplitude_20:-1,ret_20:-0.25",5.0,0.0387120882297997,0.0057097412716722,0.0215308087998571,0.2703276239448102,-0.2370827077091517,0.5175714285714287,1.0,0.0277777777777777,1123.057142857143,35
2021-01-01_2023-12-29_label_20d_t1_reb20_top300_low_risk_momentum_guard_cost5,2021-01-01,2023-12-29,label_20d_t1,20,300,low_risk_momentum_guard,"std_20:-1,amplitude_20:-1,ret_20:-0.25",5.0,0.0318569907143624,0.0057097412716722,0.0172224529674305,0.2489172626363536,-0.2561448758904763,0.484095238095238,1.0,0.0277777777777777,1123.057142857143,35
2021-01-01_2023-12-29_label_20d_t1_reb20_top200_low_risk_cost5,2021-01-01,2023-12-29,label_20d_t1,20,200,low_risk,"std_20:-1,amplitude_20:-1",5.0,0.0360229007884711,0.0057097412716722,0.0187811669889657,0.2423520697527894,-0.2332062911143176,0.5038571428571429,1.0,0.0277777777777777,1123.057142857143,35
2021-01-01_2023-12-29_label_20d_t1_reb20_top100_low_risk_momentum_guard_cost5,2021-01-01,2023-12-29,label_20d_t1,20,100,low_risk_momentum_guard,"std_20:-1,amplitude_20:-1,ret_20:-0.25",5.0,0.0417627146950272,0.0057097412716722,0.0205267336622312,0.2318763635998787,-0.1976652625346082,0.5457142857142857,1.0,0.0277777777777777,1123.057142857143,35
2021-01-01_2023-12-29_label_20d_t1_reb20_top200_low_risk_rev_cost5,2021-01-01,2023-12-29,label_20d_t1,20,200,low_risk_rev,"std_20:-1,amplitude_20:-1,rev_5:0.25",5.0,0.0268304390376579,0.0057097412716722,0.0098995385617846,0.1507024403270248,-0.2427673388479394,0.503,1.0,0.0277777777777777,1123.057142857143,35
