slice,start_time,end_time,market,label,factor,category,expected_direction,coverage,mean_rank_ic,directional_mean_rank_ic,rank_icir,mean_ic,icir,valid_rows
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_1d_t1,ret_5,momentum,watch,0.9091283607236664,-0.0633837676179322,,-0.4254896644911364,-0.0266977559209979,-0.1868042888609354,2654773
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_1d_t1,rev_5,reversal,positive,0.9091283607236664,0.0633837676179322,0.0633837676179322,0.4254896644911364,0.0266977559209979,0.1868042888609354,2654773
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_1d_t1,amount_std_20,liquidity,watch,0.8007143517583122,-0.0473082179018647,,-0.4289586512745038,-0.0106433370063343,-0.1479100088859447,2338190
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_1d_t1,ret_10,momentum,watch,0.9007146942088194,-0.0461559153877092,,-0.292991464280148,-0.0182318825969136,-0.1229090213355059,2630204
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_1d_t1,ret_20,momentum,watch,0.8871156421118238,-0.0429499238992994,,-0.2637759667414096,-0.02121116682526,-0.1403841576958593,2590493
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_1d_t1,amount_mean_20,liquidity,watch,0.8007143517583122,-0.0396483694192339,,-0.3524528509263356,-0.0093980941834349,-0.1305464631642301,2338190
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_1d_t1,corr_ret_volume_20,price_volume,watch,0.7947300291425382,-0.0239724880821697,,-0.2472623248420364,-0.0082601660870641,-0.0933024844556852,2320715
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_1d_t1,amplitude_20,risk,negative,0.8007143517583122,-0.0239170868489983,0.0239170868489983,-0.1291789254174009,0.0055556325819244,0.0315439057045214,2338190
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_1d_t1,volume_ratio_5_20,liquidity,watch,0.8007143517583122,-0.0228632351885183,,-0.2128867002031071,-0.0147376569889533,-0.1442696235644588,2338190
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_1d_t1,std_20,risk,negative,0.7947300291425382,-0.0187753375034852,0.0187753375034852,-0.1035564529237523,0.0075563727175008,0.0448680385262863,2320715
baseline_alignment_2017_2020,2017-01-01,2020-08-01,all_stock_shsz_liquid2000,label_1d_t1,amplitude_20,risk,negative,0.9176984273522562,-0.0389116101721686,0.0389116101721686,-0.2212535045001294,-0.005131263084522,-0.0322418465720372,1595449
baseline_alignment_2017_2020,2017-01-01,2020-08-01,all_stock_shsz_liquid2000,label_1d_t1,std_20,risk,negative,0.9154758638461278,-0.0367006206378101,0.0367006206378101,-0.2139818476864344,-0.0067151799442976,-0.0439301135937275,1591585
baseline_alignment_2017_2020,2017-01-01,2020-08-01,all_stock_shsz_liquid2000,label_1d_t1,rev_5,reversal,positive,0.9508654710609462,0.0350867758243128,0.0350867758243128,0.2567632744206867,0.0106014199699964,0.0833430236465664,1653111
baseline_alignment_2017_2020,2017-01-01,2020-08-01,all_stock_shsz_liquid2000,label_1d_t1,ret_5,momentum,watch,0.9508654710609462,-0.0350867758243128,,-0.2567632744206867,-0.0106014199699964,-0.0833430236465664,1653111
baseline_alignment_2017_2020,2017-01-01,2020-08-01,all_stock_shsz_liquid2000,label_1d_t1,ret_20,momentum,watch,0.9281066278293252,-0.0344312142135118,,-0.2368901885864605,-0.015306777956145,-0.1092117409753779,1613544
baseline_alignment_2017_2020,2017-01-01,2020-08-01,all_stock_shsz_liquid2000,label_1d_t1,ret_10,momentum,watch,0.942466435782352,-0.0323292177746047,,-0.2267995288413871,-0.0111861752786917,-0.083698470048219,1638509
baseline_alignment_2017_2020,2017-01-01,2020-08-01,all_stock_shsz_liquid2000,label_1d_t1,amount_std_20,liquidity,watch,0.9176984273522562,-0.02947279975967,,-0.2330944881660653,-0.0066493030774725,-0.0734168720696234,1595449
baseline_alignment_2017_2020,2017-01-01,2020-08-01,all_stock_shsz_liquid2000,label_1d_t1,volume_ratio_5_20,liquidity,watch,0.9176984273522562,-0.0244266483000249,,-0.2582364940263806,-0.0167016559282332,-0.1733603481012882,1595449
baseline_alignment_2017_2020,2017-01-01,2020-08-01,all_stock_shsz_liquid2000,label_1d_t1,corr_ret_volume_20,price_volume,watch,0.9154758638461278,-0.0201256238118348,,-0.2316896653140949,-0.0053941405172476,-0.070468161299456,1591585
baseline_alignment_2017_2020,2017-01-01,2020-08-01,all_stock_shsz_liquid2000,label_1d_t1,amount_mean_20,liquidity,watch,0.9176984273522562,-0.017891433814139,,-0.1379484524403736,-0.0010588063383138,-0.0118910466252113,1595449
main_research_2021_2023,2021-01-01,2023-12-29,all_stock_shsz_liquid2000,label_1d_t1,amplitude_20,risk,negative,0.9574946000655908,-0.0566653788293499,0.0566653788293499,-0.3303464609952958,-0.0135566338015417,-0.0824339790320761,1354694
main_research_2021_2023,2021-01-01,2023-12-29,all_stock_shsz_liquid2000,label_1d_t1,amount_std_20,liquidity,watch,0.9574946000655908,-0.0549197272500256,,-0.3815208136867217,-0.018313964061597,-0.1654198317127623,1354694
main_research_2021_2023,2021-01-01,2023-12-29,all_stock_shsz_liquid2000,label_1d_t1,std_20,risk,negative,0.9556760095898312,-0.0530682833688347,0.0530682833688347,-0.3418621767535461,-0.0133118410531676,-0.0898841656790997,1352121
