slice,start_time,end_time,market,label,factor,category,expected_direction,coverage,mean_rank_ic,directional_mean_rank_ic,rank_icir,mean_ic,icir,valid_rows
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_20d_t1,amount_std_20,liquidity,watch,0.7711040261906148,-0.1414928990526819,,-0.958807193909988,-0.0355059101956234,-0.428681296118521,2251724
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_20d_t1,amount_mean_20,liquidity,watch,0.7711040261906148,-0.1345370136435561,,-0.8641870783081931,-0.0327778697798549,-0.3798752722206583,2251724
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_20d_t1,ret_20,momentum,watch,0.855660878111591,-0.0726369006069094,,-0.4504365489713508,-0.0594954544746492,-0.4214991131590013,2498641
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_20d_t1,amplitude_20,risk,negative,0.7711040261906148,-0.0608826055632559,0.0608826055632559,-0.322193073990092,-0.030584715277275,-0.18081685215137,2251724
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_20d_t1,std_20,risk,negative,0.7652532592727036,-0.0549682817179582,0.0549682817179582,-0.2975032201367847,-0.0274654388392092,-0.1677055407903461,2234639
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_20d_t1,corr_ret_volume_20,price_volume,watch,0.7652532592727036,-0.0441674035756178,,-0.4460774174572107,-0.0287882538756032,-0.3185779794867902,2234639
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_20d_t1,ret_10,momentum,watch,0.868846934896734,-0.0435882430245807,,-0.2932404951953321,-0.0339613950230496,-0.2576131578296217,2537146
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_20d_t1,ret_5,momentum,watch,0.877052391503118,-0.0322436864501584,,-0.2335558561406745,-0.0192244675333972,-0.1535807588762891,2561107
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_20d_t1,rev_5,reversal,positive,0.877052391503118,0.0322436864501584,0.0322436864501584,0.2335558561406745,0.0192244675333972,0.1535807588762891,2561107
historical_reference_2010_2016,2010-01-01,2016-12-31,all_stock_shsz_liquid2000,label_20d_t1,volume_ratio_5_20,liquidity,watch,0.7711040261906148,-0.0088939886463127,,-0.0835167772024964,-0.0181875962634431,-0.1980026610456743,2251724
