instrument,datetime,$open,$high,$low,$close,$volume,$amount,$vwap,$factor,amount_per_volume_x10,vwap_diff,daily_return
SH601313,2016-01-04,2.7885878,2.7939367,2.5229232,2.526489,32633290.0,87003480.0,26.66096,0.17829846,26.66096,0.0,
SH601313,2016-01-05,2.408812,2.5282722,2.3321438,2.4765656,44480908.0,109146390.0,24.537806,0.17829846,24.537807,-1.9073486e-06,-0.019760013
SH601313,2016-01-06,2.5104423,2.5657148,2.4444718,2.5532339,57226364.0,144234370.0,25.204182,0.17829846,25.204182,0.0,0.03095746
SH601313,2016-01-07,2.4712167,2.4783485,2.2982671,2.2982671,11927192.0,28518410.0,23.910414,0.17829846,23.910416,-1.9073486e-06,-0.09986031
SH601313,2016-01-08,2.3571057,2.4034631,2.210901,2.3481908,51917240.0,121749304.0,23.45065,0.17829846,23.450651,-1.9073486e-06,0.021722317
SH601313,2016-01-11,2.3357098,2.3802843,2.1128366,2.1342325,49554332.0,112877870.0,22.778608,0.17829846,22.778608,0.0,-0.09111619
SH601313,2016-01-12,2.1591942,2.2643905,2.1360154,2.2215986,41564040.0,91317100.0,21.970219,0.17829846,21.970219,0.0,0.040935636
SH601313,2016-01-13,2.2465606,2.3053992,2.1788073,2.1877222,35600104.0,80188440.0,22.524775,0.17829846,22.524776,-1.9073486e-06,-0.015248656
SH601313,2016-01-14,2.1663263,2.3410587,2.1395814,2.3392756,37918580.0,85972630.0,22.672958,0.17829846,22.672956,1.9073486e-06,0.069274545
SH601313,2016-01-15,2.31788,2.3357098,2.1752412,2.2055519,40289610.0,90577470.0,22.481598,0.17829846,22.481596,1.9073486e-06,-0.05716461
SH601313,2016-01-18,2.1752412,2.31788,2.1681092,2.2715223,28852908.0,65135130.0,22.574892,0.17829846,22.574892,0.0,0.029911041
SH601313,2016-01-19,2.2608244,2.3624544,2.2554755,2.3535395,29645934.0,68896540.0,23.239796,0.17829846,23.239796,0.0,0.036106706
SH601313,2016-01-20,2.3392756,2.3678036,2.2786543,2.312531,32610928.0,75692150.0,23.21067,0.17829846,23.21067,0.0,-0.017424166
SH601313,2016-01-21,2.2626073,2.312531,2.173458,2.1752412,32319210.0,72621600.0,22.470106,0.17829846,22.470104,1.9073486e-06,-0.059367776
SH601313,2016-01-22,2.2019858,2.2109008,2.1039217,2.1770241,40592308.0,87768110.0,21.621859,0.17829846,21.621859,0.0,0.0008196831
SH601313,2016-01-25,2.2126837,2.2144668,2.1449304,2.191288,27090708.0,59311956.0,21.893839,0.17829844,21.893837,1.9073486e-06,0.006551981
SH601313,2016-01-26,2.157411,2.157411,1.9719808,1.9737638,34223570.0,71055050.0,20.762022,0.17829844,20.762022,0.0,-0.09926772
SH601313,2016-01-27,1.9791129,2.0005085,1.8186442,1.8828317,38712710.0,73254570.0,18.922613,0.17829846,18.922613,0.0,-0.046070397
SH601313,2016-01-28,1.8382571,1.8810487,1.7865505,1.8043803,22002204.0,40493044.0,18.404085,0.17829846,18.404085,0.0,-0.041666687
SH601313,2016-01-29,1.7865504,1.9363211,1.7865504,1.9131423,33967264.0,63916410.0,18.817062,0.17829844,18.81706,1.9073486e-06,0.060276628
SH601313,2016-02-01,1.9077935,1.9238404,1.85787,1.8810488,18296776.0,34623710.0,18.923395,0.17829846,18.923395,0.0,-0.01677531
SH601313,2016-02-02,1.8988786,1.9808958,1.8739167,1.954151,21710088.0,42352984.0,19.508434,0.17829846,19.508434,0.0,0.038862467
