instrument,start_time,end_time,lifecycle_start,lifecycle_end,missing_lifecycle,starts_before_lifecycle,ends_after_lifecycle,missing_feature_dir
SH600006,2013-06-25,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600008,2018-12-11,2022-03-21,2000-04-27,2020-09-25,False,False,True,False
SH600017,2011-06-28,2020-12-07,2006-10-17,2020-09-25,False,False,True,False
SH600021,2018-06-05,2022-03-21,2003-10-29,2020-09-25,False,False,True,False
SH600022,2016-12-06,2022-03-21,2004-06-29,2020-09-25,False,False,True,False
SH600026,2013-06-25,2022-03-21,2002-05-23,2020-09-25,False,False,True,False
SH600027,2021-06-16,2022-03-21,2005-02-03,2020-09-25,False,False,True,False
SH600037,2017-12-05,2022-03-21,2001-02-08,2020-09-25,False,False,True,False
SH600038,2020-12-08,2022-03-21,2000-12-18,2020-09-25,False,False,True,False
SH600039,2013-06-25,2022-03-21,2003-03-25,2020-09-25,False,False,True,False
SH600053,2016-06-07,2021-06-15,1999-11-10,2020-09-25,False,False,True,False
SH600056,2007-01-15,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600058,2015-06-09,2020-12-07,1999-11-10,2020-09-25,False,False,True,False
SH600060,2017-12-05,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600062,2014-12-09,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600064,2008-07-01,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600066,2021-06-16,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600068,2021-06-16,2021-08-09,1999-11-10,2020-09-25,False,False,True,False
SH600073,2007-06-26,2021-06-15,1999-11-10,2020-09-25,False,False,True,False
SH600074,2007-01-15,2011-01-04,2012-06-18,2020-09-25,False,True,False,False
SH600079,2015-06-09,2021-06-15,1999-11-10,2020-09-25,False,False,True,False
SH600087,2011-06-28,2012-06-25,,,True,False,False,True
SH600089,2020-12-08,2021-11-15,1999-11-10,2020-09-25,False,False,True,False
SH600094,2015-12-08,2021-11-15,1999-11-10,2020-09-25,False,False,True,False
SH600095,2021-06-16,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600102,2011-06-28,2012-02-27,,,True,False,False,True
SH600118,2021-11-16,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600120,2013-12-10,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600125,2013-12-10,2020-12-07,1999-11-10,2020-09-25,False,False,True,False
SH600126,2017-06-06,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600131,2020-12-08,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600132,2019-12-10,2021-06-15,1999-11-10,2020-09-25,False,False,True,False
SH600138,2007-01-15,2020-12-07,1999-11-10,2020-09-25,False,False,True,False
SH600141,2008-12-30,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600143,2015-06-09,2021-06-15,2004-06-23,2020-09-25,False,False,True,False
SH600153,2020-06-09,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600155,2017-12-05,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600157,2021-11-16,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600158,2010-06-29,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600160,2014-06-10,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600161,2012-06-26,2020-12-07,1999-11-10,2020-09-25,False,False,True,False
SH600166,2016-06-07,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600167,2018-06-05,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600170,2020-12-08,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600171,2008-01-03,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600177,2021-06-16,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
SH600188,2020-12-08,2022-03-21,1999-11-10,2020-09-25,False,False,True,False
