instrument,median_amount,mean_amount,valid_days
SZ002642,307198.40625,325244.44,207
SZ000838,306825.71875,636305.6,242
SZ002229,305991.375,358512.44,244
SH600797,305876.25,332210.88,197
SH600531,303227.71875,495648.56,244
SZ300251,303174.890625,384102.56,210
SH600343,302053.40625,363535.03,244
SZ300098,300507.1875,338858.34,212
SH601288,298596.40625,398125.8,244
SH600879,297625.71875,347612.34,235
SZ002114,297266.40625,339260.78,244
SH600565,296917.21875,364554.12,241
SZ002281,296390.28125,345108.9,244
SH600606,296348.0625,483174.72,244
SH600886,295319.046875,357446.78,244
SZ300502,295012.953125,320080.3,204
SH601009,292869.796875,363438.88,244
SH600015,292457.640625,357865.84,244
SZ300036,291521.53125,364677.97,230
SH600820,291233.15625,354311.62,244
SZ000568,290781.375,338092.1,226
SH600216,289326.59375,324583.2,239
SH600490,289249.75,414694.38,201
SZ002702,288828.65625,336533.03,244
SZ300503,288719.75,322809.88,199
SZ000520,288275.0625,504668.0,242
SZ000166,286923.78125,352345.1,236
SZ002049,286088.609375,420017.7,200
SH600160,284594.25,336895.84,243
SH601106,283707.875,352465.56,237
SZ000709,282210.765625,397869.06,244
SZ300081,282071.671875,368532.47,182
SH600777,281652.3125,398221.53,231
SZ300083,281447.625,376783.1,244
SH600696,281388.5625,328499.7,186
SZ002268,280935.609375,309344.84,244
SZ000973,279441.78125,386808.9,214
SH600406,279409.0625,356885.5,242
SZ000078,278964.546875,343961.88,244
SH600130,278593.109375,353346.84,244
SH600366,278532.234375,422136.88,244
SH601006,278320.328125,324793.5,244
SZ000402,278003.46875,396005.25,244
SZ300170,276784.1875,325581.84,244
SZ300191,275981.59375,323793.84,234
SZ300070,275778.515625,313376.38,230
SH600037,274643.46875,303025.6,244
SH600630,274628.625,360254.56,244
SH600895,274408.453125,392085.1,244
SZ002142,274037.8125,348600.66,243
SH600068,272954.859375,390355.1,244
SZ002104,272624.640625,335156.12,244
SZ002353,271977.8125,328535.56,227
SH600678,271440.71875,354695.56,241
SZ000997,271331.234375,316933.06,180
SH600172,270857.796875,294889.2,244
SZ000792,270395.515625,312855.12,244
SH600783,269354.40625,326716.1,244
SZ002329,269171.40625,418989.84,239
SZ000996,268385.578125,315675.9,244
SZ002067,267334.75,325294.44,244
SH600645,266951.34375,420377.03,189
SZ002095,265472.625,341210.9,244
SZ002236,264928.625,324018.97,244
SH601020,263721.75,331511.2,197
SH600704,263231.796875,298686.66,244
SH600838,262727.2734375,367303.8,244
SH601011,262231.796875,368213.2,236
SH600536,262093.640625,314156.9,244
SH600303,261442.140625,366546.4,230
SZ002426,260387.890625,288677.03,235
SZ000887,259685.328125,301941.0,203
SZ002091,259651.203125,342087.9,238
SH600410,258905.2265625,317544.03,244
SH600391,258649.8203125,342042.84,244
SZ000727,258511.21875,345138.0,212
SZ002081,258352.3046875,317503.53,244
SH600058,256725.3125,326049.25,244
SZ300491,256678.390625,284169.1,244
SH600637,256566.1640625,302463.3,242
SZ300079,256058.4609375,343177.75,244
SZ000831,255474.46875,321608.8,243
SZ300053,254798.609375,314259.84,199
SZ000957,254670.2890625,337660.47,244
SH600369,254236.25,328928.5,242
SZ300494,253903.3515625,280631.5,244
SZ002622,253557.6484375,297466.56,226
SH600978,253302.921875,370145.16,230
SH600652,253235.125,387654.22,244
SZ002036,252723.6015625,293170.38,244
SH601818,252651.796875,323637.12,243
SZ002168,252528.9375,340999.38,209
SZ002635,252212.296875,294046.97,205
SZ002488,252058.1328125,409996.62,244
SH600662,251061.375,393153.1,244
SZ002174,250465.5625,367031.06,219
SZ300355,250456.96875,400446.34,208
SZ000519,250126.890625,342314.88,237
SZ000031,249782.140625,298666.53,241
SH600340,249500.5234375,289650.47,244
SZ300228,249026.8515625,331207.84,244
SH600383,248920.515625,378284.94,243
SZ000810,248711.078125,303049.25,223
SZ000901,248653.28125,381694.34,211
SZ300359,248205.1640625,298248.2,208
SH600900,247752.2265625,285075.0,238
SH601088,246803.6328125,308742.56,244
SH603019,246735.828125,272415.5,244
SZ002102,246260.890625,317926.12,199
SZ002477,246210.2578125,354782.44,244
SZ300207,245994.421875,299285.62,244
SZ002341,245933.921875,318209.06,234
SZ300367,245409.203125,301281.06,227
SZ300377,245205.9296875,344977.88,236
SH601601,245036.2421875,318537.3,244
SZ300497,244838.0234375,252141.66,244
SZ300052,243584.3671875,380629.4,184
SZ002371,243546.5859375,308533.9,234
SH600707,242520.078125,421558.1,229
SZ300458,242302.1171875,289848.5,234
SZ002610,241811.9609375,468791.47,196
SH600415,241744.3359375,305850.75,244
SZ002714,241574.4453125,294913.0,234
SZ000778,241571.9140625,313410.28,244
SH600585,240658.3125,291630.94,244
SH603861,240603.65625,302565.12,193
SZ002222,240280.90625,319788.28,244
SH600703,240092.171875,278799.6,243
SH600094,239773.2734375,297004.62,242
SZ002179,239728.5390625,270020.8,244
SZ002190,239476.4375,292101.3,189
SH600221,238963.625,288854.16,244
SZ300364,238890.28125,292315.7,241
SH601669,238610.46875,377089.7,235
SZ000807,238595.9140625,293592.47,244
SZ002577,238478.7109375,331542.7,244
SZ000938,238389.5859375,287498.25,244
SZ002522,238313.4921875,283228.6,244
SH603999,238162.8515625,358167.38,244
SH601012,237990.984375,300095.28,243
SZ002161,237804.34375,315178.9,225
SZ000918,237472.625,401148.6,197
SZ300136,237466.0234375,277795.5,244
SZ300096,236821.296875,266132.25,224
SZ002736,235821.515625,291453.38,244
SZ000049,235496.8671875,284156.62,244
SZ002413,235363.328125,287046.53,238
SZ300386,234698.65625,327439.75,244
SZ300144,233438.9453125,253365.78,242
SH601388,232715.78125,320663.72,205
SZ300212,232265.21875,246886.7,221
SZ300498,231914.171875,293718.47,233
SZ000426,231871.359375,357167.84,189
SH600677,231491.046875,327719.16,244
SZ300078,231143.8828125,279258.84,244
SZ002428,230526.8359375,296852.5,244
SH600690,230399.4140625,295572.1,224
SH600060,230041.4765625,260023.53,244
SZ002157,229916.015625,300886.5,239
SZ300116,229289.6328125,342733.88,180
SZ300009,229163.625,271942.44,244
SH600855,228863.84375,284785.47,205
SH601155,228597.328125,283937.66,235
SH600276,227240.984375,247999.72,243
SZ300093,227061.640625,260204.5,214
SZ000012,225976.140625,373255.25,244
SZ000795,225395.34375,347172.56,239
SH600010,224886.125,284584.03,244
SZ300231,224733.546875,236541.1,234
SZ300118,224635.2265625,319836.78,242
SZ000540,224593.0390625,268740.97,216
SZ000876,224482.1875,290924.25,201
SZ300379,224385.1171875,254940.58,244
SH600085,224363.4765625,305642.78,244
SH600666,224278.4921875,311390.6,228
SH600418,224130.484375,265889.75,242
SZ002467,223768.015625,271326.38,244
SZ300216,223630.6640625,266058.53,236
SZ002027,223216.984375,258603.11,244
SZ002788,223213.6484375,299479.84,216
SZ300153,223017.40625,302768.06,184
SZ000697,222789.2734375,258741.0,212
SZ300010,222186.859375,266623.94,237
SZ000961,222113.7578125,296926.12,234
SH600237,222034.0390625,259981.67,222
SZ002643,221696.4375,309253.16,244
SZ002786,221393.640625,349296.3,244
SZ002195,221047.640625,291502.0,244
SZ002063,220870.1484375,235593.84,234
SZ002298,219474.859375,243778.11,244
SH601777,219260.046875,311705.28,241
SZ002313,219239.078125,270967.4,220
SH600288,219115.265625,336370.38,243
SH600816,219076.265625,303172.56,244
SZ000751,218597.765625,307093.88,244
SZ300156,218187.6015625,244267.12,244
SH603508,218074.0859375,273417.94,244
SZ002439,218065.96875,281164.88,181
SZ002695,218027.671875,548194.06,237
SZ300100,217490.7421875,228282.44,204
SH600352,217282.859375,306119.28,230
SZ000592,217102.171875,297190.3,243
SH601628,216744.5,290805.47,244
SZ300178,215884.5,242757.98,244
SH601111,215868.765625,253948.73,244
SH600171,215837.15625,242080.77,231
SZ002556,215652.328125,238586.77,244
SZ002791,215031.640625,300626.1,188
SH600650,214945.2421875,300939.72,244
SZ000933,214876.671875,307827.06,243
SZ002602,214656.0625,265804.97,208
SZ300495,213336.671875,257645.66,186
SZ002785,213291.375,289483.0,243
SH600177,213277.53125,278961.34,244
SH600266,212730.8359375,267371.16,244
SH600395,212654.671875,260636.7,244
SZ300124,212117.9765625,231608.77,244
SH600089,212091.2734375,239964.11,244
SH600667,211905.8125,256393.7,239
SZ000777,211833.5,264562.44,244
SZ300274,211364.140625,248193.67,239
SZ002444,211154.421875,324413.3,244
SZ000603,211119.578125,276970.3,239
SH600459,210834.5,294419.88,244
SZ300131,210467.4921875,324972.8,244
SZ300245,210182.8125,251838.27,244
SH603936,210165.40625,283778.5,229
SZ000566,210157.1953125,270088.53,244
SZ002468,209915.484375,300192.84,235
SZ002138,209773.078125,250810.81,244
SH600482,209513.375,257577.55,239
SZ002717,208979.484375,299293.75,191
SH600651,208907.3515625,328534.06,224
SH601919,208884.28125,277256.44,244
SZ300333,208396.9609375,289076.88,244
SH600066,208349.578125,252118.23,244
SZ002223,208297.140625,239015.58,239
SZ300023,208258.875,276407.88,241
SZ300051,207357.1328125,262858.47,244
SZ000687,207242.375,237290.28,244
SZ002253,207104.8125,322399.47,244
SZ002655,207092.359375,248577.81,211
SH600688,205872.046875,277427.62,244
SH600680,205817.6640625,276174.3,244
SH600260,205790.6875,258817.06,235
SZ002443,205686.578125,233127.61,237
SZ300336,205638.453125,271621.8,181
SH600348,205494.609375,253650.89,244
SH600084,205454.9375,375871.03,243
SH600499,205184.453125,236338.98,225
SZ300376,204447.296875,396186.6,241
SZ000656,204418.671875,336987.47,239
SH600312,204331.8671875,231067.14,244
SZ002636,204212.125,258828.3,242
SZ002590,203393.703125,319377.72,244
SZ000937,203293.796875,278190.06,244
SZ002358,203265.546875,234446.97,235
SH600767,203143.15625,231426.1,223
SH603000,203085.0390625,252361.39,244
SH600728,203066.8046875,235769.47,216
SH601800,203063.7265625,318017.44,244
SZ300287,202807.734375,253569.12,239
SZ002130,202704.1328125,251131.19,244
SZ002197,202673.6640625,260893.2,244
SZ000563,202468.828125,324497.88,188
SZ002787,202362.4609375,237623.92,244
SH600795,202280.515625,276625.53,244
SZ300058,202060.5,242199.81,238
SZ002722,201596.5859375,312470.8,244
SZ300295,201278.0078125,219983.05,202
SH600289,201040.15625,236160.0,244
SZ002481,200677.3125,291566.44,244
SZ002106,200518.046875,296664.0,244
SZ002189,200119.9921875,281025.25,244
SZ300002,199771.6640625,220977.44,244
SZ000998,199103.1484375,235524.86,244
SH600193,198781.296875,228499.12,244
SZ002013,198766.703125,269992.06,243
SH601857,197993.71875,266208.6,244
SZ300068,197927.7890625,285457.94,244
SZ300501,197897.28125,220896.19,221
SH600633,197830.3359375,265200.5,244
SZ300294,197813.859375,230359.4,244
SZ000006,197714.5,278263.1,244
SZ000661,197124.0546875,235329.3,238
SH600730,197041.75,248340.94,243
SZ000516,196992.4609375,249883.75,224
SZ002331,196720.84375,224410.95,187
SZ002789,196650.4140625,231882.64,200
SZ000860,196606.84375,230062.92,244
SZ000786,196468.421875,234683.16,239
SZ300248,196324.40625,239606.81,236
SH600711,196202.5625,289381.62,215
SZ002502,196123.421875,233912.23,228
SH603919,195977.53125,248550.31,182
SH603299,195899.28125,257874.58,243
SH600525,195683.9765625,235401.47,186
SH600405,195331.5390625,253760.78,244
SZ002056,195275.7265625,295363.16,244
SZ002504,195231.234375,292290.8,239
SZ002411,195062.890625,216502.64,239
SH600298,194785.3125,227438.33,244
SZ300090,194756.5703125,238236.92,244
SZ000066,194481.0078125,281343.72,180
SH603993,194117.28125,301802.34,225
SZ002418,194009.90625,242798.2,244
