instrument,median_amount,mean_amount,valid_days
SZ002369,155294.984375,181533.86,239
SH600372,155176.6328125,193318.03,244
SH600604,154807.40625,243033.75,244
SZ002047,154692.0703125,234741.98,224
SH600765,154546.4453125,186956.33,244
SH600624,154506.71875,178659.61,237
SZ002780,153957.65625,205709.16,234
SZ002429,153902.078125,173669.16,219
SZ300443,153752.75,175175.06,239
SZ002385,153322.4375,178215.8,244
SZ300392,153286.8828125,172409.02,184
SH600119,153121.1953125,238058.34,244
SH601918,152924.9375,231707.97,231
SZ300066,152856.171875,244308.52,244
SH600252,152496.546875,211916.62,243
SH600626,152263.7578125,224118.72,232
SZ000928,152248.375,208363.39,244
SZ002446,152159.6015625,200560.84,244
SZ002285,152143.078125,256375.67,243
SH600477,152028.671875,195853.72,239
SZ002362,151823.7578125,178034.11,244
SZ002170,151789.671875,168120.25,244
SH600692,151779.3125,191464.38,244
SH600959,151770.0,168519.36,244
SZ000969,151665.0625,231786.19,244
SH600702,151502.0703125,181291.81,244
SH600660,151439.03125,174042.19,244
SZ002221,151422.8203125,189144.53,244
SH600240,151337.2734375,175547.89,244
SZ300201,151151.453125,183317.36,191
SZ300438,151027.0703125,208219.62,244
SH601872,150974.375,195580.78,244
SZ002133,150758.7578125,178858.92,244
SH600673,150725.3671875,182114.78,210
SH603800,150652.453125,201572.39,244
SH600355,150365.421875,180174.53,243
SH601225,150258.3046875,196449.69,244
SZ000554,150000.6328125,192156.14,244
SZ002235,149672.59375,175021.33,232
SH601222,149590.6171875,234848.33,244
SZ300185,149378.328125,288066.62,229
SZ002196,148736.2265625,183654.0,244
SZ000760,148552.390625,185901.94,244
SZ300074,148247.7734375,170314.86,244
SZ300401,147949.375,178662.08,239
SZ002494,147731.0625,172253.86,241
SZ300011,147631.7265625,168903.7,230
SH601311,147609.09375,205034.08,244
SZ300408,147472.1015625,180731.94,244
SZ000069,147175.921875,200019.61,244
SH600655,147103.984375,191543.1,235
SZ000911,147079.0625,189134.69,226
SZ000543,146753.3125,171624.48,244
SZ002733,146709.515625,207385.08,244
SZ002097,146407.7265625,194359.14,244
SH600875,146373.46875,168071.61,228
SH600316,146111.953125,186317.02,244
SZ000909,146026.15625,256614.81,232
SH600500,145956.640625,206546.17,218
SZ000833,145904.703125,193250.16,233
SH600006,145574.5078125,218909.69,200
SZ002208,145463.96875,209965.3,244
SH600856,145395.25,154511.53,183
SZ300152,145371.375,212588.81,223
SH600283,145345.1875,175595.67,243
SZ002638,145308.890625,178042.81,208
SZ002400,145255.796875,167429.08,219
SH600562,145245.1171875,181686.6,244
SZ002778,145231.6171875,165891.94,242
