market,label,factor,category,expected_direction,coverage,mean_ic,icir,mean_rank_ic,directional_mean_rank_ic,rank_icir,valid_rows
csi500,label_5d_t1,amplitude_20,risk,negative,0.90260754515886,-0.0053211640759162,-0.0299813703797531,-0.0354763997840127,0.0354763997840127,-0.1946812629442148,392952
csi500,label_5d_t1,ret_20,momentum,watch,0.9098476634998806,-0.0100978456769832,-0.0646634610765408,-0.0317271923180831,,-0.1953169052741299,396104
csi500,label_5d_t1,amount_mean_20,liquidity,watch,0.90260754515886,-0.0102825101357688,-0.0646997543194518,-0.0276889460507889,,-0.169212590005011,392952
csi500,label_5d_t1,corr_ret_volume_20,price_volume,watch,0.9000165383413882,-0.0016213368303047,-0.0180110440128314,-0.0174972877512636,,-0.1790590867979642,391824
csi500,label_5d_t1,ret_10,momentum,watch,0.9304516804792444,0.0017850610344725,0.0116325882687729,-0.0154039381315602,,-0.0995435813778751,405074
csi500,label_5d_t1,volume_ratio_5_20,liquidity,watch,0.90260754515886,-0.0108069117560563,-0.0914197721129484,-0.0131214702255186,,-0.114662911497516,392952
csi500,label_5d_t1,ret_5,momentum,watch,0.9418608390451864,0.0027595392754295,0.0192808725738954,-0.0081337980224969,,-0.0562802947247814,410041
csi500,label_5d_t1,rev_5,reversal,positive,0.9418608390451864,-0.0027595392754295,-0.0192808725738954,0.0081337980224969,0.0081337980224969,0.0562802947247814,410041
all_stock_shsz_liquid2000,label_5d_t1,amplitude_20,risk,negative,0.910210505063752,-0.0264767165680222,-0.1696815450462769,-0.0613580040181293,0.0613580040181293,-0.357343296474171,1582431
all_stock_shsz_liquid2000,label_5d_t1,std_20,risk,negative,0.9080109494614136,-0.029040484501828,-0.194321427320786,-0.0585607514244889,0.0585607514244889,-0.3527057956789912,1578607
all_stock_shsz_liquid2000,label_5d_t1,ret_20,momentum,watch,0.920541629063124,-0.0360852085138754,-0.2653262438005717,-0.0492697063989887,,-0.3299918008639008,1600392
all_stock_shsz_liquid2000,label_5d_t1,amount_std_20,liquidity,watch,0.910210505063752,-0.0148972839752243,-0.1605385700906824,-0.0455177200755319,,-0.3358303838305149,1582431
all_stock_shsz_liquid2000,label_5d_t1,ret_10,momentum,watch,0.9347858222996056,-0.0240302217344001,-0.1872479612173328,-0.0332627946242556,,-0.2336139575191272,1625156
all_stock_shsz_liquid2000,label_5d_t1,ret_5,momentum,watch,0.943118134657208,-0.0186824764390498,-0.1585122637321508,-0.0278434554169658,,-0.2132472870149326,1639642
all_stock_shsz_liquid2000,label_5d_t1,rev_5,reversal,positive,0.943118134657208,0.0186824764390498,0.1585122637321508,0.0278434554169658,0.0278434554169658,0.2132472870149326,1639642
all_stock_shsz_liquid2000,label_5d_t1,amount_mean_20,liquidity,watch,0.910210505063752,-0.0040459927345626,-0.0429979736441029,-0.0273354463799142,,-0.1930261912857938,1582431
all_stock_shsz_liquid2000,label_5d_t1,corr_ret_volume_20,price_volume,watch,0.9080109494614136,-0.0106058361710966,-0.1382444098941032,-0.0238533203903271,,-0.2622275148129051,1578607
all_stock_shsz_liquid2000,label_5d_t1,volume_ratio_5_20,liquidity,watch,0.910210505063752,-0.0232236610880251,-0.2584689794840192,-0.0193479534444948,,-0.2002534034870211,1582431
