market,label,factor,category,expected_direction,coverage,mean_ic,icir,mean_rank_ic,directional_mean_rank_ic,rank_icir,valid_rows
csi500,label_1d_t1,amplitude_20,risk,negative,0.9122847718627686,0.0035709710906801,0.0191731609020361,-0.0283747786067975,0.0283747786067975,-0.1467092764778937,397165
csi500,label_1d_t1,std_20,risk,negative,0.9095697274848858,0.0011923143622764,0.0069414199892146,-0.0276844363944103,0.0276844363944103,-0.1493378833667441,395983
csi500,label_1d_t1,amount_std_20,liquidity,watch,0.9122847718627686,-0.0064043510902347,-0.0400186627149858,-0.0270392392087129,,-0.1655527125999106,397165
csi500,label_1d_t1,ret_20,momentum,watch,0.919469762399162,-0.0027540452036299,-0.0163930295139213,-0.0249628161275858,,-0.1536075851945481,400293
csi500,label_1d_t1,rev_5,reversal,positive,0.9518642385931384,0.0013316029712099,0.0087377878033298,0.0220715403883863,0.0220715403883863,0.1463760215594626,414396
csi500,label_1d_t1,ret_5,momentum,watch,0.9518642385931384,-0.0013316029712099,-0.0087377878033298,-0.0220715403883863,,-0.1463760215594626,414396
csi500,label_1d_t1,ret_10,momentum,watch,0.9403999522225692,0.001042460163202,0.0064204799933066,-0.0211286300281544,,-0.1333042789685285,409405
csi500,label_1d_t1,amount_mean_20,liquidity,watch,0.9122847718627686,-0.0002525128591871,-0.0015411321912567,-0.0178882690475678,,-0.1047977433550587,397165
csi500,label_1d_t1,volume_ratio_5_20,liquidity,watch,0.9122847718627686,-0.0071991000645001,-0.0602956367964236,-0.0176626481240225,,-0.1552950684568173,397165
csi500,label_1d_t1,corr_ret_volume_20,price_volume,watch,0.9095697274848858,-0.0007992410841924,-0.0083141600485073,-0.0169335618371998,,-0.1662713873827838,395983
all_stock_shsz_liquid2000,label_1d_t1,amplitude_20,risk,negative,0.9176984273522562,-0.005131263084522,-0.0322418465720372,-0.0389116101721686,0.0389116101721686,-0.2212535045001294,1595449
all_stock_shsz_liquid2000,label_1d_t1,std_20,risk,negative,0.9154758638461278,-0.0067151799442976,-0.0439301135937275,-0.0367006206378101,0.0367006206378101,-0.2139818476864344,1591585
all_stock_shsz_liquid2000,label_1d_t1,rev_5,reversal,positive,0.9508654710609462,0.0106014199699964,0.0833430236465664,0.0350867758243128,0.0350867758243128,0.2567632744206867,1653111
all_stock_shsz_liquid2000,label_1d_t1,ret_5,momentum,watch,0.9508654710609462,-0.0106014199699964,-0.0833430236465664,-0.0350867758243128,,-0.2567632744206867,1653111
all_stock_shsz_liquid2000,label_1d_t1,ret_20,momentum,watch,0.9281066278293252,-0.015306777956145,-0.1092117409753779,-0.0344312142135118,,-0.2368901885864605,1613544
all_stock_shsz_liquid2000,label_1d_t1,ret_10,momentum,watch,0.942466435782352,-0.0111861752786917,-0.083698470048219,-0.0323292177746047,,-0.2267995288413871,1638509
all_stock_shsz_liquid2000,label_1d_t1,amount_std_20,liquidity,watch,0.9176984273522562,-0.0066493030774725,-0.0734168720696234,-0.02947279975967,,-0.2330944881660653,1595449
all_stock_shsz_liquid2000,label_1d_t1,volume_ratio_5_20,liquidity,watch,0.9176984273522562,-0.0167016559282332,-0.1733603481012882,-0.0244266483000249,,-0.2582364940263806,1595449
all_stock_shsz_liquid2000,label_1d_t1,corr_ret_volume_20,price_volume,watch,0.9154758638461278,-0.0053941405172476,-0.070468161299456,-0.0201256238118348,,-0.2316896653140949,1591585
all_stock_shsz_liquid2000,label_1d_t1,amount_mean_20,liquidity,watch,0.9176984273522562,-0.0010588063383138,-0.0118910466252113,-0.017891433814139,,-0.1379484524403736,1595449
csi500,label_5d_t1,amount_std_20,liquidity,watch,0.90260754515886,-0.0220803550084711,-0.147055961248347,-0.0418599071660388,,-0.2697487411420644,392952
csi500,label_5d_t1,std_20,risk,negative,0.9000165383413882,-0.0096390142826663,-0.0593929214754932,-0.0357734567196111,0.0357734567196111,-0.2053721255959751,391824
