factor,coverage,mean_ic,icir,mean_rank_ic,rank_icir,valid_rows
amplitude_20,0.9176984273522562,-0.00513126308452203,-0.03224184657203728,-0.03891161017216869,-0.22125350450012943,1595449
std_20,0.9154758638461278,-0.006715179944297662,-0.043930113593727525,-0.03670062063781011,-0.21398184768643447,1591585
rev_5,0.9508654710609462,0.010601419969996475,0.08334302364656647,0.03508677582431283,0.2567632744206867,1653111
ret_5,0.9508654710609462,-0.010601419969996475,-0.08334302364656647,-0.03508677582431283,-0.2567632744206867,1653111
ret_20,0.9281066278293251,-0.015306777956145039,-0.10921174097537796,-0.034431214213511835,-0.23689018858646055,1613544
ret_10,0.9424664357823521,-0.011186175278691769,-0.083698470048219,-0.032329217774604714,-0.22679952884138715,1638509
amount_std_20,0.9176984273522562,-0.006649303077472538,-0.07341687206962343,-0.029472799759670074,-0.2330944881660653,1595449
volume_ratio_5_20,0.9176984273522562,-0.016701655928233205,-0.17336034810128825,-0.024426648300024934,-0.25823649402638066,1595449
corr_ret_volume_20,0.9154758638461278,-0.005394140517247635,-0.07046816129945604,-0.020125623811834834,-0.23168966531409496,1591585
amount_mean_20,0.9176984273522562,-0.0010588063383138921,-0.011891046625211359,-0.017891433814139077,-0.13794845244037363,1595449
