datetime,factor,top_count,turnover
2017-01-11,ret_5,377,0.33156498673740054
2017-01-12,ret_5,377,0.3448275862068966
2017-01-13,ret_5,377,0.389920424403183
2017-01-16,ret_5,375,0.37665782493368705
2017-01-17,ret_5,376,0.21333333333333337
2017-01-18,ret_5,376,0.21276595744680848
2017-01-19,ret_5,376,0.19680851063829785
2017-01-20,ret_5,376,0.2712765957446809
2017-01-23,ret_5,375,0.5851063829787234
2017-01-24,ret_5,375,0.4026666666666666
2017-01-25,ret_5,375,0.4
2017-01-26,ret_5,375,0.30133333333333334
2017-02-03,ret_5,374,0.3413333333333334
2017-02-06,ret_5,375,0.4197860962566845
2017-02-07,ret_5,375,0.42133333333333334
2017-02-08,ret_5,377,0.31999999999999995
2017-02-09,ret_5,376,0.3289124668435013
2017-02-10,ret_5,376,0.3936170212765957
2017-02-13,ret_5,375,0.34042553191489366
2017-02-14,ret_5,376,0.2853333333333333
2017-02-15,ret_5,375,0.31117021276595747
2017-02-16,ret_5,374,0.30400000000000005
2017-02-17,ret_5,374,0.3743315508021391
2017-02-20,ret_5,372,0.3529411764705882
2017-02-21,ret_5,372,0.33870967741935487
2017-02-22,ret_5,373,0.3575268817204301
2017-02-23,ret_5,373,0.3646112600536193
2017-02-24,ret_5,374,0.37533512064343166
2017-02-27,ret_5,373,0.38235294117647056
2017-02-28,ret_5,372,0.32439678284182305
2017-03-01,ret_5,372,0.293010752688172
2017-03-02,ret_5,373,0.34408602150537637
2017-03-03,ret_5,373,0.3351206434316354
2017-03-06,ret_5,373,0.34048257372654156
2017-03-07,ret_5,373,0.3324396782841823
2017-03-08,ret_5,373,0.3351206434316354
2017-03-09,ret_5,374,0.29222520107238603
2017-03-10,ret_5,374,0.31016042780748665
2017-03-13,ret_5,374,0.32887700534759357
2017-03-14,ret_5,373,0.32352941176470584
2017-03-15,ret_5,374,0.30831099195710454
2017-03-16,ret_5,374,0.2593582887700535
2017-03-17,ret_5,374,0.3663101604278075
2017-03-20,ret_5,371,0.32887700534759357
2017-03-21,ret_5,372,0.3207547169811321
2017-03-22,ret_5,372,0.31182795698924726
2017-03-23,ret_5,372,0.29032258064516125
2017-03-24,ret_5,373,0.2983870967741935
2017-03-27,ret_5,372,0.30563002680965146
2017-03-28,ret_5,371,0.3198924731182796
2017-03-29,ret_5,372,0.32345013477088946
2017-03-30,ret_5,372,0.3413978494623656
2017-03-31,ret_5,372,0.3413978494623656
2017-04-05,ret_5,372,0.3951612903225806
2017-04-06,ret_5,372,0.30645161290322576
2017-04-07,ret_5,373,0.34408602150537637
2017-04-10,ret_5,372,0.3136729222520107
2017-04-11,ret_5,371,0.26881720430107525
2017-04-12,ret_5,373,0.3504043126684636
2017-04-13,ret_5,370,0.3136729222520107
2017-04-14,ret_5,369,0.2810810810810811
2017-04-17,ret_5,363,0.4579945799457995
2017-04-18,ret_5,369,0.3939393939393939
2017-04-19,ret_5,370,0.3414634146341463
2017-04-20,ret_5,368,0.26216216216216215
2017-04-21,ret_5,367,0.20380434782608692
2017-04-24,ret_5,369,0.31335149863760214
2017-04-25,ret_5,370,0.21409214092140927
2017-04-26,ret_5,370,0.3027027027027027
2017-04-27,ret_5,369,0.3513513513513513
2017-04-28,ret_5,368,0.32791327913279134
2017-05-02,ret_5,367,0.4375
2017-05-03,ret_5,369,0.3269754768392371
2017-05-04,ret_5,369,0.2899728997289973
2017-05-05,ret_5,369,0.3685636856368564
2017-05-08,ret_5,368,0.4417344173441734
2017-05-09,ret_5,369,0.375
2017-05-10,ret_5,370,0.3712737127371274
