factor,category,expected_direction,coverage,mean_ic,icir,mean_rank_ic,directional_mean_rank_ic,rank_icir,valid_rows
amount_std_20,liquidity,watch,0.7836781239191406,-0.029444912611708146,-0.37402633861020934,-0.11611174600558472,,-0.855738210307065,2288442
amount_mean_20,liquidity,watch,0.7836781239191406,-0.02709838810149281,-0.3331679977838588,-0.10593212489947103,,-0.7473280889706788,2288442
ret_20,momentum,watch,0.8689198768547975,-0.04287509804855777,-0.30943572488429616,-0.057652079437040475,,-0.366862489049936,2537359
amplitude_20,risk,negative,0.7836781239191406,-0.019017577196064454,-0.1113094377635165,-0.04862440193734543,0.04862440193734543,-0.25799721134952297,2288442
std_20,risk,negative,0.7777773592271577,-0.017690170792824762,-0.10947696940376811,-0.04452712352518149,0.04452712352518149,-0.24649491648322905,2271211
corr_ret_volume_20,price_volume,watch,0.7777773592271577,-0.020953265269626598,-0.23716019843026134,-0.03756478442339437,,-0.37955899802896764,2271211
ret_10,momentum,watch,0.8822925691664412,-0.017762857252126035,-0.13059235543148415,-0.03265725043470807,,-0.2181689764982825,2576409
ret_5,momentum,watch,0.8906250749110485,-0.01060410848061501,-0.07950305217493936,-0.031325276263973495,,-0.22060706630704582,2600741
rev_5,reversal,positive,0.8906250749110485,0.01060410848061501,0.07950305217493936,0.031325276263973495,0.031325276263973495,0.22060706630704582,2600741
volume_ratio_5_20,liquidity,watch,0.7836781239191406,-0.011237416550641284,-0.12293158707806975,-0.004976048888615355,,-0.04755229662949007,2288442
