profile_id,stage,execution_class,execution_profile,outer_split_id,policy_id,fold,batch_index,structural_row_id,candidate_sha256,boosting_round,feature_count,train_rows,validation_rows,output_rows,wall_seconds,cpu_seconds,cpu_core_equivalent,read_bytes,write_bytes,rss_before_mib,rss_after_mib,peak_rss_mib,execution_dtype,thread_count,cache_hit,dataset_identity_sha256,input_date_count,cache_key,cache_status,factor_batch_size,median_workers
baseline_cache_off,feature_projection,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,6.0,,,,45,,,80000.0,2.0041144999995595,2.484375,1.2396372562548428,208732160,0,391.171875,499.12890625,499.12890625,float64,8,,,40.0,,,,
baseline_cache_off,label_loading_and_join,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,6.0,,,,45,,,80000.0,0.1238737000021501,0.125,1.009092325472076,4557087,0,499.12890625,502.77734375,502.77734375,float64,8,,,40.0,,,,
baseline_cache_off,feature_spooling,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,6.0,,,,45,,,79838.0,0.4062818999955198,0.421875,1.0383800016802427,0,20409137,503.72265625,393.5546875,503.72265625,float64,8,,,,,,,
baseline_cache_off,feature_projection,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,7.0,,,,45,,,80000.0,1.9850146000026143,2.515625,1.2673080590927073,208732160,0,393.5546875,500.9140625,500.9140625,float64,8,,,40.0,,,,
baseline_cache_off,label_loading_and_join,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,7.0,,,,45,,,80000.0,0.1221155000021099,0.125,1.0236210800253878,4557087,0,500.9140625,505.16796875,505.16796875,float64,8,,,40.0,,,,
baseline_cache_off,feature_spooling,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,7.0,,,,45,,,79526.0,0.3812300999998115,0.359375,0.942672155215912,0,20592924,505.375,395.40625,505.375,float64,8,,,,,,,
baseline_cache_off,feature_projection,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,8.0,,,,45,,,79983.0,1.9530016999997315,2.421875,1.240078285646312,208732160,0,395.40625,506.09375,506.09375,float64,8,,,40.0,,,,
baseline_cache_off,label_loading_and_join,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,8.0,,,,45,,,79983.0,0.13937900000019,0.140625,1.0089396537484725,4557087,0,506.09375,510.34765625,510.34765625,float64,8,,,40.0,,,,
baseline_cache_off,feature_spooling,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,8.0,,,,45,,,79742.0,0.3173074000005726,0.3125,0.984849392101905,0,20555077,515.08203125,394.8515625,515.08203125,float64,8,,,,,,,
baseline_cache_off,feature_projection,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,9.0,,,,45,,,80000.0,2.002812099999573,2.453125,1.224840313277777,208732160,0,394.8515625,516.61328125,516.61328125,float64,8,,,40.0,,,,
