signal_date,execution_date,period_end_date,status,eligible_count,selected_count,turnover,cost,period_net_return,period_universe_return,period_net_excess_return,avg_selected_liquidity_bucket,avg_selected_tradability_score
2021-02-01,2021-02-02,2021-03-09,executed,1116,300,1.0,0.0005,0.044862569252375195,-0.002831532534168124,0.04646292737329083,3.72,100.0
2021-03-08,2021-03-09,2021-04-07,executed,1121,300,0.4733333333333334,0.0002366666666666667,0.025664300019077935,0.0444139936331589,-0.018563188199356206,3.68,100.0
2021-04-06,2021-04-07,2021-05-10,executed,1124,300,0.4633333333333334,0.0002316666666666667,-0.022214539910944464,-0.002538207998627917,-0.019973161688659258,3.723333333333333,100.0
2021-05-07,2021-05-10,2021-06-07,executed,1118,300,0.45666666666666667,0.00022833333333333334,0.044532227663570456,0.06102875996609347,-0.015827111293925222,3.6966666666666668,100.0
2021-06-04,2021-06-07,2021-07-06,executed,1128,300,0.4633333333333334,0.0002316666666666667,-0.0075054519950285,0.005842989900194162,-0.013969469610543683,3.6466666666666665,100.0
2021-07-05,2021-07-06,2021-08-03,executed,1124,300,0.4933333333333333,0.0002466666666666666,-0.0028923820929127597,0.029714040858181523,-0.03301644431310624,3.68,100.0
2021-08-02,2021-08-03,2021-08-31,executed,1113,300,0.45666666666666667,0.00022833333333333334,0.052910803894953284,0.06425212312903628,-0.011617320390575503,3.6333333333333333,100.0
2021-08-30,2021-08-31,2021-09-30,executed,1121,300,0.4866666666666667,0.00024333333333333336,0.022983600454949515,-0.02575700715782403,0.04854653598450609,3.5933333333333333,100.0
2021-09-29,2021-09-30,2021-11-04,executed,1114,300,0.5466666666666666,0.00027333333333333333,0.016456667184465923,-0.007317267599581068,0.02304009625948944,3.6633333333333336,100.0
2021-11-03,2021-11-04,2021-12-02,executed,1147,300,0.5,0.00025,0.0482495746427114,0.05579274673825396,-0.007617126296414756,3.6733333333333333,100.0
2021-12-01,2021-12-02,2021-12-30,executed,1137,300,0.4866666666666667,0.00024333333333333336,0.03808317876551115,0.016777414761784737,0.020145867130444417,3.66,100.0
2021-12-29,2021-12-30,2022-01-28,executed,1127,300,0.4733333333333334,0.0002366666666666667,-0.06302343896245077,-0.10114855019258684,0.04105423232169647,3.69,100.0
2022-01-27,2022-01-28,2022-03-04,executed,1134,300,0.45999999999999996,0.00022999999999999998,0.032119564575863846,0.04755338643896234,-0.015440957617978257,3.8,100.0
2022-03-03,2022-03-04,2022-04-01,executed,1144,300,0.43333333333333335,0.00021666666666666668,-0.0575978690070138,-0.04519443448030935,-0.013044056789868419,3.783333333333333,100.0
2022-03-31,2022-04-01,2022-05-06,executed,1132,300,0.5,0.00025,-0.1203243595482072,-0.14504240508573174,0.026826947860220995,3.703333333333333,100.0
2022-05-05,2022-05-06,2022-06-06,executed,1071,300,0.44333333333333336,0.00022166666666666667,0.09130995418891596,0.11471342529874518,-0.021573386062201272,3.8733333333333335,100.0
2022-06-02,2022-06-06,2022-07-04,executed,1103,300,0.43666666666666665,0.00021833333333333332,0.04922948024926166,0.06087188147812239,-0.011527541743102887,3.8033333333333332,100.0
2022-07-01,2022-07-04,2022-08-01,executed,1115,300,0.48,0.00024,-0.028792479039220997,-0.0005958780168882072,-0.02862444127605346,3.6466666666666665,100.0
2022-07-29,2022-08-01,2022-08-29,executed,1131,300,0.4933333333333333,0.0002466666666666666,0.0035022545168506003,-0.0056945956591262226,0.00839254005302914,3.756666666666667,100.0
2022-08-26,2022-08-29,2022-09-27,executed,1125,300,0.43000000000000005,0.00021500000000000002,-0.05783935424874831,-0.07916609651613105,0.021822345203428073,3.84,100.0
2022-09-26,2022-09-27,2022-11-01,executed,1134,300,0.39,0.00019500000000000002,-0.0003300235098795401,-0.013065468677011971,0.011921491894071545,3.783333333333333,100.0
2022-10-31,2022-11-01,2022-11-29,executed,1102,300,0.4733333333333334,0.0002366666666666667,0.08308214284859972,0.05693519703752736,0.024392502505756974,3.7533333333333334,100.0
2022-11-28,2022-11-29,2022-12-27,executed,1137,300,0.43666666666666665,0.00021833333333333332,-0.0312930686297771,-0.03021460783431129,-0.0011458366197406589,3.6633333333333336,100.0
2022-12-26,2022-12-27,2023-02-01,executed,1116,300,0.4766666666666667,0.00023833333333333334,0.08356779653775193,0.0828962270861251,0.0003779855031302848,3.6166666666666667,100.0
2023-01-31,2023-02-01,2023-03-01,executed,1132,300,0.45666666666666667,0.00022833333333333334,0.028882861808910754,0.015462516275040583,0.013105727580650095,3.6433333333333335,100.0
2023-02-28,2023-03-01,2023-03-29,executed,1146,300,0.5466666666666666,0.00027333333333333333,-0.03875870728932118,-0.024839627490904292,-0.01463920590747203,3.74,100.0
2023-03-28,2023-03-29,2023-04-27,executed,1138,300,0.49,0.000245,-0.025393917990902515,-0.03166775419276202,0.005733006617154812,3.6133333333333333,100.0
2023-04-26,2023-04-27,2023-05-30,executed,1118,300,0.44999999999999996,0.000225,-0.010555148995654684,0.0028760882597136384,-0.013946017620481532,3.72,100.0
2023-05-29,2023-05-30,2023-06-29,executed,1115,300,0.4833333333333333,0.00024166666666666664,-0.008846515120741527,0.01076397083417513,-0.019989117813739687,3.723333333333333,100.0
2023-06-28,2023-06-29,2023-07-27,executed,1118,300,0.4966666666666667,0.00024833333333333337,0.03077103023782235,-0.004965546014291777,0.03553080245775275,3.6766666666666667,100.0
2023-07-26,2023-07-27,2023-08-24,executed,1116,300,0.4633333333333334,0.0002316666666666667,-0.04227714841819652,-0.047706175014412655,0.005227532800513357,3.74,100.0
2023-08-23,2023-08-24,2023-09-21,executed,1130,300,0.4966666666666667,0.00024833333333333337,0.002664654075163586,-0.010803994616016555,0.013047767460358406,3.77,100.0
2023-09-20,2023-09-21,2023-10-27,executed,1126,300,0.4833333333333333,0.00024166666666666664,-0.01588026464246517,-0.005763071772321271,-0.010497004835846813,3.8733333333333335,100.0
2023-10-26,2023-10-27,2023-11-24,executed,1118,300,0.4,0.0002,0.010274894987231109,0.036241874888854886,-0.025723428531782222,3.736666666666667,100.0
2023-11-23,2023-11-24,2023-12-22,executed,1116,300,0.42333333333333334,0.00021166666666666667,-0.05131350276483204,-0.058251059689974904,0.00682078006860154,3.736666666666667,100.0
2023-12-21,,,skipped_insufficient_future_dates,0,0,,,,,,,
