factor,registry_name,category,eligible,exclusion_reason,valid_rows,total_rows,coverage,missing_rate,min,max,mean,source_project,source_function,source_commit,license,required_fields
kunquant_alpha101_alpha001,alpha001,alpha101,True,,77100,89000,0.8662921348314607,0.13370786516853927,0.0030241935483870967,1.0,0.5011284046692606,kunquant_alpha101,alpha001,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,$close
kunquant_alpha101_alpha002,alpha002,alpha101,True,,89000,89000,1.0,0.0,-0.9986049069587399,0.9944023481655992,-0.11284608749127063,kunquant_alpha101,alpha002,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$open,$volume"
kunquant_alpha101_alpha003,alpha003,alpha101,True,,89000,89000,1.0,0.0,-0.9841195022223288,0.9710899936744101,-0.17463515735140017,kunquant_alpha101,alpha003,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$open,$volume"
kunquant_alpha101_alpha004,alpha004,alpha101,True,,83863,89000,0.9422808988764045,0.05771910112359546,-9.0,-1.0,-4.702157089538891,kunquant_alpha101,alpha004,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,$low
kunquant_alpha101_alpha005,alpha005,alpha101,True,,83295,89000,0.9358988764044944,0.06410112359550557,-1.0,-4.016048128320769e-06,-0.33468988456302146,kunquant_alpha101,alpha005,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$close,$open,$volume"
kunquant_alpha101_alpha006,alpha006,alpha101,True,,89000,89000,1.0,0.0,-0.9967388781870672,0.9787572956025068,-0.2296040047802988,kunquant_alpha101,alpha006,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$open,$volume"
kunquant_alpha101_alpha007,alpha007,alpha101,True,,66054,89000,0.7421797752808988,0.25782022471910115,-60.0,60.0,-6.0900702455566655,kunquant_alpha101,alpha007,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$volume"
kunquant_alpha101_alpha008,alpha008,alpha101,True,,80252,89000,0.9017078651685393,0.09829213483146071,-1.0,-0.002004008016032064,-0.501015551014305,kunquant_alpha101,alpha008,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$open"
kunquant_alpha101_alpha009,alpha009,alpha101,True,,87862,89000,0.9872134831460674,0.012786516853932617,-30.10888671875,35.817169189453125,-0.00572143355384469,kunquant_alpha101,alpha009,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,$close
kunquant_alpha101_alpha010,alpha010,alpha101,True,,87862,89000,0.9872134831460674,0.012786516853932617,-30.10888671875,35.817169189453125,-0.0043167127296328545,kunquant_alpha101,alpha010,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,$close
kunquant_alpha101_alpha011,alpha011,alpha101,True,,86712,89000,0.9742921348314607,0.02570786516853929,0.00014919114207835357,2.0,0.5004267835777776,kunquant_alpha101,alpha011,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$amount,$close,$volume"
kunquant_alpha101_alpha012,alpha012,alpha101,True,,87862,89000,0.9872134831460674,0.012786516853932617,-30.10888671875,35.817169189453125,-0.021063096821308136,kunquant_alpha101,alpha012,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,"$close,$volume"
