outer_split_id,left_factor,right_factor,performance_correlation
split_001,alpha158_KLOW,alpha158_BETA5,0.06556481272262299
split_001,alpha158_KUP,alpha158_BETA5,0.18459454975242595
split_001,alpha158_LOW0,alpha158_BETA5,-0.27973763289029197
split_001,alpha158_MA10,alpha158_BETA5,-0.8678080563353251
split_001,alpha158_BETA10,alpha158_CNTD30,0.5521869688643437
split_001,alpha158_BETA20,alpha158_CNTD30,0.7593696316851895
split_001,alpha158_BETA30,alpha158_CNTD30,0.8679590962052941
split_001,alpha158_BETA5,alpha158_CNTD30,0.3362654902979332
split_001,alpha158_CNTD30,alpha158_CNTD30,1.0
split_001,alpha158_CNTP20,alpha158_CNTD30,0.8567813953189166
split_001,alpha158_CNTP30,alpha158_CNTD30,0.9782934129730249
split_001,alpha158_CORD10,alpha158_CNTD30,0.5441744578848039
split_001,alpha158_CORD20,alpha158_CNTD30,0.6866498713547727
split_001,alpha158_CORD30,alpha158_CNTD30,0.7141132887477575
split_001,alpha158_CORD5,alpha158_CNTD30,0.3911957023729208
split_001,alpha158_CORD60,alpha158_CNTD30,0.5109803171059957
split_001,alpha158_CORR10,alpha158_CNTD30,0.5763614964392384
split_001,alpha158_CORR20,alpha158_CNTD30,0.570782670647579
split_001,alpha158_CORR5,alpha158_CNTD30,0.42219045068849786
split_001,alpha158_HIGH0,alpha158_CNTD30,0.12483261646353346
split_001,alpha158_IMAX20,alpha158_CNTD30,0.8110321558120329
split_001,alpha158_IMAX30,alpha158_CNTD30,0.902563389168498
split_001,alpha158_IMIN20,alpha158_CNTD30,-0.7107813518966293
split_001,alpha158_IMXD20,alpha158_CNTD30,0.7984132906508331
split_001,alpha158_KLEN,alpha158_CNTD30,0.2804409131224565
split_001,alpha158_KLOW,alpha158_CNTD30,0.18696717569917254
split_001,alpha158_KUP,alpha158_CNTD30,0.28500791920666946
split_001,alpha158_LOW0,alpha158_CNTD30,-0.28852161317550135
split_001,alpha158_MA10,alpha158_CNTD30,-0.4603579979966779
split_001,alpha158_BETA10,alpha158_CNTP20,0.6258121106903796
split_001,alpha158_BETA20,alpha158_CNTP20,0.8596423611753288
split_001,alpha158_BETA30,alpha158_CNTP20,0.8354790108188506
split_001,alpha158_BETA5,alpha158_CNTP20,0.4022480951151803
split_001,alpha158_CNTD30,alpha158_CNTP20,0.8567813953189166
split_001,alpha158_CNTP20,alpha158_CNTP20,1.0
split_001,alpha158_CNTP30,alpha158_CNTP20,0.8754353151318899
split_001,alpha158_CORD10,alpha158_CNTP20,0.6138511467906507
split_001,alpha158_CORD20,alpha158_CNTP20,0.7144731308514548
split_001,alpha158_CORD30,alpha158_CNTP20,0.6103292240303227
split_001,alpha158_CORD5,alpha158_CNTP20,0.4591593820418821
split_001,alpha158_CORD60,alpha158_CNTP20,0.461149972271385
split_001,alpha158_CORR10,alpha158_CNTP20,0.5850508858280644
split_001,alpha158_CORR20,alpha158_CNTP20,0.5094400320788849
split_001,alpha158_CORR5,alpha158_CNTP20,0.49086287858136707
split_001,alpha158_HIGH0,alpha158_CNTP20,0.19272794623570313
split_001,alpha158_IMAX20,alpha158_CNTP20,0.892348054828947
split_001,alpha158_IMAX30,alpha158_CNTP20,0.7872589091410079
split_001,alpha158_IMIN20,alpha158_CNTP20,-0.8026176938315961
split_001,alpha158_IMXD20,alpha158_CNTP20,0.8952273277361469
split_001,alpha158_KLEN,alpha158_CNTP20,0.398700923098861
split_001,alpha158_KLOW,alpha158_CNTP20,0.2951197637613136
split_001,alpha158_KUP,alpha158_CNTP20,0.3930140508625087
split_001,alpha158_LOW0,alpha158_CNTP20,-0.4082225997995606
split_001,alpha158_MA10,alpha158_CNTP20,-0.5502934890960471
split_001,alpha158_BETA10,alpha158_CNTP30,0.5233865738823519
split_001,alpha158_BETA20,alpha158_CNTP30,0.7557697364347568
split_001,alpha158_BETA30,alpha158_CNTP30,0.871248763335936
split_001,alpha158_BETA5,alpha158_CNTP30,0.30579041562902143
split_001,alpha158_CNTD30,alpha158_CNTP30,0.9782934129730249
split_001,alpha158_CNTP20,alpha158_CNTP30,0.8754353151318899
split_001,alpha158_CNTP30,alpha158_CNTP30,1.0
split_001,alpha158_CORD10,alpha158_CNTP30,0.5357352291182355
split_001,alpha158_CORD20,alpha158_CNTP30,0.696536643719864
split_001,alpha158_CORD30,alpha158_CNTP30,0.7251736422427022
split_001,alpha158_CORD5,alpha158_CNTP30,0.38159985933323204
split_001,alpha158_CORD60,alpha158_CNTP30,0.5181745592034744
split_001,alpha158_CORR10,alpha158_CNTP30,0.590093821624996
split_001,alpha158_CORR20,alpha158_CNTP30,0.5817046893121937
split_001,alpha158_CORR5,alpha158_CNTP30,0.43492505500826495
split_001,alpha158_HIGH0,alpha158_CNTP30,0.2455557690931416
split_001,alpha158_IMAX20,alpha158_CNTP30,0.8000897125900241
split_001,alpha158_IMAX30,alpha158_CNTP30,0.8875737475283472
split_001,alpha158_IMIN20,alpha158_CNTP30,-0.700295861239524
split_001,alpha158_IMXD20,alpha158_CNTP30,0.7879192763595397
split_001,alpha158_KLEN,alpha158_CNTP30,0.4215229000298327
split_001,alpha158_KLOW,alpha158_CNTP30,0.29266423341034087
split_001,alpha158_KUP,alpha158_CNTP30,0.38853078010283576
split_001,alpha158_LOW0,alpha158_CNTP30,-0.3712452520275126
split_001,alpha158_MA10,alpha158_CNTP30,-0.4262957867247346
split_001,alpha158_BETA10,alpha158_CORD10,0.6895172165348854
split_001,alpha158_BETA20,alpha158_CORD10,0.6401993082990445
split_001,alpha158_BETA30,alpha158_CORD10,0.5354116258617783
split_001,alpha158_BETA5,alpha158_CORD10,0.38491844785157514
split_001,alpha158_CNTD30,alpha158_CORD10,0.5441744578848039
split_001,alpha158_CNTP20,alpha158_CORD10,0.6138511467906507
split_001,alpha158_CNTP30,alpha158_CORD10,0.5357352291182355
split_001,alpha158_CORD10,alpha158_CORD10,1.0
split_001,alpha158_CORD20,alpha158_CORD10,0.792054177076624
split_001,alpha158_CORD30,alpha158_CORD10,0.6590211276231953
split_001,alpha158_CORD5,alpha158_CORD10,0.7371520018612615
split_001,alpha158_CORD60,alpha158_CORD10,0.495520669410848
split_001,alpha158_CORR10,alpha158_CORD10,0.7950525932352901
split_001,alpha158_CORR20,alpha158_CORD10,0.6275494310474179
split_001,alpha158_CORR5,alpha158_CORD10,0.7342877659313558
split_001,alpha158_HIGH0,alpha158_CORD10,0.1684013870472389
split_001,alpha158_IMAX20,alpha158_CORD10,0.663185271374554
split_001,alpha158_IMAX30,alpha158_CORD10,0.5602056447365352
split_001,alpha158_IMIN20,alpha158_CORD10,-0.6360517025423214
split_001,alpha158_IMXD20,alpha158_CORD10,0.686504299476547
split_001,alpha158_KLEN,alpha158_CORD10,0.27638277872082767
split_001,alpha158_KLOW,alpha158_CORD10,0.11004534412564802
split_001,alpha158_KUP,alpha158_CORD10,0.3008052689997301
split_001,alpha158_LOW0,alpha158_CORD10,-0.2282785502209578
split_001,alpha158_MA10,alpha158_CORD10,-0.5605574724797852
split_001,alpha158_BETA10,alpha158_CORD20,0.48110693595989923
split_001,alpha158_BETA20,alpha158_CORD20,0.6942664354027805
