outer_split_id,left_factor,right_factor,distance
split_001,alpha158_CORD30,alpha158_BETA5,0.8668207198674837
split_001,alpha158_CORD5,alpha158_BETA5,0.39037279212471976
split_001,alpha158_CORD60,alpha158_BETA5,0.9026448061328312
split_001,alpha158_CORR10,alpha158_BETA5,0.7654661219311177
split_001,alpha158_CORR20,alpha158_BETA5,0.8657007875989282
split_001,alpha158_CORR5,alpha158_BETA5,0.6136385628804721
split_001,alpha158_HIGH0,alpha158_BETA5,0.8925183442732812
split_001,alpha158_IMAX20,alpha158_BETA5,0.7478301481727484
split_001,alpha158_IMAX30,alpha158_BETA5,0.8207453422569921
split_001,alpha158_IMIN20,alpha158_BETA5,0.760291734365546
split_001,alpha158_IMXD20,alpha158_BETA5,0.7223266868063908
split_001,alpha158_KLEN,alpha158_BETA5,0.8545368408684789
split_001,alpha158_KLOW,alpha158_BETA5,0.9337566229029648
split_001,alpha158_KUP,alpha158_BETA5,0.8215138185854025
split_001,alpha158_LOW0,alpha158_BETA5,0.6916502091117089
split_001,alpha158_MA10,alpha158_BETA5,0.1583842167692383
split_001,alpha158_BETA10,alpha158_CNTD30,0.5584732176936129
split_001,alpha158_BETA20,alpha158_CNTD30,0.40583329711929594
split_001,alpha158_BETA30,alpha158_CNTD30,0.33179245196772644
split_001,alpha158_BETA5,alpha158_CNTD30,0.705833530981931
split_001,alpha158_CNTD30,alpha158_CNTD30,0.0
split_001,alpha158_CNTP20,alpha158_CNTD30,0.18678268548162147
split_001,alpha158_CNTP30,alpha158_CNTD30,0.0299448754336622
split_001,alpha158_CORD10,alpha158_CNTD30,0.6452677647619698
split_001,alpha158_CORD20,alpha158_CNTD30,0.583626339600184
split_001,alpha158_CORD30,alpha158_CNTD30,0.5633956468031847
split_001,alpha158_CORD5,alpha158_CNTD30,0.7284073345532814
split_001,alpha158_CORD60,alpha158_CNTD30,0.6878737006227169
split_001,alpha158_CORR10,alpha158_CNTD30,0.6268498228829218
split_001,alpha158_CORR20,alpha158_CNTD30,0.6496074566212526
split_001,alpha158_CORR5,alpha158_CNTD30,0.726004336935623
split_001,alpha158_HIGH0,alpha158_CNTD30,0.9369476360590171
split_001,alpha158_IMAX20,alpha158_CNTD30,0.4236955791688748
split_001,alpha158_IMAX30,alpha158_CNTD30,0.33840411985710794
split_001,alpha158_IMIN20,alpha158_CNTD30,0.4740811265989251
split_001,alpha158_IMXD20,alpha158_CNTD30,0.39302783394189744
split_001,alpha158_KLEN,alpha158_CNTD30,0.7887426535618629
split_001,alpha158_KLOW,alpha158_CNTD30,0.8552160430970679
split_001,alpha158_KUP,alpha158_CNTD30,0.8080350216530947
split_001,alpha158_LOW0,alpha158_CNTD30,0.7607138852062452
split_001,alpha158_MA10,alpha158_CNTD30,0.6075190739531002
split_001,alpha158_BETA10,alpha158_CNTP20,0.4887190339164418
split_001,alpha158_BETA20,alpha158_CNTP20,0.29318425314955976
split_001,alpha158_BETA30,alpha158_CNTP20,0.34677372833199127
split_001,alpha158_BETA5,alpha158_CNTP20,0.6523641248405146
split_001,alpha158_CNTD30,alpha158_CNTP20,0.18678268548162147
split_001,alpha158_CNTP20,alpha158_CNTP20,0.0
split_001,alpha158_CNTP30,alpha158_CNTP20,0.16068081037315418
split_001,alpha158_CORD10,alpha158_CNTP20,0.5893656667928037
split_001,alpha158_CORD20,alpha158_CNTP20,0.534914966428952
split_001,alpha158_CORD30,alpha158_CNTP20,0.6331683386562612
split_001,alpha158_CORD5,alpha158_CNTP20,0.6828579882311478
split_001,alpha158_CORD60,alpha158_CNTP20,0.7310349751285481
split_001,alpha158_CORR10,alpha158_CNTP20,0.610612880496136
split_001,alpha158_CORR20,alpha158_CNTP20,0.7031621573109087
split_001,alpha158_CORR5,alpha158_CNTP20,0.666556355432208
split_001,alpha158_HIGH0,alpha158_CNTP20,0.9009069039488592
split_001,alpha158_IMAX20,alpha158_CNTP20,0.3281089392583969
split_001,alpha158_IMAX30,alpha158_CNTP20,0.4069343111538466
split_001,alpha158_IMIN20,alpha158_CNTP20,0.387265735887524
split_001,alpha158_IMXD20,alpha158_CNTP20,0.28643081825184435
split_001,alpha158_KLEN,alpha158_CNTP20,0.6908853230519326
split_001,alpha158_KLOW,alpha158_CNTP20,0.8069482212411537
split_001,alpha158_KUP,alpha158_CNTP20,0.7192636332769138
split_001,alpha158_LOW0,alpha158_CNTP20,0.6591559937920846
split_001,alpha158_MA10,alpha158_CNTP20,0.5326529452289088
split_001,alpha158_BETA10,alpha158_CNTP30,0.5703313880681495
split_001,alpha158_BETA20,alpha158_CNTP30,0.40425286788293535
split_001,alpha158_BETA30,alpha158_CNTP30,0.3189913093630178
split_001,alpha158_BETA5,alpha158_CNTP30,0.7237268712078162
split_001,alpha158_CNTD30,alpha158_CNTP30,0.0299448754336622
split_001,alpha158_CNTP20,alpha158_CNTP30,0.16068081037315418
split_001,alpha158_CNTP30,alpha158_CNTP30,0.0
split_001,alpha158_CORD10,alpha158_CNTP30,0.6507045803426152
split_001,alpha158_CORD20,alpha158_CNTP30,0.5774598549384581
split_001,alpha158_CORD30,alpha158_CNTP30,0.5551525784029083
split_001,alpha158_CORD5,alpha158_CNTP30,0.7321784457655552
split_001,alpha158_CORD60,alpha158_CNTP30,0.6762511874410336
split_001,alpha158_CORR10,alpha158_CNTP30,0.6189037198971878
split_001,alpha158_CORR20,alpha158_CNTP30,0.6378103119329983
split_001,alpha158_CORR5,alpha158_CNTP30,0.7128409875068814
split_001,alpha158_HIGH0,alpha158_CNTP30,0.8555293217138388
split_001,alpha158_IMAX20,alpha158_CNTP30,0.4318910427943319
split_001,alpha158_IMAX30,alpha158_CNTP30,0.3445022401979986
split_001,alpha158_IMIN20,alpha158_CNTP30,0.49130325391101015
split_001,alpha158_IMXD20,alpha158_CNTP30,0.394109908164024
split_001,alpha158_KLEN,alpha158_CNTP30,0.6824450626531133
split_001,alpha158_KLOW,alpha158_CNTP30,0.8015442505400094
split_001,alpha158_KUP,alpha158_CNTP30,0.7397118120632664
split_001,alpha158_LOW0,alpha158_CNTP30,0.6992840621913312
split_001,alpha158_MA10,alpha158_CNTP30,0.6365145281137226
split_001,alpha158_BETA10,alpha158_CORD10,0.38826448839094385
split_001,alpha158_BETA20,alpha158_CORD10,0.45919945984091104
split_001,alpha158_BETA30,alpha158_CORD10,0.589923646835053
split_001,alpha158_BETA5,alpha158_CORD10,0.6464425002934591
split_001,alpha158_CNTD30,alpha158_CORD10,0.6452677647619698
split_001,alpha158_CNTP20,alpha158_CORD10,0.5893656667928037
split_001,alpha158_CNTP30,alpha158_CORD10,0.6507045803426152
split_001,alpha158_CORD10,alpha158_CORD10,0.0
split_001,alpha158_CORD20,alpha158_CORD10,0.2650367218160672
split_001,alpha158_CORD30,alpha158_CORD10,0.41903271456183455
split_001,alpha158_CORD5,alpha158_CORD10,0.28339090002831446
split_001,alpha158_CORD60,alpha158_CORD10,0.598796737209075
split_001,alpha158_CORR10,alpha158_CORD10,0.28462961029423506
split_001,alpha158_CORR20,alpha158_CORD10,0.5196395524573338
split_001,alpha158_CORR5,alpha158_CORD10,0.3421650733864581
split_001,alpha158_HIGH0,alpha158_CORD10,0.8810709613239462
split_001,alpha158_IMAX20,alpha158_CORD10,0.4791512971715266
split_001,alpha158_IMAX30,alpha158_CORD10,0.5804801933505674
split_001,alpha158_IMIN20,alpha158_CORD10,0.5182273785614814
split_001,alpha158_IMXD20,alpha158_CORD10,0.4344150201769027
split_001,alpha158_KLEN,alpha158_CORD10,0.7671460934284837
split_001,alpha158_KLOW,alpha158_CORD10,0.9028453227220306
split_001,alpha158_KUP,alpha158_CORD10,0.7874183083879119
split_001,alpha158_LOW0,alpha158_CORD10,0.8187315412221837
split_001,alpha158_MA10,alpha158_CORD10,0.5098892815400916
split_001,alpha158_BETA10,alpha158_CORD20,0.6073212394429046
split_001,alpha158_BETA20,alpha158_CORD20,0.41012103275851874
split_001,alpha158_BETA30,alpha158_CORD20,0.3876697552774687
split_001,alpha158_BETA5,alpha158_CORD20,0.8008903891647992
split_001,alpha158_CNTD30,alpha158_CORD20,0.583626339600184
split_001,alpha158_CNTP20,alpha158_CORD20,0.534914966428952
split_001,alpha158_CNTP30,alpha158_CORD20,0.5774598549384581
split_001,alpha158_CORD10,alpha158_CORD20,0.2650367218160672
split_001,alpha158_CORD20,alpha158_CORD20,0.0
split_001,alpha158_CORD30,alpha158_CORD20,0.15259952628914664
split_001,alpha158_CORD5,alpha158_CORD20,0.5114663221712447
split_001,alpha158_CORD60,alpha158_CORD20,0.41068420292958563
split_001,alpha158_CORR10,alpha158_CORD20,0.30365459197790834
split_001,alpha158_CORR20,alpha158_CORD20,0.3691737956320257
split_001,alpha158_CORR5,alpha158_CORD20,0.4771974052966097
split_001,alpha158_HIGH0,alpha158_CORD20,0.8731663693571111
split_001,alpha158_IMAX20,alpha158_CORD20,0.3955282980218333
split_001,alpha158_IMAX30,alpha158_CORD20,0.4190362349489186
split_001,alpha158_IMIN20,alpha158_CORD20,0.45773519112127603
split_001,alpha158_IMXD20,alpha158_CORD20,0.37100508560799594
split_001,alpha158_KLEN,alpha158_CORD20,0.7506848429680824
split_001,alpha158_KLOW,alpha158_CORD20,0.8903413871450152
split_001,alpha158_KUP,alpha158_CORD20,0.7590596903410649
split_001,alpha158_LOW0,alpha158_CORD20,0.8100488555894855
split_001,alpha158_MA10,alpha158_CORD20,0.6898322173731863
split_001,alpha158_BETA10,alpha158_CORD30,0.6962068252619324
split_001,alpha158_BETA20,alpha158_CORD30,0.5312751783829608
split_001,alpha158_BETA30,alpha158_CORD30,0.4202574039658198
split_001,alpha158_BETA5,alpha158_CORD30,0.8668207198674837
split_001,alpha158_CNTD30,alpha158_CORD30,0.5633956468031847
split_001,alpha158_CNTP20,alpha158_CORD30,0.6331683386562612
split_001,alpha158_CNTP30,alpha158_CORD30,0.5551525784029083
split_001,alpha158_CORD10,alpha158_CORD30,0.41903271456183455
split_001,alpha158_CORD20,alpha158_CORD30,0.15259952628914664
split_001,alpha158_CORD30,alpha158_CORD30,0.0
split_001,alpha158_CORD5,alpha158_CORD30,0.6197792486129126
split_001,alpha158_CORD60,alpha158_CORD30,0.28153271661968304
split_001,alpha158_CORR10,alpha158_CORD30,0.3774123122915205
split_001,alpha158_CORR20,alpha158_CORD30,0.3532866041677257
split_001,alpha158_CORR5,alpha158_CORD30,0.5543774039358911
split_001,alpha158_HIGH0,alpha158_CORD30,0.8486848050741678
split_001,alpha158_IMAX20,alpha158_CORD30,0.5188658127501596
split_001,alpha158_IMAX30,alpha158_CORD30,0.4033848747216251
split_001,alpha158_IMIN20,alpha158_CORD30,0.5900393235459507
split_001,alpha158_IMXD20,alpha158_CORD30,0.5223783716278567
split_001,alpha158_KLEN,alpha158_CORD30,0.7672056405225237
split_001,alpha158_KLOW,alpha158_CORD30,0.8786373478897276
split_001,alpha158_KUP,alpha158_CORD30,0.7665219685889614
split_001,alpha158_LOW0,alpha158_CORD30,0.8331540520879801
split_001,alpha158_MA10,alpha158_CORD30,0.7599481250986613
split_001,alpha158_BETA10,alpha158_CORD5,0.40854444859123173
split_001,alpha158_BETA20,alpha158_CORD5,0.7020210420939332
split_001,alpha158_BETA30,alpha158_CORD5,0.7766062616885969
split_001,alpha158_BETA5,alpha158_CORD5,0.39037279212471976
split_001,alpha158_CNTD30,alpha158_CORD5,0.7284073345532814
split_001,alpha158_CNTP20,alpha158_CORD5,0.6828579882311478
split_001,alpha158_CNTP30,alpha158_CORD5,0.7321784457655552
split_001,alpha158_CORD10,alpha158_CORD5,0.28339090002831446
split_001,alpha158_CORD20,alpha158_CORD5,0.5114663221712447
split_001,alpha158_CORD30,alpha158_CORD5,0.6197792486129126
split_001,alpha158_CORD5,alpha158_CORD5,0.0
split_001,alpha158_CORD60,alpha158_CORD5,0.7487080777162135
split_001,alpha158_CORR10,alpha158_CORD5,0.5113829616576491
split_001,alpha158_CORR20,alpha158_CORD5,0.6967069469840477
split_001,alpha158_CORR5,alpha158_CORD5,0.2912348769076727
split_001,alpha158_HIGH0,alpha158_CORD5,0.9694941673868607
split_001,alpha158_IMAX20,alpha158_CORD5,0.6627771438704233
split_001,alpha158_IMAX30,alpha158_CORD5,0.7446051318156552
split_001,alpha158_IMIN20,alpha158_CORD5,0.6702818401294878
split_001,alpha158_IMXD20,alpha158_CORD5,0.6413598541264532
split_001,alpha158_KLEN,alpha158_CORD5,0.79004315186359
split_001,alpha158_KLOW,alpha158_CORD5,0.9239480343912257
split_001,alpha158_KUP,alpha158_CORD5,0.801883746870309
split_001,alpha158_LOW0,alpha158_CORD5,0.7568204177144782
split_001,alpha158_MA10,alpha158_CORD5,0.3510888652551003
split_001,alpha158_BETA10,alpha158_CORD60,0.829209344089402
split_001,alpha158_BETA20,alpha158_CORD60,0.7320642720070458
split_001,alpha158_BETA30,alpha158_CORD60,0.6602392451737362
split_001,alpha158_BETA5,alpha158_CORD60,0.9026448061328312
split_001,alpha158_CNTD30,alpha158_CORD60,0.6878737006227169
split_001,alpha158_CNTP20,alpha158_CORD60,0.7310349751285481
split_001,alpha158_CNTP30,alpha158_CORD60,0.6762511874410336
split_001,alpha158_CORD10,alpha158_CORD60,0.598796737209075
split_001,alpha158_CORD20,alpha158_CORD60,0.41068420292958563
split_001,alpha158_CORD30,alpha158_CORD60,0.28153271661968304
split_001,alpha158_CORD5,alpha158_CORD60,0.7487080777162135
split_001,alpha158_CORD60,alpha158_CORD60,0.0
split_001,alpha158_CORR10,alpha158_CORD60,0.48077021981379264
split_001,alpha158_CORR20,alpha158_CORD60,0.39078528881918895
split_001,alpha158_CORR5,alpha158_CORD60,0.6314500458874218
split_001,alpha158_HIGH0,alpha158_CORD60,0.8628002675701498
split_001,alpha158_IMAX20,alpha158_CORD60,0.6999824749951213
split_001,alpha158_IMAX30,alpha158_CORD60,0.6405136286354666
split_001,alpha158_IMIN20,alpha158_CORD60,0.7668229243881168
split_001,alpha158_IMXD20,alpha158_CORD60,0.7221613998816293
split_001,alpha158_KLEN,alpha158_CORD60,0.8133010855706682
split_001,alpha158_KLOW,alpha158_CORD60,0.9080937017806391
split_001,alpha158_KUP,alpha158_CORD60,0.8164050394873358
split_001,alpha158_LOW0,alpha158_CORD60,0.8640527454191143
split_001,alpha158_MA10,alpha158_CORD60,0.8723385528261389
split_001,alpha158_BETA10,alpha158_CORR10,0.6311794551431269
split_001,alpha158_BETA20,alpha158_CORR10,0.5753489752408065
split_001,alpha158_BETA30,alpha158_CORR10,0.6113165614502536
split_001,alpha158_BETA5,alpha158_CORR10,0.7654661219311177
split_001,alpha158_CNTD30,alpha158_CORR10,0.6268498228829218
split_001,alpha158_CNTP20,alpha158_CORR10,0.610612880496136
split_001,alpha158_CNTP30,alpha158_CORR10,0.6189037198971878
split_001,alpha158_CORD10,alpha158_CORR10,0.28462961029423506
split_001,alpha158_CORD20,alpha158_CORR10,0.30365459197790834
split_001,alpha158_CORD30,alpha158_CORR10,0.3774123122915205
split_001,alpha158_CORD5,alpha158_CORR10,0.5113829616576491
split_001,alpha158_CORD60,alpha158_CORR10,0.48077021981379264
split_001,alpha158_CORR10,alpha158_CORR10,0.0
split_001,alpha158_CORR20,alpha158_CORR10,0.28812520472942116
split_001,alpha158_CORR5,alpha158_CORR10,0.3397869044633237
split_001,alpha158_HIGH0,alpha158_CORR10,0.8340353583141886
split_001,alpha158_IMAX20,alpha158_CORR10,0.5255213445449416
split_001,alpha158_IMAX30,alpha158_CORR10,0.5708807442385075
split_001,alpha158_IMIN20,alpha158_CORR10,0.621889436657324
split_001,alpha158_IMXD20,alpha158_CORR10,0.5113728870084059
split_001,alpha158_KLEN,alpha158_CORR10,0.7640322010883787
split_001,alpha158_KLOW,alpha158_CORR10,0.9136496890191179
split_001,alpha158_KUP,alpha158_CORR10,0.7725913731160055
split_001,alpha158_LOW0,alpha158_CORR10,0.8269076678355703
split_001,alpha158_MA10,alpha158_CORR10,0.6848537782628106
split_001,alpha158_BETA10,alpha158_CORR20,0.7642361813096183
split_001,alpha158_BETA20,alpha158_CORR20,0.7090585743576027
split_001,alpha158_BETA30,alpha158_CORR20,0.6588885460505208
split_001,alpha158_BETA5,alpha158_CORR20,0.8657007875989282
split_001,alpha158_CNTD30,alpha158_CORR20,0.6496074566212526
split_001,alpha158_CNTP20,alpha158_CORR20,0.7031621573109087
split_001,alpha158_CNTP30,alpha158_CORR20,0.6378103119329983
split_001,alpha158_CORD10,alpha158_CORR20,0.5196395524573338
split_001,alpha158_CORD20,alpha158_CORR20,0.3691737956320257
split_001,alpha158_CORD30,alpha158_CORR20,0.3532866041677257
split_001,alpha158_CORD5,alpha158_CORR20,0.6967069469840477
split_001,alpha158_CORD60,alpha158_CORR20,0.39078528881918895
split_001,alpha158_CORR10,alpha158_CORR20,0.28812520472942116
