outer_split_id,factor,cluster_id
split_001,alpha158_BETA10,cluster_001
split_001,alpha158_BETA20,cluster_005
split_001,alpha158_BETA30,cluster_005
split_001,alpha158_BETA5,cluster_001
split_001,alpha158_CNTD30,cluster_004
split_001,alpha158_CNTP20,cluster_004
split_001,alpha158_CNTP30,cluster_004
split_001,alpha158_CORD10,cluster_002
split_001,alpha158_CORD20,cluster_008
split_001,alpha158_CORD30,cluster_008
split_001,alpha158_CORD5,cluster_002
split_001,alpha158_CORD60,cluster_009
split_001,alpha158_CORR10,cluster_007
split_001,alpha158_CORR20,cluster_007
split_001,alpha158_CORR5,cluster_003
split_001,alpha158_HIGH0,cluster_010
split_001,alpha158_IMAX20,cluster_005
split_001,alpha158_IMAX30,cluster_005
split_001,alpha158_IMIN20,cluster_006
split_001,alpha158_IMXD20,cluster_005
split_001,alpha158_KLEN,cluster_012
split_001,alpha158_KLOW,cluster_014
split_001,alpha158_KUP,cluster_011
split_001,alpha158_LOW0,cluster_013
split_001,alpha158_MA10,cluster_001
