datetime,count,ic,rank_ic
2017-01-03,404,-0.09164447605700271,-0.058590013466196834
2017-01-04,406,-0.04740555581332012,-0.09337851982983963
2017-01-05,405,-0.06000566387482356,-0.10370778790041402
2017-01-06,405,0.05225939826256182,0.14411733362991944
2017-01-09,404,0.009438572692101157,0.03204513296528571
2017-01-10,405,0.07011727752441903,0.09583557104575649
2017-01-11,407,0.10434853867247498,0.010209119547854747
2017-01-12,409,-0.012725616187678467,-0.06297562378759124
2017-01-13,410,0.053748039217825394,0.03581143322184107
2017-01-16,411,-0.12500196993599885,-0.20690909267759136
2017-01-17,410,0.09583807374221703,0.12113116667517637
2017-01-18,410,0.13004827053137516,0.20680609379577278
2017-01-19,409,-0.0012870868106153433,0.07097175932154481
2017-01-20,410,-0.15425677611902489,-0.15258162366933495
2017-01-23,409,0.09013475051357761,0.1386727588574008
2017-01-24,412,-0.06867797962739366,0.06902272045204329
2017-01-25,413,-0.15907814851445373,0.0025396515002246807
2017-01-26,413,-0.09812568423247013,0.024517099092134037
2017-02-03,414,-0.04115291573074013,0.0013710646429981495
2017-02-06,452,0.037298248658786136,0.05222773131438648
2017-02-07,453,0.049351846270338985,0.12632583537343367
2017-02-08,452,-0.025673557271151913,0.08405963699369434
2017-02-09,454,0.06066948446330189,0.09469968732295284
2017-02-10,454,-0.3157098868064607,-0.19698115414093706
2017-02-13,455,0.30310142531491985,0.21656021378895046
2017-02-14,455,-0.1417234782809138,-0.11187093733585574
2017-02-15,454,0.05680026827441439,0.07269892864255749
2017-02-16,449,-0.022179411751827922,-0.04384136960532939
2017-02-17,449,0.10367939329571639,0.1822529881807074
2017-02-20,448,-0.047540487614565016,-0.04358505655458726
2017-02-21,447,0.06372235078125366,0.06637194420194821
2017-02-22,448,0.17858373484801024,0.1858596525081893
2017-02-23,448,0.031798211603723855,0.07437783360283617
2017-02-24,448,-0.04442196558646768,-0.04090220330701629
2017-02-27,450,-0.1320246825435493,0.010695527751916348
2017-02-28,451,0.1510775735075348,0.1302860596357639
2017-03-01,453,0.1130237463659879,0.05787870582816808
2017-03-02,451,0.12809692651314897,0.130182860775791
2017-03-03,451,0.15934922569898788,0.1506025416764468
2017-03-06,451,-0.12167572442601236,-0.03978240868393462
2017-03-07,451,0.06932008544379349,0.05156344963808484
2017-03-08,452,-0.16950202667819061,-0.04098446799015991
2017-03-09,451,-0.02614002261487144,-0.09020897010395831
2017-03-10,451,-0.15656564220480565,-0.07122404175946481
2017-03-13,451,-0.08088336016253743,-0.14235724073254408
2017-03-14,450,0.038503888660463614,0.005276024184041874
2017-03-15,451,0.05954652747248583,0.18406859670330875
2017-03-16,453,-0.22349989834494582,-0.04297637999097457
2017-03-17,453,0.15700777337835253,0.05213955699715571
2017-03-20,453,-0.08103711202562977,-0.029929333661289505
2017-03-21,456,-0.12703277824250622,-0.0077025835851933944
2017-03-22,457,-0.012101173810544584,0.02147450223689027
2017-03-23,458,0.05974077031561425,0.1204198782254065
2017-03-24,459,-0.07806166474967913,0.06560385402903256
2017-03-27,460,-0.10995447233156642,-0.07817476611569582
2017-03-28,460,0.04205407234403712,0.10561234970600361
2017-03-29,458,0.19525847284939665,0.1136307591157168
2017-03-30,456,-0.0345542260269041,-0.013341973432423014
2017-03-31,456,0.1028024800028001,0.09583494796223518
2017-04-05,455,0.031027041698901362,0.003102013523435656
2017-04-06,452,-0.1583989800613213,-0.15961953369825693
2017-04-07,451,-0.1103351101414766,0.024665086100052545
2017-04-10,451,0.22870564859730136,0.26365911381642176
2017-04-11,445,-0.14045117408590357,-0.0391689397666238
2017-04-12,444,0.17493681395025396,0.13713926828017806
2017-04-13,442,0.1044278376645896,0.03119788450484315
2017-04-14,442,-0.050388286914946616,-0.018968696346184522
2017-04-17,441,0.09219117265934994,0.030347511092163236
2017-04-18,441,-0.13890533323481336,-0.22828457380701944
2017-04-19,439,0.2520781432901329,0.1156470640075493
2017-04-20,437,0.12853334339315328,-0.021136205112210878
2017-04-21,437,-0.12264650642569136,-0.12728330895822712
2017-04-24,435,-0.08651018444241622,0.014938500076315087
2017-04-25,436,-0.06451943708078095,-0.057959121033063755
2017-04-26,434,-0.008629406460025864,0.011508656966055547
2017-04-27,434,-0.18400935884579456,-0.10189484428041407
2017-04-28,433,0.09708898900275867,-0.001658659641742993
2017-05-02,431,-0.022730930581591844,0.1115038260456377
2017-05-03,432,0.1642331115879016,0.18954547903757715
2017-05-04,434,0.39577465489770475,0.23892540643329463
2017-05-05,435,-0.0412501083115207,-0.048022986609767136
2017-05-08,434,0.12683384818140905,0.039410532373098266
2017-05-09,434,-0.26500695385458556,-0.17245777524053701
2017-05-10,431,-0.09632822030392206,-0.10501445659770085
2017-05-11,434,0.05706325760362916,0.05481851305647294
2017-05-12,434,-0.14860568859487064,-0.01841087415650648
2017-05-15,437,-0.10971672760213133,0.08697461932034854
2017-05-16,441,0.23123088305596154,0.10708404432366897
2017-05-17,442,0.005110420928454726,0.11525072911648694
2017-05-18,444,0.18917622955320568,0.06788063830909359
2017-05-19,445,0.07924670301795525,0.05702395522502717
2017-05-22,445,-0.2822752242059288,-0.26283326821277664
2017-05-23,444,0.09133988325963428,0.07156270833285994
2017-05-24,444,0.09123283096983627,0.11500893992212023
2017-05-25,445,0.060865724737680475,-0.028708742735096066
2017-05-26,448,0.0679875944487123,-0.11277545074516597
2017-05-31,449,-0.08823031973731991,-0.03971844023625775
2017-06-01,450,0.12245570813333058,0.1446652848513482
2017-06-02,449,0.24283484246253856,0.14684072487975236
2017-06-05,450,-0.15541786098962557,0.017334143213875955
2017-06-06,449,-0.042106984620713446,-0.08430355411995634
2017-06-07,449,-0.0015290431979124504,0.022064414104997734
2017-06-08,451,-0.03953602673711477,0.0650764817706413
2017-06-09,451,-0.043521086793951724,-0.018358046062504407
2017-06-12,453,-0.009335458266083793,0.11583069494349703
2017-06-13,451,0.09434114091310543,0.24715350375859307
2017-06-14,450,-0.06830699502282687,-0.02662350687706614
2017-06-15,450,0.09090705569947753,0.003185254828563673
2017-06-16,450,-0.09473067904901626,0.04954680366697857
2017-06-19,453,0.056407829194570276,0.09523369406621969
2017-06-20,450,0.2555435912406969,0.16221069290289822
2017-06-21,451,-0.11922846795502058,-0.1077375061311824
2017-06-22,451,-0.017078373184857817,-0.013727092025650317
2017-06-23,452,0.13675186589335442,0.12599753977920583
2017-06-26,455,-0.0682229201111879,-0.13185281459051293
2017-06-27,455,-0.08359602773564419,-0.060164337063912006
2017-06-28,418,0.09081552765645717,0.08958326637152689
2017-06-29,417,-0.039015260372682756,0.04279572087573969
2017-06-30,418,0.03357483747398893,0.07311384251596535
2017-07-03,422,-0.02847573868485541,0.037637041041754395
2017-07-04,422,-0.06920357940089249,0.002282574846236737
2017-07-05,422,-0.22662227550839256,-0.10353488763048563
2017-07-06,422,-0.020232774350026725,0.060188524158099964
2017-07-07,422,0.15475500947453105,0.2740353120940783
2017-07-10,423,-0.2045095972208488,-0.18774276553314254
2017-07-11,425,0.06935789613479992,-0.04758962734685525
2017-07-12,426,0.001799921607986384,-0.0052433824134038055
2017-07-13,424,-0.005820113354405811,-0.042118530321649354
2017-07-14,423,-0.09856001289828105,-0.056830528836368965
2017-07-17,423,-0.16909127000918253,-0.15542578241805405
2017-07-18,423,-0.05280114966461831,0.09619565590232279
2017-07-19,422,-0.23728720762015937,-0.15348184307428323
2017-07-20,422,-0.030511740526524757,0.010645039290180304
2017-07-21,425,-0.17182241453017463,0.06407620532735883
2017-07-24,425,-0.17364264115610828,-0.10515209667796767
2017-07-25,426,0.19978380886955005,0.1883947290344299
2017-07-26,425,-0.2083995034432728,0.03905956798541708
2017-07-27,423,-0.10151875036961533,0.007628020971324714
2017-07-28,457,0.01730586765634579,0.04001749258267941
2017-07-31,458,-0.09753762838908277,-0.07077581896001876
2017-08-01,457,0.018597629912031864,0.0034707064541108553
2017-08-02,458,0.3154717335183753,0.2252407064814098
2017-08-03,459,-0.2774131880506841,-0.22328883142511924
2017-08-04,458,0.1417032706135895,0.13816565796583616
2017-08-07,457,-0.1507319886860282,-0.08557588508298539
2017-08-08,455,0.03755112616284477,0.11650003070220674
2017-08-09,456,0.3960962806822109,0.2945494399658948
2017-08-10,456,-0.13143692843884147,0.02329137595159976
2017-08-11,456,0.0006316643313554661,0.11396677539035456
2017-08-14,456,0.24506229172957103,0.08275294554583983
2017-08-15,455,-0.08121594981822176,-0.044641390096883705
2017-08-16,455,0.0660579708532732,0.05765002840833925
2017-08-17,454,-0.05574190491756553,-0.02406218732501041
2017-08-18,455,-0.12221351267633765,0.10641360321785547
2017-08-21,456,0.3575931506272881,0.31551243038474314
2017-08-22,456,-0.07401604901214295,-0.06321988916866664
2017-08-23,456,-0.1129224526284917,-0.11826667934797742
2017-08-24,456,-0.17637094795476646,-0.06743892754364333
2017-08-25,456,-0.05076863756576134,0.004819262775680118
2017-08-28,456,-0.1804572105472202,-0.10981394050436288
2017-08-29,458,-0.01800801707884291,-0.04502253608152531
2017-08-30,462,-0.22559867774348852,-0.24990150422953203
2017-08-31,462,0.0464723131908832,0.017799314814092426
2017-09-01,462,0.16900134994816907,0.20086903919208532
2017-09-04,462,-0.009545031834274952,-0.033650240707238675
2017-09-05,457,0.04637276320645271,0.31031150870516233
2017-09-06,458,-0.019667408397642056,0.0423323256191265
2017-09-07,461,-0.13052676647881795,-0.06647944549182945
2017-09-08,461,-0.01936927725631596,0.04511887073096244
2017-09-11,464,-0.05910459157126603,-0.03943704951928548
2017-09-12,465,0.09330442707562911,0.09226041823737584
2017-09-13,466,0.382303545339609,0.26320652809957507
2017-09-14,466,-0.005344950817011973,-0.07665298160645181
2017-09-15,467,0.023145091033409997,0.10884404798805868
2017-09-18,465,-0.031159945608012593,-0.09461878064617206
2017-09-19,463,0.1824356830582222,0.19296908565010834
2017-09-20,463,0.09693924957276824,0.034423422796414534
2017-09-21,466,0.1303950051537322,0.11397611528326662
2017-09-22,465,-0.13794386686069737,-0.1774413835657199
2017-09-25,464,-0.2619227833876978,-0.09325631533295205
2017-09-26,463,0.10742131211980968,0.11035564152316463
2017-09-27,463,0.08503916596318378,0.07333997571509862
2017-09-28,461,0.018457961011996028,0.09303469820788737
2017-09-29,463,0.20539411661522172,0.24223522132060654
2017-10-09,463,0.29167154522502975,0.2864028008651752
2017-10-10,463,0.08406021767389774,-0.03651653741219977
2017-10-11,463,-0.019594553190522456,0.0024344600088557866
2017-10-12,463,-0.09395244973316885,0.005277944297886532
2017-10-13,462,0.23764956302011958,0.17062159281088765
2017-10-16,467,0.16349877537476196,0.05958431543603183
2017-10-17,468,-0.0947259479365191,0.012070633211579898
2017-10-18,468,-0.19264232268254927,-0.14091796468858642
2017-10-19,467,-0.002240558897328312,-0.007979848517635498
2017-10-20,466,-0.12461450175230794,-0.11222711264172454
2017-10-23,466,0.08221861808072653,0.011912427776346195
2017-10-24,467,-0.11115804768040932,0.008365464045708643
2017-10-25,466,0.10616646538698307,0.06934673772453416
2017-10-26,465,0.018582170321111424,0.12788143710075767
2017-10-27,465,-0.1329629646885315,-0.05885703825136644
2017-10-30,465,-0.09821177265033894,-0.0043117451679876555
2017-10-31,465,0.17918248539467285,0.03650588101925258
2017-11-01,466,-0.04424879661076675,-0.04621327326477026
2017-11-02,464,-0.11428876653036946,-0.2002144285447816
2017-11-03,464,-0.09682458047855554,0.011656529808084874
2017-11-06,466,0.07063148059332021,0.12484219385369479
2017-11-07,466,-0.09090501801914772,-0.10513203604377165
2017-11-08,466,-0.05779662594298571,0.00916194534904118
2017-11-09,467,-0.20859647909622453,-0.14761517958550907
2017-11-10,468,0.09721108191686598,0.05458049914873917
2017-11-13,469,0.22601461323626373,0.06515853184766297
2017-11-14,468,-0.06881955047520247,-0.08290185227690067
2017-11-15,467,0.02167307656207977,0.01380942163945772
2017-11-16,467,-0.18110594856619072,-0.0702156001331089
2017-11-17,465,-0.12065022966645153,-0.12552111270488067
2017-11-20,465,0.08440530307965717,0.14223217769982774
2017-11-21,463,0.16572554679802198,0.1593896380703679
2017-11-22,460,0.08915773097501362,0.05498102110257675
2017-11-23,458,0.35823589762408664,0.1856650550243572
2017-11-24,457,-0.28472150831621185,-0.2734568344972703
2017-11-27,457,-0.08531969593090748,-0.10002857848678814
2017-11-28,457,0.05651081484513696,0.15507221412008218
2017-11-29,457,0.0661341777957094,0.16736139509219364
2017-11-30,458,-0.1295577245091275,-0.12938604024581804
2017-12-01,458,0.16471824124851953,0.060880105216962965
2017-12-04,458,-0.2060805882348956,-0.12387940218955891
2017-12-05,456,0.23814562475958587,0.23504645888200484
2017-12-06,456,-0.06431117992639544,-0.10038779012944417
2017-12-07,457,-0.20183520251032966,-0.19052106214047174
2017-12-08,455,-0.1442980155425386,-0.017431730404331342
2017-12-11,455,-0.037003468634799794,0.00031112204066163855
2017-12-12,454,0.07126331922671142,0.14008572595413407
2017-12-13,454,0.2712309945479931,0.27516258254042264
2017-12-14,451,0.19064228995778779,0.016740342480493626
2017-12-15,450,-0.06986531790447283,-0.055639464028431763
2017-12-18,450,-0.08321918437165873,-0.02966600745502531
2017-12-19,449,-0.28842779952779785,-0.23329675374911757
2017-12-20,449,-0.15110590533080112,-0.10559828596670637
2017-12-21,448,-0.1777030879580839,-0.11635724382903294
2017-12-22,445,0.08987700803247335,0.043173371786341716
2017-12-25,446,0.14606533989550796,0.07461103558245898
2017-12-26,447,0.008998458863167628,-0.08554006308288747
2017-12-27,408,-0.012691742213962763,0.08531980104003213
2017-12-28,405,-0.2905148193916182,-0.21867334561107085
2017-12-29,418,0.05038152067908321,0.169526093713184
2018-01-02,419,-0.17642224984211652,-0.16623702942531401
2018-01-03,419,0.100181133867942,0.19289136683981695
2018-01-04,419,-0.0004968814590649042,-0.08374629003919189
2018-01-05,421,0.011494656392837383,0.028762364449489437
2018-01-08,421,-0.0037063212282689873,0.04829387330565938
2018-01-09,422,-0.07110793339322001,-0.010886995220576758
2018-01-10,421,0.07423953840104693,0.06556803499123624
2018-01-11,421,0.18260992414376168,0.07737930829300414
2018-01-12,425,-0.055086352354373314,-0.1111405344227339
2018-01-15,425,0.04321365429498806,0.08849859935587809
2018-01-16,422,-0.03019499216187931,-0.052792768644748286
