check_name,status,observed_value,required_value,severity,reason
candidate_feature_order_exact,pass,544ee7b8f7464d5fb43c3638dfdca7ac25f2cc654b951b4c9b817499bfdd3f71,544ee7b8f7464d5fb43c3638dfdca7ac25f2cc654b951b4c9b817499bfdd3f71,critical,
hyperparameter_search_absent,pass,False,False,critical,
training_endpoint_exact,pass,2026-05-11,2026-05-11,critical,
training_label_window_precedes_forward_boundary,pass,2026-05-11,<2026-06-09,critical,
model_binary_hash_valid,pass,c89972d27ec610cf7c2598d8ccb1ecd1c227c73d0b5dc51dcf11210b57245ee7,c89972d27ec610cf7c2598d8ccb1ecd1c227c73d0b5dc51dcf11210b57245ee7,critical,
preprocessing_hash_valid,pass,679765a462e79a3018db3ab77170a1bc60e3114816aff23b1d8fd38d2a2e37f2,679765a462e79a3018db3ab77170a1bc60e3114816aff23b1d8fd38d2a2e37f2,critical,
memory_budget_valid,pass,1860.2421875,4096,critical,
no_forward_evaluation_performed,pass,refit_only,no forward label evaluation,critical,
forward_waiting_fail_closed,pass,True,True,critical,
