stage,execution_class,execution_profile,outer_split_id,policy_id,fold,batch_index,structural_row_id,candidate_sha256,boosting_round,feature_count,train_rows,validation_rows,output_rows,wall_seconds,cpu_seconds,rss_before_mib,rss_after_mib,peak_rss_mib,execution_dtype,thread_count,cache_hit,dataset_identity_sha256,cache_key,input_date_count,cache_status,repeat
feature_loading,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,,,,,,,,2.6385697000005166,2.640625,164.07421875,169.1875,169.1875,float64,,,,,,,
projection_spool_cache_validation,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,,,,,,,,,0.00018259999887959566,0.0,167.05078125,167.05078125,167.05078125,float64,,False,,f8a814fd83170c15ec08b1ba87657b67124726ea1a539ec26247031182d6966b,,,
feature_projection,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,0.0,,,,,,,79996.0,2.7218331999993097,3.09375,167.05078125,378.5625,378.5625,float64,,,,,40.0,,
label_loading_and_join,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,0.0,,,,,,,79996.0,0.15897899999981746,0.171875,378.5625,408.38671875,408.38671875,float64,,,,,40.0,,
feature_spooling,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,0.0,,,,,,,79763.0,0.29634470000019064,0.265625,433.1015625,361.328125,433.1015625,float64,,,,,,,
feature_projection,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,1.0,,,,,,,79997.0,2.735376200000246,3.234375,361.328125,498.55859375,498.55859375,float64,,,,,40.0,,
label_loading_and_join,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,1.0,,,,,,,79997.0,0.17409219999899506,0.171875,498.55859375,503.66796875,503.66796875,float64,,,,,40.0,,
feature_spooling,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,1.0,,,,,,,79750.0,0.2857215999993059,0.296875,506.3984375,398.09375,506.3984375,float64,,,,,,,
feature_projection,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,2.0,,,,,,,79988.0,2.956524100000024,4.4375,398.09375,601.1953125,601.1953125,float64,,,,,40.0,,
label_loading_and_join,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,2.0,,,,,,,79988.0,0.1775833000010607,0.265625,601.1953125,606.28125,606.28125,float64,,,,,40.0,,
feature_spooling,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,2.0,,,,,,,79849.0,0.2851706000001286,0.296875,609.63671875,425.37109375,609.63671875,float64,,,,,,,
projection_spool_cache_publish,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,,,,,,,,239362.0,1.779999911377672e-05,0.0,354.51953125,354.51953125,354.51953125,float64,,False,,f8a814fd83170c15ec08b1ba87657b67124726ea1a539ec26247031182d6966b,,miss,
