workload_id,run_id,thread_count,repeat,wall_seconds,cpu_seconds,cpu_core_equivalent,peak_rss_mib,candidate_order_sha256,selected_candidate_sha256
split_001__strict_current_baseline,split_001__strict_current_baseline__1t__r0,1,0,11.72733960000005,15.8125,1.3483450244759632,641.72265625,5d5472498c0e2ea53a25faa92e87f899bcb1ef8fefe852380f3dbf9625c1c4a5,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc
split_001__strict_current_baseline,split_001__strict_current_baseline__1t__r1,1,1,11.766850399999385,16.421875,1.3956049785421645,646.62109375,5d5472498c0e2ea53a25faa92e87f899bcb1ef8fefe852380f3dbf9625c1c4a5,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc
split_001__strict_current_baseline,split_001__strict_current_baseline__2t__r0,2,0,7.087448000000222,17.578125,2.480176926871202,649.7734375,5d5472498c0e2ea53a25faa92e87f899bcb1ef8fefe852380f3dbf9625c1c4a5,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc
split_001__strict_current_baseline,split_001__strict_current_baseline__2t__r1,2,1,7.086154599999645,17.671875,2.493859645681578,655.25,5d5472498c0e2ea53a25faa92e87f899bcb1ef8fefe852380f3dbf9625c1c4a5,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc
split_001__strict_current_baseline,split_001__strict_current_baseline__4t__r0,4,0,4.604115300000558,19.96875,4.337152460104025,661.765625,5d5472498c0e2ea53a25faa92e87f899bcb1ef8fefe852380f3dbf9625c1c4a5,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc
split_001__strict_current_baseline,split_001__strict_current_baseline__4t__r1,4,1,4.6834352999994735,20.203125,4.313740599769206,669.4453125,5d5472498c0e2ea53a25faa92e87f899bcb1ef8fefe852380f3dbf9625c1c4a5,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc
split_001__strict_current_baseline,split_001__strict_current_baseline__8t__r0,8,0,3.678355100000772,26.875,7.306254907253071,723.34375,5d5472498c0e2ea53a25faa92e87f899bcb1ef8fefe852380f3dbf9625c1c4a5,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc
split_001__strict_current_baseline,split_001__strict_current_baseline__8t__r1,8,1,3.653782900000806,26.828125,7.342561321854696,730.94140625,5d5472498c0e2ea53a25faa92e87f899bcb1ef8fefe852380f3dbf9625c1c4a5,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc
split_001__current_plus_existing_conditional_signal,split_001__current_plus_existing_conditional_signal__1t__r0,1,0,19.34039870000015,27.8125,1.4380520500851817,1066.55078125,f518c456d4a3ee5c9bcde1dd98a226f121b9e6b538a869aa9f2b507e9f55d047,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6
split_001__current_plus_existing_conditional_signal,split_001__current_plus_existing_conditional_signal__1t__r1,1,1,19.45493279999937,28.75,1.4777743154168557,1074.51171875,f518c456d4a3ee5c9bcde1dd98a226f121b9e6b538a869aa9f2b507e9f55d047,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6
split_001__current_plus_existing_conditional_signal,split_001__current_plus_existing_conditional_signal__2t__r0,2,0,11.938617499999964,30.984375,2.595306784893652,1089.7734375,f518c456d4a3ee5c9bcde1dd98a226f121b9e6b538a869aa9f2b507e9f55d047,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6
split_001__current_plus_existing_conditional_signal,split_001__current_plus_existing_conditional_signal__2t__r1,2,1,11.603684799998518,30.59375,2.636554726133539,1099.08984375,f518c456d4a3ee5c9bcde1dd98a226f121b9e6b538a869aa9f2b507e9f55d047,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6
split_001__current_plus_existing_conditional_signal,split_001__current_plus_existing_conditional_signal__4t__r0,4,0,7.096520299999611,32.921875,4.639157447348077,1102.8828125,f518c456d4a3ee5c9bcde1dd98a226f121b9e6b538a869aa9f2b507e9f55d047,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6
split_001__current_plus_existing_conditional_signal,split_001__current_plus_existing_conditional_signal__4t__r1,4,1,7.1876254999988305,33.328125,4.636875557860579,1118.39453125,f518c456d4a3ee5c9bcde1dd98a226f121b9e6b538a869aa9f2b507e9f55d047,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6
split_001__current_plus_existing_conditional_signal,split_001__current_plus_existing_conditional_signal__8t__r0,8,0,5.884601499999917,45.328125,7.702836802118315,1126.19140625,f518c456d4a3ee5c9bcde1dd98a226f121b9e6b538a869aa9f2b507e9f55d047,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6
split_001__current_plus_existing_conditional_signal,split_001__current_plus_existing_conditional_signal__8t__r1,8,1,6.012545100000352,46.1875,7.681855060013985,1132.91015625,f518c456d4a3ee5c9bcde1dd98a226f121b9e6b538a869aa9f2b507e9f55d047,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6
split_001__broad_data_qualified,split_001__broad_data_qualified__1t__r0,1,0,103.80380580000019,163.015625,1.5704205037923542,3197.94140625,15d51bd26bbbad760472336ec4482452a12e05ab6d3f97c509a22a5303c7cddf,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a
split_001__broad_data_qualified,split_001__broad_data_qualified__1t__r1,1,1,101.4394515999993,161.03125,1.5874617563488593,3201.9375,15d51bd26bbbad760472336ec4482452a12e05ab6d3f97c509a22a5303c7cddf,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a
split_001__broad_data_qualified,split_001__broad_data_qualified__2t__r0,2,0,57.95622729999923,165.625,2.857760204829658,3206.05859375,15d51bd26bbbad760472336ec4482452a12e05ab6d3f97c509a22a5303c7cddf,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a
split_001__broad_data_qualified,split_001__broad_data_qualified__2t__r1,2,1,76.3004721999987,200.890625,2.6328883584550535,3208.6640625,15d51bd26bbbad760472336ec4482452a12e05ab6d3f97c509a22a5303c7cddf,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a
split_001__broad_data_qualified,split_001__broad_data_qualified__4t__r0,4,0,48.74883729999965,221.09375,4.535364579864587,3215.17578125,15d51bd26bbbad760472336ec4482452a12e05ab6d3f97c509a22a5303c7cddf,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a
split_001__broad_data_qualified,split_001__broad_data_qualified__4t__r1,4,1,48.91370899999856,222.484375,4.5485075564399855,3223.01953125,15d51bd26bbbad760472336ec4482452a12e05ab6d3f97c509a22a5303c7cddf,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a
split_001__broad_data_qualified,split_001__broad_data_qualified__8t__r0,8,0,34.80584980000094,257.03125,7.384714106304999,3227.6171875,15d51bd26bbbad760472336ec4482452a12e05ab6d3f97c509a22a5303c7cddf,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a
split_001__broad_data_qualified,split_001__broad_data_qualified__8t__r1,8,1,34.814938299999994,254.71875,7.3163636771402825,3241.42578125,15d51bd26bbbad760472336ec4482452a12e05ab6d3f97c509a22a5303c7cddf,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a
