outer_split_id,factor,factor_column,feature_order
split_001,kunquant_alpha101_alpha094,kunquant_alpha101_alpha094,40
split_001,ta_trend_mass_index,ta_trend_mass_index,41
split_001,ta_volatility_bbhi,ta_volatility_bbhi,42
split_001,ta_volume_cmf,ta_volume_cmf,43
split_001,ta_volume_sma_em,ta_volume_sma_em,44
split_002,alpha158_CNTP10,alpha158_CNTP10,0
split_002,alpha158_CNTP5,alpha158_CNTP5,1
split_002,alpha158_CORD10,alpha158_CORD10,2
split_002,alpha158_CORD20,alpha158_CORD20,3
split_002,alpha158_CORD5,alpha158_CORD5,4
split_002,alpha158_CORR5,alpha158_CORR5,5
split_002,alpha158_HIGH0,alpha158_HIGH0,6
split_002,alpha158_IMAX10,alpha158_IMAX10,7
split_002,alpha158_IMAX20,alpha158_IMAX20,8
split_002,alpha158_IMAX60,alpha158_IMAX60,9
split_002,alpha158_IMIN5,alpha158_IMIN5,10
split_002,alpha158_KLEN,alpha158_KLEN,11
split_002,alpha158_KLOW,alpha158_KLOW,12
split_002,alpha158_KUP,alpha158_KUP,13
split_002,alpha158_LOW0,alpha158_LOW0,14
split_002,alpha158_MIN10,alpha158_MIN10,15
split_002,alpha158_STD10,alpha158_STD10,16
split_002,alpha158_VMA60,alpha158_VMA60,17
split_002,alpha158_VSTD5,alpha158_VSTD5,18
split_002,alpha158_VSUMD20,alpha158_VSUMD20,19
split_002,alpha158_VSUMD60,alpha158_VSUMD60,20
split_002,alpha360_HIGH34,alpha360_HIGH34,21
split_002,alpha360_LOW1,alpha360_LOW1,22
split_002,amount_cv_20,amount_cv_20,23
split_002,kunquant_alpha101_alpha002,kunquant_alpha101_alpha002,24
split_002,kunquant_alpha101_alpha011,kunquant_alpha101_alpha011,25
split_002,kunquant_alpha101_alpha012,kunquant_alpha101_alpha012,26
split_002,kunquant_alpha101_alpha013,kunquant_alpha101_alpha013,27
split_002,kunquant_alpha101_alpha020,kunquant_alpha101_alpha020,28
split_002,kunquant_alpha101_alpha026,kunquant_alpha101_alpha026,29
split_002,kunquant_alpha101_alpha029,kunquant_alpha101_alpha029,30
split_002,kunquant_alpha101_alpha034,kunquant_alpha101_alpha034,31
split_002,kunquant_alpha101_alpha050,kunquant_alpha101_alpha050,32
split_002,kunquant_alpha101_alpha055,kunquant_alpha101_alpha055,33
split_002,kunquant_alpha101_alpha062,kunquant_alpha101_alpha062,34
split_002,kunquant_alpha101_alpha077,kunquant_alpha101_alpha077,35
split_002,kunquant_alpha101_alpha083,kunquant_alpha101_alpha083,36
split_002,kunquant_alpha101_alpha085,kunquant_alpha101_alpha085,37
split_002,kunquant_alpha101_alpha094,kunquant_alpha101_alpha094,38
split_002,ta_momentum_ao,ta_momentum_ao,39
split_002,ta_trend_dpo,ta_trend_dpo,40
split_002,ta_volatility_atr,ta_volatility_atr,41
split_002,ta_volatility_bbhi,ta_volatility_bbhi,42
split_002,ta_volume_cmf,ta_volume_cmf,43
split_002,ta_volume_em,ta_volume_em,44
split_002,ta_volume_sma_em,ta_volume_sma_em,45
split_003,alpha158_CORD10,alpha158_CORD10,0
split_003,alpha158_CORD20,alpha158_CORD20,1
split_003,alpha158_CORD5,alpha158_CORD5,2
split_003,alpha158_CORR10,alpha158_CORR10,3
split_003,alpha158_CORR20,alpha158_CORR20,4
split_003,alpha158_CORR5,alpha158_CORR5,5
split_003,alpha158_HIGH0,alpha158_HIGH0,6
split_003,alpha158_IMAX30,alpha158_IMAX30,7
split_003,alpha158_IMAX60,alpha158_IMAX60,8
split_003,alpha158_IMIN20,alpha158_IMIN20,9
split_003,alpha158_IMIN5,alpha158_IMIN5,10
split_003,alpha158_KLEN,alpha158_KLEN,11
split_003,alpha158_KLOW,alpha158_KLOW,12
split_003,alpha158_KMID,alpha158_KMID,13
split_003,alpha158_KUP,alpha158_KUP,14
split_003,alpha158_LOW0,alpha158_LOW0,15
split_003,alpha158_MAX5,alpha158_MAX5,16
split_003,alpha158_MIN10,alpha158_MIN10,17
split_003,alpha158_QTLD10,alpha158_QTLD10,18
split_003,alpha158_QTLD5,alpha158_QTLD5,19
split_003,alpha158_RSQR30,alpha158_RSQR30,20
split_003,alpha158_STD60,alpha158_STD60,21
split_003,alpha158_VMA60,alpha158_VMA60,22
split_003,alpha158_VSTD5,alpha158_VSTD5,23
split_003,alpha158_VSUMD20,alpha158_VSUMD20,24
split_003,alpha158_VSUMD60,alpha158_VSUMD60,25
split_003,alpha360_VOLUME12,alpha360_VOLUME12,26
split_003,alpha360_VOLUME38,alpha360_VOLUME38,27
split_003,amount_cv_20,amount_cv_20,28
split_003,amount_mean_20,amount_mean_20,29
split_003,corr_ret_amount_20,corr_ret_amount_20,30
split_003,kunquant_alpha101_alpha002,kunquant_alpha101_alpha002,31
split_003,kunquant_alpha101_alpha003,kunquant_alpha101_alpha003,32
split_003,kunquant_alpha101_alpha005,kunquant_alpha101_alpha005,33
split_003,kunquant_alpha101_alpha011,kunquant_alpha101_alpha011,34
split_003,kunquant_alpha101_alpha012,kunquant_alpha101_alpha012,35
split_003,kunquant_alpha101_alpha013,kunquant_alpha101_alpha013,36
split_003,kunquant_alpha101_alpha020,kunquant_alpha101_alpha020,37
split_003,kunquant_alpha101_alpha024,kunquant_alpha101_alpha024,38
split_003,kunquant_alpha101_alpha026,kunquant_alpha101_alpha026,39
split_003,kunquant_alpha101_alpha043,kunquant_alpha101_alpha043,40
split_003,kunquant_alpha101_alpha050,kunquant_alpha101_alpha050,41
split_003,kunquant_alpha101_alpha055,kunquant_alpha101_alpha055,42
split_003,kunquant_alpha101_alpha062,kunquant_alpha101_alpha062,43
split_003,kunquant_alpha101_alpha071,kunquant_alpha101_alpha071,44
split_003,kunquant_alpha101_alpha072,kunquant_alpha101_alpha072,45
split_003,kunquant_alpha101_alpha094,kunquant_alpha101_alpha094,46
split_003,ta_trend_adx_pos,ta_trend_adx_pos,47
split_003,ta_trend_dpo,ta_trend_dpo,48
split_003,ta_trend_mass_index,ta_trend_mass_index,49
split_003,ta_volatility_bbhi,ta_volatility_bbhi,50
split_003,ta_volume_em,ta_volume_em,51
