source_url,retrieved_at,http_status,content_type,content_length,raw_snapshot_path,raw_snapshot_sha256,download_status,download_error,parser_version
https://disc.static.szse.cn/download/disc/disk03/finalpage/2024-08-14/4e9bbfce-9b8e-4eca-9a30-8ec5b2dcff4b.PDF,2026-07-25T03:05:43.290583+00:00,200,application/pdf,345158,runtime/raw/89c9307c77c00bcff56a.pdf,0a6c0d2ed89b677eb0b16c55848679315f3d4f53bf466c975b42c494744b515a,pass,,manual_normalization_receipt_v2
https://disc.static.szse.cn/download/disc/disk03/finalpage/2024-08-23/44a13a70-2c82-4568-8492-ffdae2a26fb2.PDF,2026-07-25T03:05:43.342235+00:00,200,application/pdf,294881,runtime/raw/78ccf8a5bc55ac765d52.pdf,26ae7788a6ff6dae929498c3b834018ee8e2ce7b2a2de95e00b737ad3ab20283,pass,,manual_normalization_receipt_v2
https://www.sse.com.cn/disclosure/announcement/listing/stock/c/c_20250428_10777919.shtml,2026-07-25T03:05:46.010261+00:00,200,text/html,28444,runtime/raw/ca67d5160ed840e4d2cf.html,d7d88898d9780e30bd4d3fb9cecda3f4b8088c39edeb939ca1652ebb4efe0e53,pass,,manual_normalization_receipt_v2
https://www.sse.com.cn/disclosure/magin/announcement/ssereport/c/c_20250317_10775875.shtml,2026-07-25T03:05:46.172739+00:00,200,text/html,27396,runtime/raw/14e60e31e52dc5df7f06.html,599ec32facec4cff940f81db68263898566127918804ff03379ce81b2eed1c3d,pass,,manual_normalization_receipt_v2
https://disc.static.szse.cn/disc/disk03/finalpage/2024-07-05/4658dd68-8676-4445-a961-b79d8573c23d.PDF,2026-07-25T03:05:46.193031+00:00,200,application/pdf,250276,runtime/raw/2b897712a7e970287180.pdf,361ec219bc1d27e9064222876a52078cf383354662b41a91dec3131d54180106,pass,,manual_normalization_receipt_v2
https://disc.static.szse.cn/disc/disk03/finalpage/2025-07-15/3666aebd-b0f1-4232-ae96-579bf333e392.PDF,2026-07-25T03:05:46.213259+00:00,200,application/pdf,249172,runtime/raw/3695ed2c10377f9f5e35.pdf,60c6ca3494bfa54ea7cca27f5c7c463972a57dc849b5254e73e390be5498e239,pass,,manual_normalization_receipt_v2
https://disc.static.szse.cn/download/disc/disk03/finalpage/2025-07-11/e2dd9f40-2bb4-49a2-bcc2-1df8acf620fe.PDF,2026-07-25T03:05:46.233676+00:00,200,application/pdf,276804,runtime/raw/7f5a7f4cc888296a0c7f.pdf,159214c9c1de701c1a4011066c034eae6865de70de5a43fa5c60ec0c6aed8c53,pass,,manual_normalization_receipt_v2
https://big5.sse.com.cn/site/cht/www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-01/603003_20250401_9896.pdf,2026-07-25T03:05:48.624116+00:00,200,application/pdf,264485,runtime/raw/fd12354c972b8119c347.pdf,673c20d4f2166de33552b4e7abd7c7e311dbe0c079013382f939c75a045a0e77,pass,,manual_normalization_receipt_v2
https://disc.static.szse.cn/download/disc/disk03/finalpage/2025-05-28/6f1d2aa7-c851-48bb-bb68-40ee8722152a.PDF,2026-07-25T03:05:48.644489+00:00,200,application/pdf,235223,runtime/raw/74490a1ffd67b158a248.pdf,9c5b93af940cbc8a0450cca8c3f3b6aabe8593382cd1820fbd8adcc237784867,pass,,manual_normalization_receipt_v2
https://disc.static.szse.cn/download/disc/disk03/finalpage/2025-09-06/a4685008-5b54-4175-ab30-78b0f96ad5d8.PDF,2026-07-25T03:05:48.694587+00:00,200,application/pdf,162298,runtime/raw/c035d53309136d5f1b0c.pdf,b85aa1d5e42d4e6215595e1977cf69d8e0bc3db778855e49c05946bf23d21b15,pass,,manual_normalization_receipt_v2
https://www.sse.com.cn/disclosure/announcement/general/mainsuspension/c/c_20250409_10776957.shtml,2026-07-25T03:05:48.855792+00:00,200,text/html,27619,runtime/raw/6958fdb5e8162382e2c9.html,8f7ef70eac3a337bedcf0deeb3247ab4aab95c59986703f23f781556d9c128f2,pass,,manual_normalization_receipt_v2
https://www.sse.com.cn/disclosure/announcement/general/mainsuspension/c/c_20250630_10783427.shtml,2026-07-25T03:05:49.018039+00:00,200,text/html,27616,runtime/raw/685493d60a161a1603bb.html,ded3d0be48d32c4cd7710e9aeae685976b9907a01e8d0883610aecf046197395,pass,,manual_normalization_receipt_v2
https://www.szse.cn/disclosure/notice/temp/t20250306_612207.html,2026-07-25T03:05:50.409565+00:00,200,text/html,13146,runtime/raw/b568afa3b3e02fc70496.html,a25dfae812ccd8bf37a1922e9951b37329aa00342882a5f5ca78fce74d74480a,pass,,manual_normalization_receipt_v2
