outer_split_id,factor,development_row_count,development_date_count,valid_count,coverage,finite_dates,qualified_date_fraction,unique_values,split_local_eligible,eligibility_scope
split_002,mature_dividend_yield_ttm,1769818,885,1289367,0.7285308432844507,885,1.0,77707,True,development_only_train_plus_validation
split_002,mature_gross_profitability,1769818,885,1696404,0.9585188985534105,885,1.0,31799,True,development_only_train_plus_validation
split_002,mature_operating_profitability,1769818,885,1769816,0.999998869940299,885,1.0,33154,True,development_only_train_plus_validation
split_002,mature_return_on_assets,1769818,885,1769816,0.999998869940299,885,1.0,33154,True,development_only_train_plus_validation
split_002,mature_gross_margin,1769818,885,1696404,0.9585188985534105,885,1.0,31782,True,development_only_train_plus_validation
split_002,mature_net_margin,1769818,885,1769723,0.9999463221642,885,1.0,33143,True,development_only_train_plus_validation
split_002,mature_cashflow_quality,1769818,885,1769816,0.999998869940299,885,1.0,33143,True,development_only_train_plus_validation
split_002,mature_accruals_to_assets,1769818,885,1769816,0.999998869940299,885,1.0,33154,True,development_only_train_plus_validation
split_002,mature_operating_cashflow_to_assets,1769818,885,1769816,0.999998869940299,885,1.0,33152,True,development_only_train_plus_validation
split_002,mature_cashflow_to_sales,1769818,885,1769723,0.9999463221642,885,1.0,33136,True,development_only_train_plus_validation
split_002,mature_asset_growth_yoy,1769818,885,1756912,0.9927077247490985,885,1.0,32833,True,development_only_train_plus_validation
split_002,mature_revenue_growth_yoy,1769818,885,1765331,0.9974647110606853,885,1.0,33046,True,development_only_train_plus_validation
split_002,mature_net_income_growth_yoy,1769818,885,1765598,0.997615574030776,885,1.0,33054,True,development_only_train_plus_validation
split_002,mature_amihud_illiquidity_20,1769818,885,1739824,0.983052494663293,885,1.0,1737688,True,development_only_train_plus_validation
split_002,mature_abnormal_turnover_20,1769818,885,1767708,0.998807787015388,885,1.0,1767378,True,development_only_train_plus_validation
split_002,mature_amount_momentum_20,1769818,885,1738767,0.982455258111286,885,1.0,1738767,True,development_only_train_plus_validation
split_002,mature_turnover_volatility_20,1769818,885,1767717,0.9988128722840428,885,1.0,1767656,True,development_only_train_plus_validation
split_002,mature_volume_ratio,1769818,885,1767711,0.9988094821049396,885,1.0,1213,True,development_only_train_plus_validation
split_002,mature_institutional_order_imbalance,1769818,885,1767312,0.9985840351945793,885,1.0,1766846,True,development_only_train_plus_validation
split_002,mature_institutional_flow_persistence_20,1769818,885,1767375,0.9986196320751626,885,1.0,1767359,True,development_only_train_plus_validation
split_002,mature_net_flow_persistence_5,1769818,885,1761679,0.9954012220465607,885,1.0,1761679,True,development_only_train_plus_validation
split_002,mature_net_flow_persistence_20,1769818,885,1741545,0.98402491103605,885,1.0,1741544,True,development_only_train_plus_validation
split_002,mature_reversal_1m,1769818,885,1706355,0.9641415105960048,885,1.0,1687821,True,development_only_train_plus_validation
split_002,mature_overnight_return_20,1769818,885,1739824,0.983052494663293,885,1.0,1739006,True,development_only_train_plus_validation
split_002,mature_momentum_12_1,1769818,885,1410285,0.7968531227504749,885,1.0,1401761,True,development_only_train_plus_validation
split_002,mature_high_52w,1769818,885,1563911,0.8836563985675363,885,1.0,1284035,True,development_only_train_plus_validation
split_002,mature_idiosyncratic_volatility_60,1769818,885,1578766,0.892049916997115,885,1.0,1578679,True,development_only_train_plus_validation
split_002,mature_realized_volatility_60,1769818,885,1692413,0.9562638644199573,885,1.0,1690206,True,development_only_train_plus_validation
split_002,mature_downside_volatility_60,1769818,885,1693816,0.9570566013002467,885,1.0,1270528,True,development_only_train_plus_validation
split_002,mature_max_daily_return_21,1769818,885,1736859,0.9813771811564805,885,1.0,138546,True,development_only_train_plus_validation
split_002,mature_market_beta_60,1769818,885,1664476,0.9404786254857844,885,1.0,1664476,True,development_only_train_plus_validation
split_002,mature_max_drawdown_60,1769818,885,1592466,0.8997908259493349,885,1.0,381547,True,development_only_train_plus_validation
split_003,mature_earnings_yield_ttm,2017703,1009,1670457,0.8279003401392574,1009,1.0,790047,True,development_only_train_plus_validation
split_003,mature_earnings_to_price_pit,2017703,1009,2015061,0.9986905902404863,1009,1.0,1739263,True,development_only_train_plus_validation
split_003,mature_book_to_price,2017703,1009,2007889,0.99513605322488,1009,1.0,167214,True,development_only_train_plus_validation
split_003,mature_book_to_market_pit,2017703,1009,2015061,0.9986905902404863,1009,1.0,1739269,True,development_only_train_plus_validation
split_003,mature_sales_to_price_ttm,2017703,1009,2014766,0.9985443843816458,1009,1.0,246488,True,development_only_train_plus_validation
split_003,mature_sales_to_price_pit,2017703,1009,2014928,0.9986246737007379,1009,1.0,1739113,True,development_only_train_plus_validation
split_003,mature_cashflow_to_price_pit,2017703,1009,2015061,0.9986905902404863,1009,1.0,1739226,True,development_only_train_plus_validation
split_003,mature_dividend_yield_ttm,2017703,1009,1470048,0.7285750182261711,1009,1.0,81684,True,development_only_train_plus_validation
split_003,mature_gross_profitability,2017703,1009,1933208,0.9581231727365227,1009,1.0,35146,True,development_only_train_plus_validation
split_003,mature_operating_profitability,2017703,1009,2017701,0.9999990087738384,1009,1.0,36653,True,development_only_train_plus_validation
split_003,mature_return_on_assets,2017703,1009,2017701,0.9999990087738384,1009,1.0,36653,True,development_only_train_plus_validation
split_003,mature_gross_margin,2017703,1009,1933208,0.9581231727365227,1009,1.0,35128,True,development_only_train_plus_validation
split_003,mature_net_margin,2017703,1009,2017568,0.99993309223409,1009,1.0,36640,True,development_only_train_plus_validation
split_003,mature_cashflow_quality,2017703,1009,2017701,0.9999990087738384,1009,1.0,36643,True,development_only_train_plus_validation
split_003,mature_accruals_to_assets,2017703,1009,2017701,0.9999990087738384,1009,1.0,36654,True,development_only_train_plus_validation
split_003,mature_operating_cashflow_to_assets,2017703,1009,2017701,0.9999990087738384,1009,1.0,36651,True,development_only_train_plus_validation
split_003,mature_cashflow_to_sales,2017703,1009,2017568,0.99993309223409,1009,1.0,36633,True,development_only_train_plus_validation
split_003,mature_asset_growth_yoy,2017703,1009,2004327,0.9933706794310163,1009,1.0,36314,True,development_only_train_plus_validation
split_003,mature_revenue_growth_yoy,2017703,1009,2012725,0.9975328380837021,1009,1.0,36530,True,development_only_train_plus_validation
split_003,mature_net_income_growth_yoy,2017703,1009,2013071,0.9977043202096642,1009,1.0,36542,True,development_only_train_plus_validation
split_003,mature_amihud_illiquidity_20,2017703,1009,1983033,0.9828170944881383,1009,1.0,1980618,True,development_only_train_plus_validation
split_003,mature_abnormal_turnover_20,2017703,1009,2015054,0.9986871209489206,1009,1.0,2014642,True,development_only_train_plus_validation
split_003,mature_amount_momentum_20,2017703,1009,1981748,0.9821802316792908,1009,1.0,1981748,True,development_only_train_plus_validation
split_003,mature_turnover_volatility_20,2017703,1009,2015063,0.9986915814666479,1009,1.0,2014989,True,development_only_train_plus_validation
split_003,mature_volume_ratio,2017703,1009,2015057,0.998688607788163,1009,1.0,1255,True,development_only_train_plus_validation
split_003,mature_institutional_order_imbalance,2017703,1009,2014639,0.9984814415203823,1009,1.0,2014070,True,development_only_train_plus_validation
split_003,mature_institutional_flow_persistence_20,2017703,1009,2014721,0.9985220817930092,1009,1.0,2014705,True,development_only_train_plus_validation
split_003,mature_net_flow_persistence_5,2017703,1009,2008031,0.9952064302823558,1009,1.0,2008031,True,development_only_train_plus_validation
split_003,mature_net_flow_persistence_20,2017703,1009,1984971,0.9837775926387581,1009,1.0,1984970,True,development_only_train_plus_validation
split_003,mature_reversal_1m,2017703,1009,1944515,0.9637270698412997,1009,1.0,1923219,True,development_only_train_plus_validation
split_003,mature_overnight_return_20,2017703,1009,1983033,0.9828170944881383,1009,1.0,1982110,True,development_only_train_plus_validation
split_003,mature_momentum_12_1,2017703,1009,1600049,0.7930052143452233,1009,1.0,1590300,True,development_only_train_plus_validation
split_003,mature_high_52w,2017703,1009,1779968,0.8821754242324068,1009,1.0,1459985,True,development_only_train_plus_validation
split_003,mature_idiosyncratic_volatility_60,2017703,1009,1799664,0.8919370194721423,1009,1.0,1799573,True,development_only_train_plus_validation
split_003,mature_realized_volatility_60,2017703,1009,1928976,0.9560257381785129,1009,1.0,1926509,True,development_only_train_plus_validation
split_003,mature_downside_volatility_60,2017703,1009,1930489,0.9567756007697862,1009,1.0,1441963,True,development_only_train_plus_validation
split_003,mature_max_daily_return_21,2017703,1009,1979642,0.981136470531094,1009,1.0,153891,True,development_only_train_plus_validation
split_003,mature_market_beta_60,2017703,1009,1897120,0.940237487876065,1009,1.0,1897120,True,development_only_train_plus_validation
split_003,mature_max_drawdown_60,2017703,1009,1813715,0.8989008788706762,1009,1.0,426382,True,development_only_train_plus_validation
