outer_split_id,variant_id,variant_type,date_count,row_coverage,mean_rank_ic,rank_ic_std,rank_ic_ir_annualized,positive_ic_fraction,quintile_1_mean_label,quintile_2_mean_label,quintile_3_mean_label,quintile_4_mean_label,quintile_5_mean_label,quintile_5_minus_1,nondecreasing_quintile_steps,top50_five_day_one_way_turnover,mean_size_rank_corr,mean_turnover_rank_corr,mean_idiosyncratic_volatility_rank_corr,evidence_class
split_001,value,sleeve,120,0.9986665666591661,-0.08165248101723685,0.2798451626042022,-4.63182189806672,0.375,0.09073995053768158,0.08026652038097382,0.06836501508951187,0.05389540269970894,0.03151802346110344,-0.05922192707657814,0,0.1347826086956522,0.35805623112161034,-0.4635365445038166,-0.4962518562477577,post_observation_research_diagnostic_only
split_001,profitability,sleeve,120,1.0,-0.05491197899052988,0.21080018666864067,-4.135198626812939,0.26666666666666666,0.07902516424655914,0.07817473262548447,0.06599780917167664,0.05681972578167915,0.04478892311453819,-0.03423624113202095,0,0.030434782608695653,0.3143634671206446,-0.23964935394267997,-0.20844829486092167,post_observation_research_diagnostic_only
split_001,accounting_quality,sleeve,120,1.0,-0.05147688754049519,0.12980768557379574,-6.2952378558061275,0.325,0.07816753536462784,0.07616725564002991,0.06370783597230911,0.055272750556468964,0.05149064213037491,-0.02667689323425293,0,0.07565217391304346,0.20191382681222506,-0.15594466883809907,-0.140214033073109,post_observation_research_diagnostic_only
split_001,investment_growth,sleeve,120,0.9993749531214842,0.029895565375507423,0.047661584258870175,9.957230652383807,0.7416666666666667,0.06288612633943558,0.05393826961517334,0.06165359914302826,0.07039237767457962,0.07601650804281235,0.01313038170337677,3,0.0608695652173913,-0.09718146957793607,0.10137235210956783,0.08176045951087205,post_observation_research_diagnostic_only
split_001,illiquidity_premium,sleeve,120,0.9842154828278787,0.09342519279486386,0.1385263500701369,10.706114448189428,0.7916666666666666,0.048748645931482315,0.05730432644486427,0.06553497910499573,0.07460253685712814,0.07895883917808533,0.030210193246603012,4,0.26173913043478264,-0.7893006634600798,0.2442019741885653,0.08748871945443225,post_observation_research_diagnostic_only
split_001,speculative_activity,sleeve,120,0.9986665666591661,0.02702551822990323,0.12477078698506541,3.4384394945360928,0.6083333333333333,0.06502137333154678,0.0653391033411026,0.06928504258394241,0.0714045837521553,0.05369092524051666,-0.01133044809103012,3,0.9078260869565217,0.20113814699443458,-0.6581652091800887,-0.19575691403837325,post_observation_research_diagnostic_only
split_001,institutional_flow,sleeve,120,0.9986665666591661,-0.07375383921399588,0.1083999990897492,-10.800792533305255,0.21666666666666667,0.07317978888750076,0.07317498326301575,0.06865394860506058,0.062199778854846954,0.047547437250614166,-0.025632351636886597,0,0.7973913043478261,0.32973920800327255,-0.11909021669902507,-0.07477162555543024,post_observation_research_diagnostic_only
split_001,short_term_reversal,sleeve,120,0.9851113833537515,0.07064631839220313,0.1142217149331831,9.81840920270181,0.7666666666666667,0.056429747492074966,0.06213792413473129,0.06550619006156921,0.06947465240955353,0.07198910415172577,0.015559356659650803,4,0.6139130434782608,-0.10750675964256796,-0.011478240310851496,0.1151035909483201,post_observation_research_diagnostic_only
split_001,traditional_momentum,sleeve,120,0.7587902426015285,-0.09275726674421696,0.2207995256206315,-6.668836613017124,0.2833333333333333,0.07868458330631256,0.08055366575717926,0.06443051993846893,0.054282352328300476,0.03734710067510605,-0.04133748263120651,1,0.19913043478260867,0.41338276111425515,-0.11243601648253604,0.03508205404073084,post_observation_research_diagnostic_only
split_001,trend_anchor,sleeve,120,0.8760157011775883,-0.15612182084492238,0.17753402110205735,-13.95989939129896,0.24166666666666667,0.09222119301557541,0.07732322067022324,0.06961751729249954,0.05798126757144928,0.032362088561058044,-0.059859104454517365,0,0.6504347826086957,0.39777811666696034,-0.14016616436913604,-0.1470356741239517,post_observation_research_diagnostic_only
