datetime,variant_id,rank_ic,n,outer_split_id
2024-08-01,value,0.17572395634249952,1992,split_001
2024-08-02,value,0.13994949619707725,1992,split_001
2024-08-05,value,0.14144506451169295,1992,split_001
2024-08-06,value,0.14355619944913142,1993,split_001
2024-08-07,value,0.033528157679781366,1994,split_001
2024-08-08,value,0.026530304294520725,1993,split_001
2024-08-09,value,-0.08859609102103633,1993,split_001
2024-08-12,value,-0.1142509408805646,1993,split_001
2024-08-13,value,-0.09282450919792756,1994,split_001
2024-08-14,value,-0.061412937437457835,1994,split_001
2024-08-15,value,-0.028746208794212972,1994,split_001
2024-08-16,value,-0.015623649426752075,1993,split_001
2024-08-19,value,-0.03024758469841133,1996,split_001
2024-08-20,value,-0.04418619500872819,1996,split_001
2024-08-21,value,-0.07277409174011816,1995,split_001
2024-08-22,value,-0.05221391456336978,1994,split_001
2024-08-23,value,-0.067519609058816,1994,split_001
2024-08-26,value,-0.0945614724793106,1994,split_001
2024-08-27,value,-0.16143030236999387,1993,split_001
2024-08-28,value,-0.283770335836865,1992,split_001
2024-08-29,value,-0.41125664792748995,1990,split_001
2024-08-30,value,-0.4025324134171659,1988,split_001
2024-09-02,value,-0.32688327648011833,1992,split_001
2024-09-03,value,-0.2651854224045624,1993,split_001
2024-09-04,value,-0.2933835278356542,1993,split_001
2024-09-05,value,-0.3580512205024167,1993,split_001
2024-09-06,value,-0.29925538939052326,1994,split_001
2024-09-09,value,-0.32732285962965424,1995,split_001
2024-09-10,value,-0.3764156892666396,1995,split_001
2024-09-11,value,-0.4330802649859113,1995,split_001
2024-09-12,value,-0.4211102214383443,1995,split_001
2024-09-13,value,-0.43050192782576224,1993,split_001
2024-09-18,value,-0.43901430351809273,1993,split_001
2024-09-19,value,-0.42597743034077656,1996,split_001
2024-09-20,value,-0.43489360158950513,1994,split_001
2024-09-23,value,-0.46936641396862716,1995,split_001
2024-09-24,value,-0.47273802276070714,1993,split_001
2024-09-25,value,-0.4951710535517117,1993,split_001
2024-09-26,value,-0.3614446302469724,1993,split_001
2024-09-27,value,-0.2814032530389944,1994,split_001
2024-09-30,value,-0.07085710690308751,1994,split_001
2024-10-08,value,-0.11986362323579534,1993,split_001
2024-10-09,value,-0.2621311980242532,1991,split_001
2024-10-10,value,-0.3916195289931259,1994,split_001
2024-10-11,value,-0.39778694664066855,1995,split_001
2024-10-14,value,-0.33758324749028984,1994,split_001
2024-10-15,value,-0.36385641156543447,1995,split_001
2024-10-16,value,-0.2583606876446139,1995,split_001
2024-10-17,value,-0.09909651880450804,1995,split_001
2024-10-18,value,0.2141560550095404,1993,split_001
2024-10-21,value,0.05250262253024292,1995,split_001
2024-10-22,value,-0.05651971614754084,1995,split_001
2024-10-23,value,-0.06814243056186126,1995,split_001
2024-10-24,value,-0.020875004362292907,1995,split_001
2024-10-25,value,-0.010376817879689297,1993,split_001
2024-10-28,value,0.029582709860943114,1993,split_001
2024-10-29,value,0.0007982018049273927,1993,split_001
2024-10-30,value,0.06228052948953173,1991,split_001
2024-10-31,value,-0.20178972526260708,1995,split_001
2024-11-01,value,-0.19127913737593294,1994,split_001
2024-11-04,value,-0.06645855050690881,1995,split_001
2024-11-05,value,0.002720633872764185,1994,split_001
2024-11-06,value,-0.09372204964119868,1994,split_001
2024-11-07,value,0.045560282200446584,1994,split_001
2024-11-08,value,0.22452430003864904,1996,split_001
2024-11-11,value,0.14193360475542977,1996,split_001
2024-11-12,value,0.1296269145246959,1995,split_001
2024-11-13,value,0.058593158251016984,1995,split_001
2024-11-14,value,-0.057655375314026265,1994,split_001
2024-11-15,value,-0.23524501203409495,1993,split_001
2024-11-18,value,-0.0007254120233626655,1991,split_001
2024-11-19,value,0.047443634587047034,1993,split_001
2024-11-20,value,0.004787711603812563,1994,split_001
2024-11-21,value,-0.11370961663073303,1994,split_001
2024-11-22,value,0.1158587832502646,1993,split_001
2024-11-25,value,0.1299789226237161,1994,split_001
2024-11-26,value,0.26882398980919714,1995,split_001
2024-11-27,value,0.20543005991027583,1993,split_001
2024-11-28,value,0.2606476406289818,1991,split_001
2024-11-29,value,0.3371019787406486,1991,split_001
2024-12-02,value,0.37430700889075563,1994,split_001
2024-12-03,value,0.3689400703283673,1991,split_001
2024-12-04,value,0.49281668293081715,1992,split_001
2024-12-05,value,0.539367387402854,1991,split_001
2024-12-06,value,0.4642639799674695,1994,split_001
2024-12-09,value,0.48164584483157263,1994,split_001
2024-12-10,value,0.45244675352797115,1993,split_001
2024-12-11,value,0.4536431057302119,1992,split_001
2024-12-12,value,0.4576315470572954,1994,split_001
2024-12-13,value,0.3412172436827843,1995,split_001
2024-12-16,value,0.2789141940597939,1994,split_001
2024-12-17,value,0.31755871195773766,1995,split_001
2024-12-18,value,0.35929707842460423,1996,split_001
2024-12-19,value,0.42379816702897044,1996,split_001
2024-12-20,value,0.2373682635080379,1995,split_001
2024-12-23,value,0.20850147110819323,1996,split_001
2024-12-24,value,0.14718857011254072,1997,split_001
2024-12-25,value,0.1611593009723064,1996,split_001
2024-12-26,value,0.2481476349724403,1994,split_001
2024-12-27,value,0.011645881419506041,1991,split_001
2024-12-30,value,-0.22215013199630487,1990,split_001
2024-12-31,value,-0.26098147703241714,1991,split_001
2025-01-02,value,-0.4519444874095698,1990,split_001
2025-01-03,value,-0.4659778319315818,1988,split_001
2025-01-06,value,-0.4278907018325443,1989,split_001
2025-01-07,value,-0.38291150319948514,1991,split_001
2025-01-08,value,-0.32712282715964297,1991,split_001
2025-01-09,value,-0.4238483776988612,1990,split_001
2025-01-10,value,-0.33995720614232583,1990,split_001
2025-01-13,value,-0.32120794594310514,1991,split_001
2025-01-14,value,-0.3615777962733234,1992,split_001
2025-01-15,value,-0.402991773778371,1992,split_001
2025-01-16,value,-0.4112358429309833,1993,split_001
2025-01-17,value,-0.43189919269732285,1993,split_001
2025-01-20,value,-0.40649609476442017,1993,split_001
2025-01-21,value,-0.379124227078363,1992,split_001
2025-01-22,value,-0.3042140620608159,1994,split_001
2025-01-23,value,-0.2431429562234642,1993,split_001
2025-01-24,value,-0.3921228904934908,1993,split_001
2025-01-27,value,-0.30364467562787656,1993,split_001
2024-08-01,profitability,0.033226022829479375,1993,split_001
2024-08-02,profitability,-0.01852781346465999,1993,split_001
2024-08-05,profitability,-0.027413863908877293,1993,split_001
2024-08-06,profitability,-0.015559314835111616,1993,split_001
2024-08-07,profitability,-0.06690376253874837,1995,split_001
2024-08-08,profitability,-0.08148015166101519,1993,split_001
2024-08-09,profitability,-0.17679662640245455,1993,split_001
2024-08-12,profitability,-0.15720106832558686,1993,split_001
2024-08-13,profitability,-0.11301364814285299,1994,split_001
2024-08-14,profitability,-0.1183967946695826,1994,split_001
2024-08-15,profitability,-0.12505020863383415,1994,split_001
2024-08-16,profitability,-0.08720398808144018,1993,split_001
2024-08-19,profitability,-0.13519191895766808,1996,split_001
2024-08-20,profitability,-0.145002709241363,1996,split_001
2024-08-21,profitability,-0.17366144667554076,1995,split_001
2024-08-22,profitability,-0.1640442547051217,1994,split_001
2024-08-23,profitability,-0.15105003739769643,1995,split_001
2024-08-26,profitability,-0.1736531272731316,1994,split_001
2024-08-27,profitability,-0.1511032139387101,1993,split_001
2024-08-28,profitability,-0.14564688127634143,1992,split_001
2024-08-29,profitability,-0.11625751998055446,1990,split_001
2024-08-30,profitability,-0.07703457077878664,1989,split_001
2024-09-02,profitability,-0.07479748874916861,1993,split_001
2024-09-03,profitability,-0.0693521746947237,1993,split_001
2024-09-04,profitability,-0.09376964074576587,1994,split_001
2024-09-05,profitability,-0.11666089480378043,1993,split_001
2024-09-06,profitability,-0.13126724005604845,1994,split_001
2024-09-09,profitability,-0.12808649794980626,1995,split_001
2024-09-10,profitability,-0.12392119084341792,1996,split_001
2024-09-11,profitability,-0.12708570907939165,1995,split_001
2024-09-12,profitability,-0.14806624891779707,1995,split_001
2024-09-13,profitability,-0.2006059015014903,1993,split_001
2024-09-18,profitability,-0.16640526972929995,1996,split_001
2024-09-19,profitability,-0.18289766422102377,1996,split_001
2024-09-20,profitability,-0.21801663187845244,1994,split_001
2024-09-23,profitability,-0.24811895068043371,1995,split_001
2024-09-24,profitability,-0.264451787432281,1993,split_001
2024-09-25,profitability,-0.318913312579722,1993,split_001
2024-09-26,profitability,-0.29731817437389046,1993,split_001
2024-09-27,profitability,-0.3035473503756999,1994,split_001
2024-09-30,profitability,-0.2920106879886193,1994,split_001
2024-10-08,profitability,-0.34441317006611455,1993,split_001
2024-10-09,profitability,-0.3585440377512215,1993,split_001
2024-10-10,profitability,-0.36709767705852014,1994,split_001
2024-10-11,profitability,-0.34909632376272026,1995,split_001
2024-10-14,profitability,-0.3374082366633043,1995,split_001
2024-10-15,profitability,-0.29992342066037925,1996,split_001
2024-10-16,profitability,-0.28042920395248944,1996,split_001
2024-10-17,profitability,-0.29181837282746476,1995,split_001
2024-10-18,profitability,-0.17712205637303485,1993,split_001
2024-10-21,profitability,-0.21857056337035963,1995,split_001
2024-10-22,profitability,-0.22563298521687944,1995,split_001
2024-10-23,profitability,-0.25243447575876055,1995,split_001
