outer_split_id,variant_id,portfolio_id,trading_days,net_total_return,gross_total_return_approx,cost_drag,annualized_turnover,net_sharpe,fill_count,rejected_order_count,historical_execution_approximate,unbiased_final_estimate
split_001,value,P01_FIXED_DIAGNOSTIC,119,0.2209384403204326,0.2365095620814084,0.0155711217609757,16.539889149887166,2.033626761659837,1225,124,True,False
split_001,profitability,P01_FIXED_DIAGNOSTIC,119,0.1844080662580947,0.1911514093603761,0.0067433431022814,7.492476377711419,1.209277914612988,764,466,True,False
split_001,accounting_quality,P01_FIXED_DIAGNOSTIC,119,0.278579465280264,0.290574603698607,0.0119951384183428,12.37956887582417,1.7226685752941062,1146,134,True,False
split_001,investment_growth,P01_FIXED_DIAGNOSTIC,119,0.4962067915720309,0.5081112404548271,0.0119044488827961,11.933382528919472,2.3928275825308263,1171,95,True,False
split_001,illiquidity_premium,P01_FIXED_DIAGNOSTIC,119,0.3323569208939405,0.3621577495145192,0.0298008286205787,27.982613241243985,1.828984347468312,1399,96,True,False
split_001,speculative_activity,P01_FIXED_DIAGNOSTIC,119,0.2134119470584319,0.2956985687208446,0.0822866216624125,82.40386817409603,1.9157549301135688,2152,59,True,False
split_001,institutional_flow,P01_FIXED_DIAGNOSTIC,119,0.156585979805496,0.2253853721661509,0.0687993923606549,73.06730546384335,1.5036985010180106,1993,95,True,False
split_001,short_term_reversal,P01_FIXED_DIAGNOSTIC,119,0.2837902375722427,0.3477329911093516,0.0639427535371088,58.78886147561243,1.645988672461118,1821,71,True,False
split_001,traditional_momentum,P01_FIXED_DIAGNOSTIC,119,0.0337902721506591,0.0538971346360404,0.0201068624853814,22.34269307631164,0.4253913353992096,1208,217,True,False
split_001,trend_anchor,P01_FIXED_DIAGNOSTIC,119,-0.0810634107550902,-0.0301875928035313,0.0508758179515589,57.01001748842516,-0.2844642189005842,1776,118,True,False
split_001,low_risk_lottery,P01_FIXED_DIAGNOSTIC,119,0.2458593703723832,0.2678215355020497,0.0219621651296664,22.821343965831367,2.358598633746928,1274,171,True,False
split_001,value_profitability,P01_FIXED_DIAGNOSTIC,119,0.155837605483168,0.1683559120038908,0.012518306520723,13.73239654545471,1.3432030389956575,1111,204,True,False
split_001,fundamental_value,P01_FIXED_DIAGNOSTIC,119,0.1639508269276981,0.17593475188083,0.0119839249531317,13.29034021111012,1.5352601333890246,1114,193,True,False
split_001,speculation_reversal,P01_FIXED_DIAGNOSTIC,119,0.2597863364732409,0.3413689984046448,0.0815826619314039,80.10041632852975,1.825036526379872,2122,41,True,False
split_001,trading_mispricing,P01_FIXED_DIAGNOSTIC,119,0.1126614880765493,0.1838583945450063,0.071196906468457,76.58682825201672,1.156751072277166,2055,85,True,False
split_001,value_low_risk,P01_FIXED_DIAGNOSTIC,119,0.2006526519650748,0.2176466676941502,0.0169940157290753,18.393734494975178,1.9514624175329007,1258,117,True,False
split_001,trend_flow_confirmation,P01_FIXED_DIAGNOSTIC,119,0.0322251278908316,0.0911437463878273,0.0589186184969958,66.02683913502412,0.5832057852483892,1911,93,True,False
split_001,diversified_economic,P01_FIXED_DIAGNOSTIC,119,0.0930905766900322,0.14116817648849,0.0480775997984576,52.9118030748496,1.2423500072640663,1708,117,True,False
split_002,value,P01_FIXED_DIAGNOSTIC,123,0.1228223611730354,0.1336694358411554,0.0108470746681201,12.027888621812217,1.7327386247188368,1198,170,True,False
split_002,profitability,P01_FIXED_DIAGNOSTIC,123,0.1412768711783241,0.1469659133045275,0.0056890421262035,6.637308963307759,1.7699641352751323,709,580,True,False
split_002,accounting_quality,P01_FIXED_DIAGNOSTIC,123,0.1214722601762474,0.1290433702332805,0.0075711100570329,8.60491003130088,1.2549038321423929,1061,248,True,False
split_002,investment_growth,P01_FIXED_DIAGNOSTIC,123,0.1852152440593186,0.1933552914881449,0.0081400474288262,9.137620412640386,1.4250490490259098,1160,159,True,False
split_002,illiquidity_premium,P01_FIXED_DIAGNOSTIC,123,0.1892535452936359,0.2131177927185807,0.0238642474249448,25.591023944253465,1.511375319674805,1390,141,True,False
split_002,speculative_activity,P01_FIXED_DIAGNOSTIC,123,0.0723767146525302,0.1500494346393093,0.0776727199867791,86.62517714195279,1.4248774267420603,2306,38,True,False
split_002,institutional_flow,P01_FIXED_DIAGNOSTIC,123,0.0114625777245982,0.0783663532491811,0.0669037755245829,77.13530337575042,0.5688781209726661,2161,66,True,False
split_002,short_term_reversal,P01_FIXED_DIAGNOSTIC,123,0.0693921270831274,0.1190852998661589,0.0496931727830313,54.48006489827996,0.7412573764778203,1821,89,True,False
split_002,traditional_momentum,P01_FIXED_DIAGNOSTIC,123,0.028789584736842,0.0438671508354739,0.015077566098632,17.639880516350566,0.3845992399557279,1075,355,True,False
split_002,trend_anchor,P01_FIXED_DIAGNOSTIC,123,0.0668185269356942,0.1238363245607074,0.0570177976250131,63.25139975045537,0.9205756120380814,1965,84,True,False
split_002,low_risk_lottery,P01_FIXED_DIAGNOSTIC,123,0.082984173068652,0.1013385716298869,0.0183543985612349,20.454317374185845,1.621116822040968,1184,293,True,False
split_002,value_profitability,P01_FIXED_DIAGNOSTIC,123,0.0753146886116897,0.0847634262727712,0.0094487376610815,10.882182732920688,1.1374806412458505,1025,319,True,False
split_002,fundamental_value,P01_FIXED_DIAGNOSTIC,123,0.1108622626486601,0.1210958151421441,0.0102335524934839,11.563783508425118,1.7134958511822878,1098,253,True,False
split_002,speculation_reversal,P01_FIXED_DIAGNOSTIC,123,0.0867174709505902,0.162556083915766,0.0758386129651759,84.97313877791541,1.112007428002865,2248,35,True,False
split_002,trading_mispricing,P01_FIXED_DIAGNOSTIC,123,0.1185129310958561,0.1880450215002318,0.0695320904043756,76.83518140420925,1.4472956350573023,2111,106,True,False
split_002,value_low_risk,P01_FIXED_DIAGNOSTIC,123,0.1193716518303034,0.1351591801703164,0.0157875283400131,17.391185717426684,1.9385384030203257,1231,208,True,False
split_002,trend_flow_confirmation,P01_FIXED_DIAGNOSTIC,123,0.0924463095739163,0.1552898474481974,0.0628435378742809,70.56798206694715,1.234939018276783,2084,54,True,False
split_002,diversified_economic,P01_FIXED_DIAGNOSTIC,123,0.047475338004947,0.0967430388797376,0.0492677008747906,55.40076496724429,1.1517197862987192,1766,164,True,False
split_003,value,P01_FIXED_DIAGNOSTIC,123,0.0518157770826865,0.0610450356880853,0.0092292586053987,10.40912858017102,1.101473405184742,1163,183,True,False
split_003,profitability,P01_FIXED_DIAGNOSTIC,123,0.1239391435832659,0.1293912611055285,0.0054521175222625,6.198045866392977,1.5800545620551176,706,580,True,False
split_003,accounting_quality,P01_FIXED_DIAGNOSTIC,123,0.0857271146597908,0.0951877263336251,0.0094606116738342,10.556074045519455,1.1342953692833202,1054,283,True,False
split_003,investment_growth,P01_FIXED_DIAGNOSTIC,123,0.1781877185713043,0.1870560952160846,0.0088683766447802,9.59569862236927,1.6598618061748176,1161,153,True,False
split_003,illiquidity_premium,P01_FIXED_DIAGNOSTIC,123,0.1763243886163596,0.2014011801627646,0.0250767915464049,27.68613761676187,1.9225137957867853,1394,163,True,False
split_003,speculative_activity,P01_FIXED_DIAGNOSTIC,123,0.0580082717217838,0.1356262605931015,0.0776179888713177,85.52644302485828,1.54846090029823,2297,31,True,False
split_003,institutional_flow,P01_FIXED_DIAGNOSTIC,123,0.2539348972484507,0.3304610387745681,0.0765261415261176,77.38704269684213,2.397703841438185,2173,65,True,False
split_003,short_term_reversal,P01_FIXED_DIAGNOSTIC,123,0.2202142136842733,0.2753169944983917,0.0551027808141185,57.87175238913801,2.261856389380432,1867,88,True,False
split_003,traditional_momentum,P01_FIXED_DIAGNOSTIC,123,0.1669531927243317,0.1860992547848581,0.0191460620605263,20.213390827674147,1.2368969374955634,1084,376,True,False
split_003,trend_anchor,P01_FIXED_DIAGNOSTIC,123,0.1666176246354358,0.2416328910920098,0.075015266456574,74.94638615512424,1.4977337683312353,2169,47,True,False
split_003,low_risk_lottery,P01_FIXED_DIAGNOSTIC,123,-0.0185989283570313,-0.0036274388215579,0.0149714895354735,17.26561835282857,-0.2674619671488856,1055,385,True,False
split_003,value_profitability,P01_FIXED_DIAGNOSTIC,123,0.0544696395761417,0.0640671292468357,0.0095974896706939,10.98019412902932,1.0693946921104098,933,415,True,False
split_003,fundamental_value,P01_FIXED_DIAGNOSTIC,123,0.0961483059463774,0.1076327015629887,0.0114843956166111,12.910045829411017,1.8078913087534776,1077,297,True,False
split_003,speculation_reversal,P01_FIXED_DIAGNOSTIC,123,0.1197789037459953,0.1958502671938489,0.0760713634478537,82.36626693466437,1.9348040965473003,2226,25,True,False
split_003,trading_mispricing,P01_FIXED_DIAGNOSTIC,123,0.2047760976753594,0.2794830984859218,0.0747070008105623,78.67222934407016,2.8596203786538985,2159,79,True,False
split_003,value_low_risk,P01_FIXED_DIAGNOSTIC,123,-0.005516295615815,0.0061366751781923,0.0116529707940072,13.426498988059056,0.0365983199976817,1113,273,True,False
split_003,trend_flow_confirmation,P01_FIXED_DIAGNOSTIC,123,0.3455472144551255,0.4251875642802922,0.0796403498251667,76.86368363995618,2.465160746970988,2180,54,True,False
split_003,diversified_economic,P01_FIXED_DIAGNOSTIC,123,0.0227696216753137,0.0678064978667922,0.0450368761914786,51.7359014561265,0.8857834119148993,1732,153,True,False
