outer_split_id,variant_id,regime_type,regime,date_count,mean_rank_ic,positive_ic_fraction,record_type,base_variant,added_variant,combined_variant,base_mean_rank_ic,added_mean_rank_ic,combined_mean_rank_ic,combined_minus_base_rank_ic,added_residual_mean_rank_ic,base_added_mean_rank_correlation,incremental_positive
split_001,value,calendar_year,2024,102.0,-0.02961752283159683,0.4411764705882353,regime,,,,,,,,,,
split_001,value,calendar_year,2025,18.0,-0.37651724406919707,0.0,regime,,,,,,,,,,
split_001,profitability,calendar_year,2024,102.0,-0.02764905118282864,0.3137254901960784,regime,,,,,,,,,,
split_001,profitability,calendar_year,2025,18.0,-0.20940190323417027,0.0,regime,,,,,,,,,,
split_001,accounting_quality,calendar_year,2024,102.0,-0.02649080073131363,0.38235294117647056,regime,,,,,,,,,,
split_001,accounting_quality,calendar_year,2025,18.0,-0.19306471279252405,0.0,regime,,,,,,,,,,
split_001,investment_growth,calendar_year,2024,102.0,0.026334093759897297,0.7058823529411765,regime,,,,,,,,,,
split_001,investment_growth,calendar_year,2025,18.0,0.05007723786396481,0.9444444444444444,regime,,,,,,,,,,
split_001,illiquidity_premium,calendar_year,2024,102.0,0.08342561138527252,0.7549019607843137,regime,,,,,,,,,,
split_001,illiquidity_premium,calendar_year,2025,18.0,0.150089487449215,1.0,regime,,,,,,,,,,
split_001,speculative_activity,calendar_year,2024,102.0,0.037985707636386146,0.6470588235294118,regime,,,,,,,,,,
split_001,speculative_activity,calendar_year,2025,18.0,-0.03508222174016663,0.3888888888888889,regime,,,,,,,,,,
split_001,institutional_flow,calendar_year,2024,102.0,-0.06691330333143253,0.23529411764705882,regime,,,,,,,,,,
split_001,institutional_flow,calendar_year,2025,18.0,-0.11251687588185486,0.1111111111111111,regime,,,,,,,,,,
split_001,short_term_reversal,calendar_year,2024,102.0,0.039594040977172576,0.7254901960784313,regime,,,,,,,,,,
split_001,short_term_reversal,calendar_year,2025,18.0,0.2466092237440429,1.0,regime,,,,,,,,,,
split_001,traditional_momentum,calendar_year,2024,102.0,-0.09319519010668294,0.3333333333333333,regime,,,,,,,,,,
split_001,traditional_momentum,calendar_year,2025,18.0,-0.09027570102357643,0.0,regime,,,,,,,,,,
split_001,trend_anchor,calendar_year,2024,102.0,-0.14348376519078804,0.28431372549019607,regime,,,,,,,,,,
split_001,trend_anchor,calendar_year,2025,18.0,-0.2277374695516835,0.0,regime,,,,,,,,,,
split_001,low_risk_lottery,calendar_year,2024,102.0,-9.865799204369429e-05,0.5098039215686274,regime,,,,,,,,,,
split_001,low_risk_lottery,calendar_year,2025,18.0,-0.4554711050778974,0.0,regime,,,,,,,,,,
split_001,value_profitability,calendar_year,2024,102.0,-0.04046594035361612,0.37254901960784315,regime,,,,,,,,,,
split_001,value_profitability,calendar_year,2025,18.0,-0.37483260287547915,0.0,regime,,,,,,,,,,
split_001,fundamental_value,calendar_year,2024,102.0,-0.042018556207052464,0.37254901960784315,regime,,,,,,,,,,
split_001,fundamental_value,calendar_year,2025,18.0,-0.35937586674014016,0.0,regime,,,,,,,,,,
split_001,speculation_reversal,calendar_year,2024,102.0,0.04799994271778924,0.7254901960784313,regime,,,,,,,,,,
split_001,speculation_reversal,calendar_year,2025,18.0,0.14162314637450918,0.9444444444444444,regime,,,,,,,,,,
split_001,trading_mispricing,calendar_year,2024,102.0,0.008176387218792831,0.5784313725490197,regime,,,,,,,,,,
split_001,trading_mispricing,calendar_year,2025,18.0,0.06568692835038878,0.6666666666666666,regime,,,,,,,,,,
split_001,value_low_risk,calendar_year,2024,102.0,-0.020810413812163073,0.4803921568627451,regime,,,,,,,,,,
