input_name,artifact_id,path,sha256,join_keys,input_rows,consumed_rows,missing_rows
inner_development_daily_ic,selection_input_projection_v1:76d7f06cb7a19053bb058f7da4e4874c9c5e16229a1b094fa0dfa8d4a1c1ff38,E:/qlib_prj/qlib_baseline/outputs/selection_input_projection_v1/runtime/inner_development_daily_ic.parquet,9b904e5e80fa08e4072751e8b365b8356329ec7b13e0b743a1b60878de2b2856,"outer_split_id,inner_split_id,fold,datetime,factor",4031394,4031394,0
outer_split_fdr,factor_multiple_testing_v1:3a6d172f56c502a66cb19e8df31fc2202a7d62490de0fd7b0cd317ac0dd97726,E:/qlib_prj/qlib_baseline/outputs/factor_multiple_testing_v1/full_research_669/fdr_results.csv,60f97b688a2eca26eb49afb71b8abdea0508184c55dbe0519ed2946d588e7e17,"outer_split_id,factor",2007,6021,0
