outer_split_id,inner_split_id,factor,frozen_direction
split_001,split_001_inner_001,alpha158_SUMP5,-1
split_001,split_001_inner_001,alpha158_SUMP60,-1
split_001,split_001_inner_001,alpha158_VMA10,1
split_001,split_001_inner_001,alpha158_VMA20,1
split_001,split_001_inner_001,alpha158_VMA30,1
split_001,split_001_inner_001,alpha158_VMA5,1
split_001,split_001_inner_001,alpha158_VMA60,1
split_001,split_001_inner_001,alpha158_VSTD10,-1
split_001,split_001_inner_001,alpha158_VSTD20,1
split_001,split_001_inner_001,alpha158_VSTD30,1
split_001,split_001_inner_001,alpha158_VSTD5,-1
split_001,split_001_inner_001,alpha158_VSTD60,1
split_001,split_001_inner_001,alpha158_VSUMD10,-1
split_001,split_001_inner_001,alpha158_VSUMD20,-1
split_001,split_001_inner_001,alpha158_VSUMD30,-1
split_001,split_001_inner_001,alpha158_VSUMD5,-1
split_001,split_001_inner_001,alpha158_VSUMD60,-1
split_001,split_001_inner_001,alpha158_VSUMN10,1
split_001,split_001_inner_001,alpha158_VSUMN20,1
split_001,split_001_inner_001,alpha158_VSUMN30,1
split_001,split_001_inner_001,alpha158_VSUMN5,1
split_001,split_001_inner_001,alpha158_VSUMN60,1
split_001,split_001_inner_001,alpha158_VSUMP10,-1
split_001,split_001_inner_001,alpha158_VSUMP20,-1
split_001,split_001_inner_001,alpha158_VSUMP30,-1
split_001,split_001_inner_001,alpha158_VSUMP5,-1
split_001,split_001_inner_001,alpha158_VSUMP60,-1
split_001,split_001_inner_001,alpha158_VWAP0,1
split_001,split_001_inner_001,alpha158_WVMA10,1
split_001,split_001_inner_001,alpha158_WVMA20,1
split_001,split_001_inner_001,alpha158_WVMA30,1
split_001,split_001_inner_001,alpha158_WVMA5,1
split_001,split_001_inner_001,alpha158_WVMA60,1
split_001,split_001_inner_001,alpha360_CLOSE1,1
split_001,split_001_inner_001,alpha360_CLOSE10,1
split_001,split_001_inner_001,alpha360_CLOSE11,1
split_001,split_001_inner_001,alpha360_CLOSE12,1
split_001,split_001_inner_001,alpha360_CLOSE13,1
split_001,split_001_inner_001,alpha360_CLOSE14,1
split_001,split_001_inner_001,alpha360_CLOSE15,1
split_001,split_001_inner_001,alpha360_CLOSE16,1
split_001,split_001_inner_001,alpha360_CLOSE17,1
split_001,split_001_inner_001,alpha360_CLOSE18,1
split_001,split_001_inner_001,alpha360_CLOSE19,1
split_001,split_001_inner_001,alpha360_CLOSE2,1
split_001,split_001_inner_001,alpha360_CLOSE20,1
split_001,split_001_inner_001,alpha360_CLOSE21,1
split_001,split_001_inner_001,alpha360_CLOSE22,1
split_001,split_001_inner_001,alpha360_CLOSE23,1
split_001,split_001_inner_001,alpha360_CLOSE24,1
split_001,split_001_inner_001,alpha360_CLOSE25,1
split_001,split_001_inner_001,alpha360_CLOSE26,1
split_001,split_001_inner_001,alpha360_CLOSE27,1
split_001,split_001_inner_001,alpha360_CLOSE28,1
split_001,split_001_inner_001,alpha360_CLOSE29,1
split_001,split_001_inner_001,alpha360_CLOSE3,1
split_001,split_001_inner_001,alpha360_CLOSE30,1
split_001,split_001_inner_001,alpha360_CLOSE31,1
split_001,split_001_inner_001,alpha360_CLOSE32,1
split_001,split_001_inner_001,alpha360_CLOSE33,1
split_001,split_001_inner_001,alpha360_CLOSE34,1
split_001,split_001_inner_001,alpha360_CLOSE35,1
split_001,split_001_inner_001,alpha360_CLOSE36,1
split_001,split_001_inner_001,alpha360_CLOSE37,1
split_001,split_001_inner_001,alpha360_CLOSE38,1
split_001,split_001_inner_001,alpha360_CLOSE39,1
split_001,split_001_inner_001,alpha360_CLOSE4,1
split_001,split_001_inner_001,alpha360_CLOSE40,1
split_001,split_001_inner_001,alpha360_CLOSE41,1
split_001,split_001_inner_001,alpha360_CLOSE42,1
split_001,split_001_inner_001,alpha360_CLOSE43,1
split_001,split_001_inner_001,alpha360_CLOSE44,1
split_001,split_001_inner_001,alpha360_CLOSE45,1
split_001,split_001_inner_001,alpha360_CLOSE46,1
split_001,split_001_inner_001,alpha360_CLOSE47,1
split_001,split_001_inner_001,alpha360_CLOSE48,1
split_001,split_001_inner_001,alpha360_CLOSE49,1
split_001,split_001_inner_001,alpha360_CLOSE5,1
split_001,split_001_inner_001,alpha360_CLOSE50,1
split_001,split_001_inner_001,alpha360_CLOSE51,1
split_001,split_001_inner_001,alpha360_CLOSE52,1
split_001,split_001_inner_001,alpha360_CLOSE53,1
split_001,split_001_inner_001,alpha360_CLOSE54,1
split_001,split_001_inner_001,alpha360_CLOSE55,1
split_001,split_001_inner_001,alpha360_CLOSE56,1
split_001,split_001_inner_001,alpha360_CLOSE57,1
split_001,split_001_inner_001,alpha360_CLOSE58,1
split_001,split_001_inner_001,alpha360_CLOSE59,1
split_001,split_001_inner_001,alpha360_CLOSE6,1
split_001,split_001_inner_001,alpha360_CLOSE7,1
split_001,split_001_inner_001,alpha360_CLOSE8,1
split_001,split_001_inner_001,alpha360_CLOSE9,1
split_001,split_001_inner_001,alpha360_HIGH0,-1
split_001,split_001_inner_001,alpha360_HIGH1,-1
split_001,split_001_inner_001,alpha360_HIGH10,1
split_001,split_001_inner_001,alpha360_HIGH11,1
split_001,split_001_inner_001,alpha360_HIGH12,1
split_001,split_001_inner_001,alpha360_HIGH13,1
split_001,split_001_inner_001,alpha360_HIGH14,1
split_001,split_001_inner_001,alpha360_HIGH15,1
split_001,split_001_inner_001,alpha360_HIGH16,1
split_001,split_001_inner_001,alpha360_HIGH17,1
split_001,split_001_inner_001,alpha360_HIGH18,1
split_001,split_001_inner_001,alpha360_HIGH19,1
split_001,split_001_inner_001,alpha360_HIGH2,-1
split_001,split_001_inner_001,alpha360_HIGH20,1
split_001,split_001_inner_001,alpha360_HIGH21,1
split_001,split_001_inner_001,alpha360_HIGH22,1
split_001,split_001_inner_001,alpha360_HIGH23,1
split_001,split_001_inner_001,alpha360_HIGH24,1
split_001,split_001_inner_001,alpha360_HIGH25,1
split_001,split_001_inner_001,alpha360_HIGH26,1
split_001,split_001_inner_001,alpha360_HIGH27,1
split_001,split_001_inner_001,alpha360_HIGH28,1
split_001,split_001_inner_001,alpha360_HIGH29,1
split_001,split_001_inner_001,alpha360_HIGH3,-1
split_001,split_001_inner_001,alpha360_HIGH30,1
split_001,split_001_inner_001,alpha360_HIGH31,1
split_001,split_001_inner_001,alpha360_HIGH32,1
split_001,split_001_inner_001,alpha360_HIGH33,1
split_001,split_001_inner_001,alpha360_HIGH34,1
split_001,split_001_inner_001,alpha360_HIGH35,1
split_001,split_001_inner_001,alpha360_HIGH36,1
split_001,split_001_inner_001,alpha360_HIGH37,1
split_001,split_001_inner_001,alpha360_HIGH38,1
split_001,split_001_inner_001,alpha360_HIGH39,1
split_001,split_001_inner_001,alpha360_HIGH4,1
split_001,split_001_inner_001,alpha360_HIGH40,1
split_001,split_001_inner_001,alpha360_HIGH41,1
split_001,split_001_inner_001,alpha360_HIGH42,1
split_001,split_001_inner_001,alpha360_HIGH43,1
split_001,split_001_inner_001,alpha360_HIGH44,1
split_001,split_001_inner_001,alpha360_HIGH45,1
split_001,split_001_inner_001,alpha360_HIGH46,1
split_001,split_001_inner_001,alpha360_HIGH47,1
split_001,split_001_inner_001,alpha360_HIGH48,1
split_001,split_001_inner_001,alpha360_HIGH49,1
split_001,split_001_inner_001,alpha360_HIGH5,1
split_001,split_001_inner_001,alpha360_HIGH50,1
split_001,split_001_inner_001,alpha360_HIGH51,1
split_001,split_001_inner_001,alpha360_HIGH52,1
split_001,split_001_inner_001,alpha360_HIGH53,1
split_001,split_001_inner_001,alpha360_HIGH54,1
split_001,split_001_inner_001,alpha360_HIGH55,1
split_001,split_001_inner_001,alpha360_HIGH56,1
split_001,split_001_inner_001,alpha360_HIGH57,1
split_001,split_001_inner_001,alpha360_HIGH58,1
split_001,split_001_inner_001,alpha360_HIGH59,1
split_001,split_001_inner_001,alpha360_HIGH6,1
split_001,split_001_inner_001,alpha360_HIGH7,1
split_001,split_001_inner_001,alpha360_HIGH8,1
split_001,split_001_inner_001,alpha360_HIGH9,1
split_001,split_001_inner_001,alpha360_LOW0,1
split_001,split_001_inner_001,alpha360_LOW1,1
split_001,split_001_inner_001,alpha360_LOW10,1
split_001,split_001_inner_001,alpha360_LOW11,1
split_001,split_001_inner_001,alpha360_LOW12,1
split_001,split_001_inner_001,alpha360_LOW13,1
split_001,split_001_inner_001,alpha360_LOW14,1
split_001,split_001_inner_001,alpha360_LOW15,1
split_001,split_001_inner_001,alpha360_LOW16,1
split_001,split_001_inner_001,alpha360_LOW17,1
split_001,split_001_inner_001,alpha360_LOW18,1
split_001,split_001_inner_001,alpha360_LOW19,1
