date,instrument,baostock_tradestatus,baostock_isST,community_missing,open_relative_error,high_relative_error,low_relative_error,close_relative_error,volume_relative_error,amount_relative_error
2015-01-05,SH600000,1,0,False,5.007313377258709e-08,1.7990076081822247e-08,1.3026233391002141e-08,4.390235331466758e-08,1.7476977827769348e-08,1.6620185417760602e-08
2015-01-06,SH600000,1,0,False,0.0,6.099114882205684e-08,3.6957890042323714e-10,8.028843168593506e-08,3.5162096132873594e-08,2.4064247304996817e-08
2015-01-07,SH600000,1,0,False,5.9446780300578905e-08,6.454062659148188e-08,1.4996163772735737e-08,2.4838588028036906e-08,1.7095133376198895e-08,3.925262335225861e-09
2015-01-08,SH600000,1,0,False,7.245376741335755e-09,1.4236176749064411e-08,3.0771844955187304e-08,6.709271116092243e-08,4.6526632270489376e-08,4.3126171306812694e-08
2015-01-09,SH600000,1,0,False,2.5642706905228497e-08,6.446182003226288e-08,7.512922793627727e-08,2.8418035836966206e-09,5.304017650299148e-09,2.235988088086499e-08
2015-01-12,SH600000,1,0,False,1.25729544624993e-08,1.4637767990426005e-08,3.780296322723563e-08,1.587727887549405e-08,1.3262569851596037e-08,4.266115313165173e-09
2015-01-13,SH600000,1,0,False,6.962289685804186e-08,5.7987184251808404e-08,4.517377906621798e-09,7.485005138021779e-08,8.623333752442111e-08,2.286113196243001e-08
2015-01-14,SH600000,1,0,False,4.9707339079433415e-08,1.7896187663168242e-09,4.9707339079433415e-08,1.880894521977734e-08,1.7415315005753536e-08,3.7402812531917064e-08
2015-01-15,SH600000,1,0,False,1.9753625318933404e-08,1.1464355821735584e-08,2.1908167865220657e-08,1.0155769250102384e-08,1.5067494854909004e-08,1.6870625784146686e-08
2015-01-16,SH600000,1,0,False,3.312162257653652e-08,6.54479823702759e-08,2.2190394076704202e-08,7.579037957168933e-08,5.09017713496776e-08,1.4108000468095394e-08
2015-01-19,SH600000,1,0,False,1.267124535625706e-10,1.753086372826572e-08,5.1153693366937625e-08,5.1153693366937625e-08,2.403376868867331e-08,1.6005150545052538e-08
2015-01-20,SH600000,1,0,False,1.7811603804776978e-08,1.7535337219473254e-08,6.66975792078397e-08,3.247998350275338e-08,4.066695034253458e-09,2.1280650363914353e-08
2015-01-21,SH600000,1,0,False,6.001624027773675e-08,2.462239130641461e-08,6.336274933352726e-08,4.965150583494006e-08,3.466379770918555e-08,2.7236521284339508e-08
2015-01-22,SH600000,1,0,False,6.238249925104284e-08,1.1376891983486e-08,4.856407017389813e-08,1.0598683656740553e-09,6.936518859535821e-08,8.710757688184421e-09
2015-01-23,SH600000,1,0,False,7.837742664400702e-08,6.293864869565793e-08,5.555776036565627e-08,1.0598683656740553e-09,2.4369283537425463e-08,3.488819842113522e-08
2015-01-26,SH600000,1,0,False,3.381673164857576e-08,1.781337497863062e-08,6.408134482768803e-08,2.8418035836966206e-09,5.78091322419144e-08,2.813927845207855e-08
2015-01-27,SH600000,1,0,False,4.594640361901638e-08,4.594640361901638e-08,8.093036658908466e-08,5.648147165753086e-09,2.3077233029605542e-08,3.707696065631438e-08
2015-01-28,SH600000,1,0,False,2.2355430926737757e-08,3.417934513988151e-08,5.450448157078819e-08,2.4344395596854758e-08,1.3040975981822464e-08,1.1133858078002607e-08
