kind,year,date,rows,finite_all,valid_positive_pairs,missing_any,nonpositive_price_factor,negative_volume_amount,zero_volume,ohlc_bad,implied_vwap_outside
full_pool,2015,2015-08-28,42000,35772,35772,6228,0,0,0,0,21
left_signal_universe,2015,2015-02-02,40,40,40,0,0,0,0,0,0
fixed_hash32,2016,2016-08-29,672,620,620,52,0,0,0,0,0
left_signal_universe,2016,2016-02-01,40,12,12,28,0,0,0,0,0
fixed_hash32,2017,2017-08-28,672,667,667,5,0,0,0,0,0
left_signal_universe,2017,2017-02-03,40,20,20,20,0,0,0,0,0
fixed_hash32,2018,2018-08-28,672,672,672,0,0,0,0,0,0
left_signal_universe,2018,2018-02-01,40,40,40,0,0,0,0,0,0
fixed_hash32,2019,2019-08-28,672,672,672,0,0,0,0,0,0
left_signal_universe,2019,2019-02-01,40,40,40,0,0,0,0,0,0
full_pool,2020,2020-08-28,41979,41863,41863,116,0,0,0,0,0
left_signal_universe,2020,2020-02-03,40,40,40,0,0,0,0,0,0
fixed_hash32,2021,2021-08-30,672,672,672,0,0,0,0,0,0
left_signal_universe,2021,2021-02-01,40,40,40,0,0,0,0,0,0
fixed_hash32,2022,2022-08-29,672,672,672,0,0,0,0,0,0
left_signal_universe,2022,2022-02-07,40,40,40,0,0,0,0,0,0
full_pool,2023,2023-08-28,42000,41988,41988,12,0,0,0,0,0
left_signal_universe,2023,2023-02-01,40,40,40,0,0,0,0,0,0
