trading_day_count_old_superseded,accounting_day_count_old_superseded,order_count_old_superseded,fill_count_old_superseded,partial_count_old_superseded,rejected_count_old_superseded,ending_nav_old_superseded,total_cash_fee_old_superseded,total_slippage_cost_old_superseded,outer_split_id,method,trading_day_count_new_corrected,accounting_day_count_new_corrected,order_count_new_corrected,fill_count_new_corrected,partial_count_new_corrected,rejected_count_new_corrected,ending_nav_new_corrected,total_cash_fee_new_corrected,total_slippage_cost_new_corrected,ending_nav_delta,total_cash_fee_delta,total_slippage_cost_delta,order_count_delta,fill_count_delta,partial_count_delta,rejected_count_delta
119,119,10164,10164,5720,0,11559113.542855248,564657.9983252543,702869.0177570486,split_001,equal_weight,9,9,107,107,89,0,9959186.43559641,5708.501893186414,11289.19163935429,-1599927.1072588377,-558949.496432068,-691579.8261176943,-10057,-10057,-5631,0
119,119,10105,10105,5729,0,11610420.277133817,567468.4902580464,706531.6887515874,split_001,stability_weight,9,9,109,109,93,0,9926102.80243909,6768.246877753632,13085.088313192755,-1684317.474694727,-560700.2433802928,-693446.6004383947,-9996,-9996,-5636,0
