datetime,signal,direction,side_count,long_return,short_return,gross_long_short_return,long_turnover,short_turnover,turnover,cost,net_long_short_return
2017-01-10,rev_5,1.0,376,-0.009045884,-0.009669154,0.00062326994,1.0,1.0,1.0,0.0005,0.00012326991
2017-01-11,rev_5,1.0,375,-0.023057004,-0.014844139,-0.008212865,0.3573333333333333,0.33066666666666666,0.344,0.00017199999999999998,-0.008384866
2017-01-12,rev_5,1.0,374,-0.049257096,-0.031578694,-0.017678402,0.320855614973262,0.34224598930481287,0.3315508021390374,0.00016577540106951872,-0.017844178
2017-01-13,rev_5,1.0,374,0.01892835,0.00865572,0.0102726305,0.37700534759358284,0.39037433155080214,0.3836898395721925,0.00019184491978609626,0.0100807855
2017-01-16,rev_5,1.0,373,-0.009189699,0.0037782097,-0.012967909,0.37801608579088475,0.37533512064343166,0.3766756032171582,0.0001883378016085791,-0.013156246
2017-01-17,rev_5,1.0,373,-0.0037123077,-0.007230793,0.0035184855,0.27345844504021444,0.21983914209115285,0.24664879356568364,0.0001233243967828418,0.0033951611
2017-01-18,rev_5,1.0,374,0.0222969,0.010625187,0.011671713,0.2620320855614974,0.20855614973262027,0.23529411764705882,0.00011764705882352942,0.011554065
2017-01-19,rev_5,1.0,374,0.012984711,0.0052069197,0.007777791,0.2593582887700535,0.2005347593582888,0.22994652406417115,0.00011497326203208558,0.007662818
2017-01-20,rev_5,1.0,373,-0.004904389,-0.0018653852,-0.0030390038,0.3190348525469169,0.2654155495978552,0.29222520107238603,0.000146112600536193,-0.0031851165
2017-01-23,rev_5,1.0,372,0.0041343295,0.0010146393,0.0031196903,0.6209677419354839,0.5913978494623655,0.6061827956989247,0.0003030913978494624,0.0028165989
2017-01-24,rev_5,1.0,373,0.0068247886,0.006397751,0.00042703748,0.46380697050938335,0.4021447721179625,0.43297587131367293,0.00021648793565683648,0.00021054954
2017-01-25,rev_5,1.0,373,-0.00015138062,-0.0061224867,0.0059711062,0.4048257372654156,0.3994638069705094,0.4021447721179625,0.00020107238605898125,0.0057700337
