signal,start_date,end_date,trading_days,gross_annualized_return,net_annualized_return,gross_ir,net_ir,net_max_drawdown,average_long_return,average_short_return,average_spread,average_turnover,average_daily_cost
rev_5,2017-01-10,2020-07-29,864,0.005330443382263184,-0.03797268867492676,0.10935714987501015,-0.19269488509523036,-0.3625425696372986,1.4671331882709637e-05,-4.856302257394418e-05,6.323423440335318e-05,0.34936222267200523,0.00017468111133600258
amplitude_20,2017-02-06,2020-07-29,850,-0.05467170476913452,-0.061095237731933594,-0.22031731569478136,-0.2579720976996819,-0.2793305516242981,-9.136417065747082e-05,6.682024104520679e-05,-0.00015818446991033852,0.054087262440332885,2.7043631220166443e-05
std_20,2017-02-07,2020-07-29,849,-0.0595090389251709,-0.06873148679733276,-0.2704823252647872,-0.3277429945009674,-0.28335022926330566,-4.494211316341534e-05,0.00013976306945551187,-0.0001847051753429696,0.07819172904012459,3.90958645200623e-05
score,2017-01-03,2020-07-29,869,-0.0723273754119873,-0.09096240997314453,-0.35436003441086056,-0.47314205670847376,-0.35419249534606934,-0.00020272414258215576,3.7365905882325023e-05,-0.00024009001208469272,0.16097872264348395,8.048936132174198e-05
