factor,valid_rows,total_rows,coverage
alpha360_CLOSE5,33941,133958,0.2533704593977217
alpha360_CLOSE20,33928,133958,0.25327341405515164
alpha360_CLOSE59,33947,133958,0.25341524955583095
alpha360_OPEN0,34001,133958,0.2538183609788143
alpha360_OPEN5,33941,133958,0.2533704593977217
alpha360_OPEN20,33928,133958,0.25327341405515164
alpha360_OPEN59,33947,133958,0.25341524955583095
alpha360_HIGH0,34001,133958,0.2538183609788143
alpha360_HIGH5,33941,133958,0.2533704593977217
alpha360_HIGH20,33928,133958,0.25327341405515164
alpha360_HIGH59,33947,133958,0.25341524955583095
alpha360_LOW0,34001,133958,0.2538183609788143
alpha360_LOW5,33941,133958,0.2533704593977217
alpha360_LOW20,33928,133958,0.25327341405515164
alpha360_LOW59,33947,133958,0.25341524955583095
alpha360_VWAP0,34001,133958,0.2538183609788143
alpha360_VWAP5,33941,133958,0.2533704593977217
alpha360_VWAP20,33928,133958,0.25327341405515164
alpha360_VWAP59,33947,133958,0.25341524955583095
alpha360_VOLUME5,33941,133958,0.2533704593977217
alpha360_VOLUME20,33928,133958,0.25327341405515164
alpha360_VOLUME59,33947,133958,0.25341524955583095
